spawn_id	name_tag	unused	wander	portrait	conversation	shop_items	shop_modifier	tag	rarity	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions		secondarySpawns	secondaryTag	secondaryDistance	TertiatySpawns	TertiaryTag	tertiaryDistance
greater_succubus			1						un	enemy			20					"succubus;succubus;succubus2;succubus2;succubus3;succubus3"					
bandit_ataman			1						un	bandits			20					"bandit_ambal;bandit_murka;bandit_bouncer;bandit_brigadier;bandit_brigadier;bandit_brigadier"					
amelia_3			1						un	enemy	"VariableGreater#bloody_harvest,99"		21					"isabelle_3;pandora_3"					
elf_lord_witch			1						un	enemy			21					"bad_gendalf;saruman"					
sky_knight_boss_2			1						un	skyknight			21					"sky_archer_boss_2;sky_master_sword_2;sky_knight_male_4;sky_knight_female_5;sky_knight_priest;sky_knight_archer_2"					
she_wolf			1					she_wolf	un	beasts			22										
metalist_female			1						un	enemy			22										
dragon_queen			1						un	enemy			22					"dragon_q1;dragon_q2;dragon_q3"					
frankie_overgrown			1						un	enemy			22										
widowmaker			1						un	enemy			23										
difficult_childhood			1						un	enemy			23										
great_good_dignity			1						un	enemy			23										
lamb_god			1					lamb_god	un	enemy			24										
kind_fucked_up			1						un	enemy			24										
