faction_id	name	desc	name_ES	desc_ES	name_RU	desc_RU	name_PT	desc_PT	name_DE	desc_DE	name_PL	desc_PL	name_CZ	desc_CZ	name_TR	desc_TR	name_IT	desc_IT
town_whitetower	Whitetower	A Thuramiam village. The Kingdom does not pay much attention to anything happening outside the walls of Icemist, making villages sleepy, isolated places.	Whitetower	Un pueblo Thuramio. El Reino no presta demasiada atención a lo que ocurra fuera de los muros Icemist, por lo que pueblos como este son lugares apartados y tranquilos.	Деревня Турамиам	Королевство не уделяет должного внимания тому, что происходит за пределами стен Айсмиста, деревни превращаются в сонные, изолированные места.	Whitetower	Uma vila Thuramiana. O Reino não presta muita atenção ao que acontece fora das muralhas de Icemist, fazendo das aldeias lugares tranquilos e isolados.	Whitetower	Ein thuramisches Dorf. Das Königreich schert sich wenig darum, was außerhalb der Mauern von Icemist passiert, weshalb Dörfer verschlafene, abgelegene Orte sind.			Whitetower	Thuramská vesnice. Království nevěnuje příliš pozornosti tomu, co se děje za hradbami Icemistu, což z vesnic činí ospalá a izolovaná místa.			Whitetower	Un villaggio Thuramiano. Il Regno non presta molta attenzione a ciò che accade al di fuori delle mura dell'Icemist, per cui villaggi come questo sono luoghi isolati e tranquilli.
varannari	Varannari	The clans of original inhabitants from this land before the Exiled Kingdoms were founded. They live in the wild forests.	Varannari	Clanes de los habitantes originales de estas tierras antes de que llegasen los Reinos Exiliados. Suelen vivir en las tierras salvajes y tienen fama de buenos cazadores.	Вараннари	Кланы коренных жителей этих земель до основания Изгнанных королевств. Проживают в диких лесах.	Varannari	O Clã dos habitantes originários desta terra antes dos Reinos Exilados serem fundados. Eles vivem nas florestas selvagens.	Varannari	Die Stämme der ursprünglichen Einwohner dieses Landes, bevor die Verbannten Königreiche gegründet wurden. Sie leben in der Wildnis der Wälder.	Varannari	Klany tubylczych ludów tej ziemi, zanim powstały Wygnane Królestwa. Żyją w dzikich lasach.	Varannari	Klan původních obyvatel žijících v divokých lesích. Varannar obývali již před vznikem Exilových království.	Varannari	Exiled Kingdoms öncesinde bu diyarın asıl yerlileri olarak bu topraklarda bulunuyorlardı. Vahşi ormanlarda yaşıyorlar 	Varannari	Le tribù degli originali abitanti di questa regione prima che fossero fondati gli Exiled Kingdoms. Vivono nelle foreste selvagge.
loreseekers	Royal Loreseekers	An ancient order of sages and explorers, loyal to the Kingdom of Varsilia. Many of them are sorcerers and alchemists as well.	Buscasecretos Reales	Una antigua orden de sabios y exploradores al servicio del Reino de Varsilia.	Королевские Искатели Знаний	Древний орден мудрецов и исследователей, верных королевству Варсилия. Многие из них также волшебники и алхимики.	Buscadores do Saber Reais	Uma ordem anciã de sábios e exploradores, leais ao Reino de Varsília. Vários deles são feiticeiros e alquimistas.	Königliche Wissenssucher	Ein antiker Orden von Weisen und Entdeckern, dem Königreich von Varsilia ergeben. Viele von ihnen sind Zauberer und Alchemisten.	Królewscy Poszukiwacze Wiedzy	Starożytny zakon mędrców i odkrywców, lojalnych Królestwu Varsilii. Wielu z nich jest czarownikami, jak i również alchemikami.	Královští hledači	Prastarý řád mudrců a objevitelů, loajální Království Varsilia. Mnozí z nich jsou též kouzelníci a alchymisti.	Kraliyet Araştırmacıları 	Bilgeler ve kaşiflerden oluşan, Varsilia Krallığına sadık eski bir düzen. Birçoğu da büyücü ve simyacıdır.	Cercatori Reali	Un antico ordine di saggi ed esploratori, leali al Regno di Varsilia. Molti di lorosono stregoni o alchimisti.
goldenhand	Golden Hand	A large and powerful merchant guild extended over the Kingdoms. It often employs mercenaries to protect trade routes, or organizes expeditions in search of profit.	Mano Dorada	Gremio de comerciantes rico e influyente, extendido por todos los Reinos. A menudo contrata mercenarios para proteger rutas mercantes, u organiza expediciones en busca de beneficios.	Золотая Длань	Многочисленная и влиятельная торговая гильдия распростертая по Королевствам. Они часто используют наемников для защиты торговых путей, или организуют экспедиции в поисках прибыли.	Mão Dourada	Uma grande e poderosa guilda mercante espalhada por todos os Reinos. Ela frequentemente emprega mercenários para proteger rotas mercantes, ou organiza expedições visando lucrar.	Goldene Hand	Eine große und mächtige Händlergilde, die sich über die gesamten Königreiche ausgebreitet hat. Sie heuern oft Söldner an, um die Handelsrouten zu sichern, oder organisieren Expeditionen auf der Suche nach Profit.	Złota Dłoń	Wielka i silna gildia kupiecka sięgająca wszystkich Królestw. Często zatrudnia najemników do ochrony szlaków handlowych lub organizuje ekspedycje w poszukiwaniu zysków.	Zlatá ruka	Velký a mocný cech obchodníků s vlivem napříč královstvími. Často najímá žoldáky k ochraně obchodních cest či organizuje výpravy za ziskem.	Altın El	Büyük ve güçlü bir ticaret kurumu olarak Krallıklar'ın üzerinde yayılır. Ticaret yollarını korumak için paralı askerleri sık sık kullanır veya kar aramak için seferler düzenler.	Mano d'Oro	Una grande e potente gilda mercantile estesa in tutti i Regni. Spesso si avvale di mercenari per proteggere le vie commerciali oppure organizza spedizioni in cerca di profitto.
seventhhouse	Seventh House	A thieves' guild, strong in both Varsilia and Mercia, and in particular in the big towns. The authorities have tried to shut it down, but they're always a step ahead.	Séptima Casa	Un gremio de ladrones muy extendido en Mercia y Varsilia. Las autoridades han intentado erradicarlo pero siempre van un paso por delante.	Дом Семи	Гильдия воров, сильная и в Варсилии и в Мерсии, особенно в больших городах. Власти попытались покончить с ними, но они всегда на шаг впереди.	Sétima Casa	Uma guilda de ladrões, forte tanto em Varsília quanto em Mércia, e particularmente nas grandes cidades. As autoridades tentaram encerrá-la, mas eles sempre estão um passo à frente.	Siebtes Haus	Die Diebesgilde, stark sowohl in Varsilia als auch Mercia, insbesondere in den großen Städten. Die Obrigkeit hat oftmals versucht, ihrer Herr zu werden, aber sie sind immer einen Schritt voraus.	Siódmy Dom	Gildia złodziei, silna zarówno w Varsilii, jak i w Mercii, zwłaszcza w dużych miastach. Władze próbowały ją zamknąć, ale gildia jest zawsze o krok przed nimi.	Sedmý dům	Cech zlodějů. Silný ve Varsilii a Mercii, především v jejich velkých městěch. Úřady se pokoušejí ukončit jeho činnost, cech je však vždy o krok před nimi.	Yedinci Ev	Hem Varsilya hem de Mersiya'da ve özellikle de büyük şehirlerde güçlü olan bir hırsızlar loncasıdır. Yetkililer onu kapatmaya çalıştı, ancak onlar her zaman bir adım öndeydi.	Settima Casa	Una gilda di ladri, forte sia a Varsilia che in Mercia, in particolare nelle grandi città. Le autorità hanno provato ad arginarla, ma essa è sempre un passo avanti.
wizardsguild	Wizard's Guild	This mysterious organization is powerful in Thuram, but as other kingdoms need the service of magicians, they have allowed them to build wizard towers in other places.	Gremio de Magos	Esta misteriosa organización es poderosa en Thuram. Pero los demás reinos también necesitan magos, así que les han permitido construir torres en algunos lugares.	Гильдия волшебников	Эта таинственная организация влиятельна в Тураме, но поскольку другим королевствам тоже нужны услуги магов, им позволили строить волшебные башни и в других местах.	Guilda dos Magos	Essa misteriosa organização é poderosa em Thuram, mas como os outros reinos precisam dos serviços de seus magos, eles foram autorizados a construir torres de magos em outros lugares.	Magiergilde	Diese mysteriöse Organisation ist mächtig in Thuram, aber da die anderen Königreiche die Dienste von Magiern benötigen, wurde ihnen erlaubt, Magiertürme auch an anderen Orten zu errichten.	Gildia Magów	Owa tajemnicza organizacja jest potężna w Thuram, lecz jako że inne Królestwa potrzebują usług magów, pozowolono gildii na budowę swych wież w innych miejscach.	Cech kouzelniků	Tato záhadná organizace je mocná v Thuramu. Ostatní království, žádající služeb jejích kouzelníků, jim povolili vybudovati kouzelnické věže i na jiných místech.	Büyücü Loncası 	Bu esrarengiz organizasyon, Turam'da güçlüdür, ancak diğer krallıklar büyücü hizmetine ihtiyaç duydukları için, başka yerlerde sihirbaz kulelerini inşa etmelerine izin vermişlerdir.	Gilda dei Maghi	Questa misteriosa organizzazione è potente a Thuram, ma poichè anche gli altri regni hanno bisogno dei maghi, ha permesso loro di costruire torri in altri luoghi.
warriorsguild	Warrior's Guild	Fighters that are not highborn, and not part of the armies of the Kingdoms, usually join the ranks of this organization. They often work as bodyguards, mercenaries or escorts, but always in a honorable way.	Gremio de Guerreros	Los guerreros que no son de familia noble ni pertenecen al ejercito de ningún reino, a menudo se unen a este gremio. Trabajan como guardaespaldas o mercenarios, pero siempre con honor.	Гильдия воинов	В ряды этой организации, как правило, вступают бойцы незнатного происхождения не состоящие в армиях Королевств. Они часто работают в качестве телохранителей, наемников или сопровождения, но всегда следуют дорогой чести.	Guilda dos Guerreiros	Lutadores que não são parentes de nobres, e não fazem parte dos exércitos dos Reinos, geralmente entram para os ranks dessa organização. Eles frequentemente trabalham como guarda-costas, mercenários ou escoltas, mas sempre de forma honrável.	Kriegergilde	Kämpfer, die nicht hochgeboren und nicht Teil der königlichen Armeen sind, schließen sich meist den Reihen dieser Organisation an. Sie arbeiten oft als Leibwächter, Söldner oder Eskorten, aber stets auf ehrenvolle Weise.	Gildia Wojowników	Wojownicy, którzy nie są wysoko urodzeni, ani nie należą do armii żadnego Królestwa, zazwyczaj dołącząją do szeregów gildii. Zwykle pracują, jako ochroniarze, najemnicy, czy eskorta, ale zawsze w sposób honorowy.	Cech válečníků	Nejsou urození, nejsou součástí královských armád. Tito bojovníci, jež vstupili do tohoto řádu, přísahali, že budou vždy konat čestně. Většinou pracují jako tělesní strážci, žoldáci či doprovod.	Savaşçı Loncası 	Asil olmayan ve Krallık ordularının bir parçası olmayan savaşçılar genellikle bu organizasyonun saflarına katılırlar. Genellikle koruma, paralı asker veya eskort olarak çalışırlar, ancak her zaman onurlu bir şekilde çalışırlar.	Gilda dei Guerrieri	I combattenti che non sono di nobili natali e non fanno parte degli eserciti dei Regni, solitamente si arruolano nei ranghi di questa organizzazione. Essi lavorano spesso come guardie del corpo, mercenari o accompagnatori, ma sempre in modo onorevole.
friguld_governor	Friguld Governor	The Governor is appointed by the Corsair Council, and makes sure the town can supply the pirate nation with fresh water and other mainland resources.	Gobernador de Friguld	El Gobernador es escogido por el Consejo de Corsarios, y debe asegurarse de que la nación pirata recibe suministros de agua dulce y otros recursos.	Губернатор Фригульда	Губернатор назначается Советом Корсаров и следит за тем, чтобы город мог снабжать пиратское государство пресной водой и другими материковыми ресурсами.	Governador Friguld	O governador é escolhido pelo Conselho de Corsários, e deve assegurar que a nação pirata recebe abastecimento de água potável e outros recursos.	Gouverneur von Friguld	Der Gouverneur wird vom Rat der Korsaren ernannt und stellt sicher, dass die Stadt die Piratennation mit frischem Wasser und anderen Festlandvorräten versorgt.	gubernator Friguld	Gubernator jest wybierany przez Radę Korsarze i muszą zapewnić, że naród pirat otrzymuje świeże zapasy wody i innych zasobów.	Friguldský Guvernér	Guvernér je dosazen Koncilem Korzárů a jest zárukou, že město bude zásobovat národ pirátů čerstvou vodou a dalšími vnitrozemskými zdroji.	Friguld Valiliği	Vali Korsan Meclisi tarafından tayin edilir ve kasabanın korsanlara temiz su ve diğer anakara kaynaklarını sağlayacağından emin olur.	Governatore Friguld	Il Governatore è nominato dal Consiglio dei Corsari, e assicura che la città possa rifornire la nazione pirata con acqua dolce e altre risorse continentali.
town_lamis	Lamis	A tiny town in the far northwest Ilmara, almost forgotten by the rest of the world.	Lamis	Un diminuto pueblo en el extremo noroeste de Ilmara, prácticamente olvidado por el resto del mundo.	Ламис	Крохотный городок на северо-западном краю Илмары, практически забытый остальным миром.	Lamis	"Uma pequena cidade no extremo noroeste de Ilmara, quase esquecida pelo resto do mundo."""	Lamis	Eine winzige Stadt im nordwestlichsten Zipfel von Ilmara, fast vergessen vom Rest der Welt.	Lamis	Małe miasteczko w północno-zachodniej części Ilmary, prawie zapomniane przez resztę świata.	Lamis	Malé město daleko na severozápadě Ilmary, zbytkem světa téměř zapomenuté.			Lamis	Una piccola città nell'estremo nord-ovest di Ilmara, dimenticata dal resto del mondo.
town_port_malan	Port Malan	Once a prominent port, the numerous corsair raids have rendered this town semi-abandoned and ruinous.	Port Malan	Una vez un puerto importante, pero tras constantes saqueos de corsarios casi abandonad y en ruinas.	Порт Малан	Некогда знаменитый порт, ныне превращённый в полузаброшенные руины бесчисленными налётами пиратов.	Porto Malan	"Outrora um porto proeminente, os numerosos ataques corsários tornaram esta cidade quase abandonada e em ruínas,"""	Port Malan	Obwohl einst ein berühmter Hafen, ist diese Stadt nun durch zahllose Piratenüberfälle halb verlassen und verfallen.	Port Malan	Niegdyś okazały port, ale liczne naloty korsarzy sprawiły, że to miasto stało się częściowo zrujnowane i opuszczone.	Port Malan	Kdysi prosperující přístav, četné nájezdy korzárů však toto město téměř proměnily v trosky.			Port Malan	Un tempo era un porto importante, ma dopo continui saccheggi da parte di corsari, è rovinato e quasi abbandonato.
town_solliga	Solliga	A Thuramiam village. The Kingdom does not pay much attention to anything happening outside the walls of Icemist, making villages sleepy, isolated places.	Solliga	Un pueblo Thuramio. El Reino no presta demasiada atención a lo que ocurra fuera de los muros Icemist, por lo que pueblos como este son lugares apartados y tranquilos.	Соллига	Королевство не уделяет должного внимания тому, что происходит за пределами стен Айсмиста, деревни превращаются в сонные, изолированные места.	Solliga	Uma vila Thuramiana. O Reino não presta muita atenção ao que acontece fora das muralhas de Icemist, fazendo das aldeias lugares tranquilos e isolados.	Solliga	Ein thuramisches Dorf. Das Königreich schert sich wenig darum, was außerhalb der Mauern von Icemist passiert, weshalb Dörfer verschlafene, abgelegene Orte sind.			Solliga	Thuramská vesnice. Království nevěnuje příliš pozornosti tomu, co se děje za hradbami Icemistu, což z vesnic činí ospalá a izolovaná místa.			Solliga	Un villaggio Thuramiano. Il Regno non presta molta attenzione a ciò che accade al di fuori delle mura dell'Icemist, per cui villaggi come questo sono luoghi isolati e tranquilli.
player	x	x																
enemy	x	x																
bandits	x	x																
beasts	x	x																
angrynpc	x	x																
neutral	x	x																
