tag	english	spanish	RU	PT	DE	PL	CZ	TR	IT	FR
BODYGUARD	Bodyguard	Guardaespaldas	Телохранитель	Guarda-Costas	Leibwächter	Ochroniarz	Tělesný Strážce	muhafız	Guardia del Corpo	
CHANCELLOR_MALARD	Chancellor Malard	Canciller Malard	Канцлер Мэлард	Chanceler Malard	Kanzler Malard	Kanclerz Malard	Kancléř Malard	Şansölye Malard	Cancelliere Malard	
MERCENARY	Mercenary	Mercenario	Наёмник	Mercenário	Söldner	Najemnik	Žoldák	Paralı	Mercenario	
SPHERE	Sphere	Esfera	Сфера	Esfera	Sphäre	Sfera	Koule	küre	Sfera	
ACCOUNTANT	Accountant	Contable	Бухгалтер	Contador	Buchhalter	Zarządca	Účetní	Muhasebeci	Contabile	
CLERK	Clerk	Cajero	Клерк	Bancário	Bankangestellter	Kleryk	Úředník	kâtip	Impiegato	
ARCHBISHOP_DILLA	Archbishop Dilla	Arzobispo Dilla	Архиепископ Дилла	Arcepispa Dilla	Erzbischof Dilla	Arcybuskup Dilla	Arcibiskup Dilla	Başpiskopos Dilla	Arcivescovo Dilla	
BISHOP_BAREID	Bishop Bareid	Obispo Bareid	Епископ Барейд	Bispo Bareid	Bischof Bareid	Biskup Bareid	Biskup Bareid	Bishop Bareid	Vescovo Bareid	
FATHER_HADAR	Father Hadar	Padre Hadar	Отец Хадар	Padre Hadar	Vater Hadar	Ojciec Hadar	Otec Hadar	Peder Hadar	Padre Hadar	
MAGICAL_BARRIER	Magical Barrier	Barrera Mágica	Магический Барьер	Barreira Mágica	Magische Barriere	Magiczna bariera	Kouzelná Bariéra	Büyülü Bariyer	Barriera Magica	
TRADER_PHAZID	Trader Phazid	Comerciante Phazid	Торговец Фазид	Comerciante Phazid	Händler Phazid	Handlarz Phazid	Obchodník Phazid	Trader Phazid	Commerciante Phazid	
HIGH_PRIEST	High Priest	Sumo Sacerdote	Первосвященник	Sumo Sacerdote	Hohepriester	Wysoki kapłan	Vyšší Kněz	Başrahip	Sommo Sacerdote	
INSCRIPTION	Inscription	Inscripción	Надпись	Inscrição	Inschrift	Inskrypcja	Nápis	yazıt	Incisione	
OTHERWORLDLY_PRESENCE	Otherworldly Presence	Presencia de Otro Mundo	Потустороннее присутствие	Presença de Outro Mundo	Außerweltliche Präsenz	Nieziemska obecność	Bytost z Jiného Světa	Diğer Dünyada Varlığı	Presenza Ultraterrena	
TRADER_COLEEN	Trader Coleen	Comerciante Coleen	Торговец Колин	Comerciante Coleen	Händlerin Coleen	Handlarz Coleen	Obchodník Coleen	Trader Coleen	Commerciante Coleen	
SERGEANT_MORG	Sergeant Morg	Sargento Morg	Сержант Морг	Sargento Morg	Sergeant Morg	Szeregowy Morg	Seržant Morg	Çavuş Morg	Sergente Morg	
BOUNCER_TENDOR	Bouncer Tendor	Portero Tendor	Привратник Тендор	Segurança Tendor	Türsteher Tendor	Strażnik bramy Tendor	Portýr Tendor	Bouncer Tendor	Buttafuori Tendor	
ALTAR	Altar	Altar	Алтарь	Altar	Altar	Ołtarz	Oltář	Altar	Altare	
SERGEANT_MAEVE	Sergeant Maeve	Sargento Maeve	Сержант Мейв	Sargento Maeve	Sergeant Maeve	Szeregowy Maeve	Seržant Maeve	Çavuş Maeve	Sergente Maeve	
GUARDIAN	Guardian	Guardián	Стражник	Guardião	Wächter	Strażnik	Strážce	Gardiyan	Giardiano	
VALERAN	Valeran	Valeran	Валеран	Valeran	Valeran	Valeran	Valeran	valeran	Valeran	
CORRUPTED_MINOTAUR	Corrupted Minotaur	Minotauro Corrupto	Проклятый Минотавр	Minotauro Corrompido	Besessener Minotaurus	Skażony minotaur	Očarovaný Minotaur	Bozuk Minotaur	Minotauro Corrotto	
ZOGARIS	Zogaris	Zogaris	Зогарис	Zogaris	Zogaris	Zogaris	Zogaris	Zogaris	Zogaris	
SYXADRIS	Syxadris	Syxadris	Сиксадрис	Syxadris	Syxadris	Syxadris	Syxadris	Syxadris	Syxadris	
BASRUDAXUL	Basrudaxul the Elder	Basrudaxul el Viejo	Старейшина Басрудаксул	Basrudaxul, o Ancião	Basrudaxul der Ältere	Basrudaxul starszy	Stařešina Basrudaxul	Yaşlı Basrudaxul	Basrudaxul il Vecchio	
FEVRESEE	Fevresee	Fevresee	Фивриси	Fevresee	Fevresee	Fevresee	Fevresee	Fevresee	Fevresee	
DERINA_GASHAM	Derina Gasham	Derina Gasham	Дерина Гашам	Derina Gasham	Derina Gasham	Dreina Gasham	Derina Gasham	Derina Gasham	Derina Gasham	
MONOLITH	Monolith	Monolito	Монолит	Monolito	Monolith	Monolit	Monolit	tek parça anıt	Monolito	
ROCKS	Rocks	Rocas	Скалы	Rochedo	Felsen	Skały	Skály	Kayalar	Roccie	
CONSOLE	Console	Consola	Консоль	Console	Konsole	Konsola	Konzole	Konsol	Console	
ORACLE	The Oracle	El Oráculo	Оракул	O Oráculo	Das Orakel	Wyrocznia	ORACLE	Oracle	L'Oracolo	
ELEVATOR	Elevator	Ascensor	Лифт	Elevador	Aufzug	Winda	Výtah	Asansör	Ascensore	
CALENDA	Lady Calenda	Lady Calenda	Леди Календа	Senhora Calenda	Lady Calenda	Ldy Calenda	Lady Calenda	Lady Calenda	Lady Calenda	
YAMIBA	Yamiba	Yamiba	Ямиба	Yamiba	Yamiba	Yambia	Yamiba	Yamiba	Yamiba	
PRAETOR_JENARD	Praetor Jenard	Praetor Jenard	Претор Дженард	Pretor Jenard	Prätor Jenard	Praetor	Prétor Jenard	Praetor Jenard	Pretore Jenard	
ROMENA	Romena	Romena	Ромена	Romena	Romena	Romena	Romena	Romena	Romena	
TASKMASTER_BREM	Taskmaster Brem	Capataz Brem	Надсмотрщик Брем	Capataz Brem	Vorarbeiter Brem	Taskmaster Brem	Předák Brem	Görev Yöneticisi Brem	Preside Brem	
ANGRY_GHOST	Angry Ghost	Fantasma furioso	Злобный Призрак	Fantasma Raivoso	Wütender Geist	Zły duch	Rozzuřený Duch	Kızgın hayalet	Fantasma Furioso	
COUK	Couk	Couk	Коук	Couk	Couk	Couk	Couk	Couk	Couk	
A_CORPSE	A corpse	Un cadaver	Труп	Um Cadáver	Eine Leiche	Ciało	Mrtvola	Bir ceset	Un cadavere	
CENTURION_KANUM	Centurion Kanum	Centurión Kanum	Центурион Канум	Centurião Kanum	Zenturio Kanum	Centurion Kanum	Centurión Kanum	Centurion Kanum	Centurion Kanum	
DECURION_SARGOS	Decurion Sargos	Decurión Sargos	Декурион Саргос	Decurião Sargos	Dekurion Sargos	Dekurion Sargos	Decurión Sargos	Decurion Sargos	Decurion Sargos	
DARTOS	Dartos	Dartos	Дартос	Dartos	Dartos	Dartos	Dartos	Dartos	Dartos	
AGLARON	Aglaron	Aglaron	Агларон	Aglaron	Aglaron	Aglaron	Aglaron	Aglaron	Aglaron	
MISARA	Misara	Misara	Мизара	Misara	Misara	Misara	Misara	Misara	Misara	
ARCANE_KNIGHT	Arcane Knight	Caballero Arcano	Волшебный рыцарь	Cavaleiro Arcano	Arkaner Ritter	Magiczny rycerz	Arkánský Rytíř	Arcane Knight	Cavaliere Arcano	
TRADER_JOHANNA	Trader Johanna	Comerciante Johanna	Торговец Йоханна	Comerciante Johanna	Händlerin Johanna	Kupiec Johanna	Obchodnice Johanna	Trader Johanna	Commerciante Johanna	
ILEMMA	Ilemma	Ilemma	Иемма	Ilemma	Ilemma	Ilemma	Ilemma	Ilemma	Ilemma	
MEZIMER	Mezimer	Mezimer	Мезимер	Mezimer	Mezimer	Mezimer	Mezimer	Mezimer	Mezimer	
TRADER_GILRON	Trader Gilron	Comerciante Gilron	Торговец Гилрон	Comerciante Gilron	Händler Gilron	Kupiec Gilron	Obchodník Gilron	Trader Gilron	Commerciante Gilron	
SOGARAD	Sogarad	Sogarad	Согарад	Sogarad	Sogarad	Sogarad	Sogarad	Sogarad	Sogarad	
DORBUS	Dorbus	Dorbus	Дорбус	Dorbus	Dorbus	Dorbus	Dorbus	Dorbus	Dorbus	
ARABELLE_WINTER	Arabelle de Winter	Arabelle de Winter	Арабелле дэ Винтер	Arabelle Winter	Arabelle de Winter	Arabelle de Winter	Arabella de Winter	Arabelle de Winter	Arabelle de Winter	
ICEMIST_INN	The Magic Flagon	La Jarra Mágica	Магическая Фляга	A Jarra Mágica	Zum Magischen Krug	Magiczny Dzban	Kouzelný Korbel	Sihirli Bayraklı	La Caraffa Magica	
WHITETOWER_INN	The Missing Reagent	El Ingrediente Perdido	Пропавший ингредиент	O Reagente Perdido	Zur Fehlenden Zutat	Brakujący składnik	Chybějící Reaktant	Kayıp Reaktifi	L'ingrediente Mancante	
ALCHEMIST_MATOR	Alchemist Mator	Alquimista Mator	Алхимик Матор	Alquimista Mator	Alchemist Mator	Alchemik Mator	Alchymista Mator	Simyacı Mator	Alchimista Mator	
BREWER_TONEL	Brewer Tonel	Cervezero Tonel	Пивовар Тонел	Cervejeiro Tonel	Braumeister Tonel	Browarnik Tonel	Sládek Tonel	Brewer Tonel	Birraio Tonel	
BROTHER_DEFRERE	Brother De Frere	Hermano De Frere	Брат Дэ Фрерэ	Irmão De Frere	Bruder de Frere	Brat De Frere	Bratr de Frere	Kardeş De Frere	Fratello De Frere	
ARMORER_VOCKJODI	Armorer Vockjodi	Armero Vockjodi	Бронник Вокджоди	Armeiro Vockjodi	Waffenschmied Vockjodi	Płatnerz Vockjodi	Zbrojíř Vockjodi	Zırhlı Vockjodi	Armaiolo Vockjodi	
ARMORER_TORDAM	Armorer Tordam	Armero Tordam	Бронник Тордам	Armeiro Tordam	Waffenschmied Tordam	Płatnerz Tordam	Zbrojíř Tordam	Zırhlı Tordam	Armaiolo Tordam	
MIFADIS	Mifadis	Mifadis	Мифадис	Mifadis	Mifadis	Mifadis	Mifadis	Mifadis	Mifadis	
ROSY	Rosy	Rosy	Рози	Rosy	Rosy	Rosy	Rosy	pembe	Rosy	
RASMUND	Rasmund	Rasmund	Размунд	Rasmund	Rasmund	Rasmund	Rasmund	Rasmund	Rasmund	
WOODSWOMAN	Woodswoman	Leñadora	Лесная женщина	Lenhadora	Waldfrau	Drwal	Dřevorubec	Woodswoman	Taglialegna	
CAPTAIN_TORDEN	Captain Torden	Capitán Torden	Капитан Торден	Capitão Torden	Hauptmann Torden	Kapitan Torden	Kapitán Torden	Kaptan Torden	Capitano Torden	
FOLCARAD	Folcarad Whitestorm	Folcarad Whitestorm	Фолькарад Вайтшторм	Folcarad Whitestorm	Folcarad Whitestorm	Folcarad Whitestorm	Folcarad Whitestorm	Folcarad Whitestorm	Folcarad Whitestorm	
INSANE_WIZARD	Insane Wizard	Mago Loco	Безумный Колдун	Mago Insano	Verrückter Zauberer	Szalony Czarodziej	Šílený Čaroděj	çılgın Sihirbaz	Mago Pazzo	
WHITE_KING	The White King	El Rey Blanco	Белый король	O Rei Branco	Der Weiße König	Biały Król	Bílý Král	Beyaz Kral	Il Re Bianco	
PILGRIM	Pilgrim	Peregrino	Пилигрим	Peregrino	Pilger	Pielgrzym	Poutník		Pellegrino	
BROTHER_HADRI	Brother Hadri	Hermano Hadri	Брат Хадри	Irmão Hadri	Bruder Hadri	Brat Hadri	Bratr Hadri		Fratello Hadri	
TRADER_GARNER	Trader Garner	Comerciante Garner	Торговец Гарнер	Comerciante Garner	Händler Garner	Handlarz Garner	Obchodník Garner		Commerciante Garner	
C13_INN	The Drowned Rat	La Rata Ahogada	Дохлая Крыса	O Rato Afogado	Zur Ertrunkenen Ratte	Utopiony szczur	U Utopené Krysy		Il Ratto Annegato	
J7_INN	The Silver Anchor	El Ancla de Plata	Серебряный Якорь	A Âncora de prata	Zum Silbernen Anker	Srebrna Kotwica	U Stříbrné Kotvy		L'Ancora d'Argento	
TRADER_OTARAB	Trader Otarab	Comerciante Otarab	Торговец Отараб	Comerciante Otarab	Händler Otarab	Handlarz Otarab	Obchodník Otarab		Commerciante Otarab	
TRADER_ORAC	Trader Orac	Comerciante Orac	Торговец Орак	Comerciante Orac	Händlerin Orac	Handlarz Orac	Obchodník Orac		Commerciante Orac	
MESSENGER	Messenger	Mensajero	Гонец	Mensageiro	Bote	Posłaniec	Posel		Messaggero	
SOLDIER	Soldier	Soldado	Солдат	Soldado	Soldat	Żołnierz	Voják		Soldato	
RADIA	Radia	Radia	Радиа	Radia	Radia	Radia	Radia		Radia	
DOBROS_STORME	Dobros Storme	Dobros Storme	Доброс Сторм	Dobros Storme	Dobros Storme	Dobros Storme	Dobros Storme		Dobros Storme	
ANDRYS_STORME	Andrys Storme	Andrys Storme	Эндрис Сторм	Andrys Storme	Andrys Storme	Andrys Storme	Andrys Storme		Andrys Storme	
BED	Bed	Cama	Кровать	Cama	Bett	Bed	Lůžko		Letto	
BLOOD_FOUNTAIN	Fountain of Blood	Fuente de Sangre	Фонтан Крови	Fonte de Sangue	Blutbrunnen	Fontanna Krwi	Krvavá fontána		Fontana di sangue	
EIRENDA	Eirenda	Eirenda	Эйренда	Eirenda	Eirenda	Eirenda	Eirenda		Eirenda	
TRADER_DENTRA	Trader Dentra	Comerciante Dentra	Торговец Дентра	Comerciante Dentra	Händler Dentra	Handlarz Dentra	Obchodnice Dentra		Commerciante Dentra	
BOATMAN_ELEDOR	Boatman Eledor	Barquero Eledor	Лодочник Эледор	Barqueiro Eledor	Bootsmann Eledor	Przewoźnik Eledor	Převozník Eledor		Barcaiolo Eledor	
CAPTAIN_CAREMA	Captain Carema	Capitán Carema	Капитан Карема	Capitão Carema	Hauptmann Carema	Kapitan Carema	Kapitán Carema		Capitano Carema	
PRISONER	Prisoner	Prisionero	Заключённый	Prisioneiro	Gefangener	Więzień	Vězeň		Prigioniero	
SERGEANT_TARBA	Sergeant Tarba	Sargento Tarba	Сержант Тарба	Sargento Tarba	Sergeant Tarba	Sierżant Tarba	Seržant Tarba		Sergente Tarba	
BAGADAR	Bagadar	Bagadar	Багадар	Bagadar	Bagadar	Bagadar	Bagadar		Bagadar	
GOVERNOR_TODBIR	Governor Todbir	Alcaide Todbir	Начальник Тодбир	Governador Todbir	Gouverneur Todbir	Gubernator Todbir	Guvernér Todbir		Governatore Todbir	
CONTRAPTION	Contraption	Artilugio	Штуковина	Engenhoca	Apparat	Aparatura	Zařízení		Aggeggio	
CAPTAIN_BALADIS	Captain Baladis	Capitán Baladis	Капитан Баладис	Capitão Baladis	Kapitän Baladis	Kapitan baladis			Capitano Baladis	
AZERAN	Azeran	Azeran	Азеран	Azeran	Azeran	Azeran			Azeran	
TRADER_GLYPHAX	Trader Glyphax	Comerciante Glyphax	Купец Глифакс	Comerciante Glyphax	Händler Glyphax	Handlarz Glyphax			Commerciante Glyphax	
CAPTAIN_SOROM	Captain Sorom	Capitán Sorom	Капитан Сором	Capitão Sorom	Hauptmann Sorom	Kapitan Sorom			Capitano Sorom	
K11_INN	The Grumpy Elemental	El Elemental Gruñón	Ворчливый Элементаль	O Elemental Ranzinza	Zum mürrischen Elementar	Marudny Żywiołak			L'elementale brontolone	
FOREMAN_DALLIS	Foreman Dallis	Capataz Dallis	Шахтный мастер Даллис	Capataz Daillis	Vorarbeiter Dallis	Majster Dallis			Caposquadra Dallis	
THALASSOS	Thalassos	Thalassos	Таласс	Thalassos	Thalassos	Thalassos			Thalassos	
GOLEM_TRADER	Golem Trader	Golem Comerciante	Голем-торговец	Golem Comerciante	Golem-Händler	Golem Handlarz			Commerciante Golem	
THREE_CLAWS	Three Claws	Tres Garras	Три когтя	Três Garras	Drei Klauen	Trzy Szpony			Tre-Artigli	
STAR_SHADOW	Starshadow	Sombra de Estrella	Звёздная тень	Sombra de Estrela	Sternenschatten	Gwiezny Cień			Ombra Stellare	
LADY_MARISHA	Lady Marisha	Dama Marisha	Леди Мариша	Senhora Marisha	Lady Marisha	Lady Marisha			Lady Marisha	
SIR_IROLIO	Sir Irolio	Sir Irolio	Сир Иролио	Sir Irolio	Sir Irolio	Sir Irolio			Sir Irolio	
LAUGHING_DEER	Laughing Deer	Ciervo Sonriente	Смеющийся олень	Cervo Sorridente	Lachender Hirsch	Śmiejący Się Jeleń			Cervo Sorridente	
QUARTERMASTER	Quartermaster	Intendente	Квартирмейстер	Intendente	Quartiermeister	Kwatermistrz			Intendente	
VARESSA_GOLEM	Varessa's Golem	Golem de Varessa	Голем Варессы	Golem de Varessa	Varessas Golem	Golem Varessy			Golem di Varessa	
VARESSA_GOLEM	Varessa's Golem	Golem de Varessa	Голем Варессы	Golem de Varessa	Varessas Golem	Golem Varessy			Golem di Varessa	
BLAFARNE_PET	Blafarne's Pet	Mascota de Blafarne	Питомец Блэфарна	Mascote de Blafarne	Blafarnes Haustier	Ulubieniec Blafarne			Animale di Blafarne	
