from_key	from_name	to_key	to_name	count
k0.a	GameLevelRenderer	net.fdgames.Helpers.GameConsole	GameConsole	1
k0.a	GameLevelRenderer	net.fdgames.assets.GameAssets	GameAssets	1
k0.a	GameLevelRenderer	net.fdgames.GameWorld.GameData	GameData	1
k0.a	GameLevelRenderer	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
k0.a	GameLevelRenderer	net.fdgames.GameEntities.MapActor	MapActor	1
k0.a	GameLevelRenderer	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
k0.a	GameLevelRenderer	net.fdgames.GameEntities.Final.NPC	NPC	1
k0.a	GameLevelRenderer	net.fdgames.assets.AnimationSet	AnimationSet	1
k0.a	GameLevelRenderer	net.fdgames.GameLogic.ConditionsSet	ConditionsSet	1
l0.a	GameScreen	n0.k1	SimpleDialog	1
l0.a	GameScreen	net.fdgames.GameLevel.GameLevel	GameLevel	1
l0.b	GameScreen	m0.b	GameMap	31
l0.b	GameScreen	k0.a	GameLevelRenderer	15
l0.b	GameScreen	n0.d	CastleWindow	4
l0.b	GameScreen	m0.e	NPCSpawnData	3
l0.b	GameScreen	o0.l	JournalWindow	2
l0.b	GameScreen	o0.n	ReputationWindow	2
l0.b	GameScreen	n0.c0	GameLogWindow	1
l0.b	GameScreen	n0.d0	GameOptionsWindow	1
l0.b	GameScreen	n0.g1	RestWindow	1
l0.b	GameScreen	n0.p1	WaitWindow	1
l0.b	GameScreen	n0.q1	WorldMapImage	1
l0.b	GameScreen	n0.z	GameHUD	1
l0.b	GameScreen	n0.z0	HowManyDialog	1
l0.b	GameScreen	o0.x	StatsDetailWindow	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.Player	Player	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.MonsterSpawn	MonsterSpawn	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.PlantSpawn	PlantSpawn	1
l0.b	GameScreen	net.fdgames.GameLevel.GameLevelData	GameLevelData	1
l0.b	GameScreen	net.fdgames.Rules.Rules	Rules	1
l0.b	GameScreen	net.fdgames.TiledMap.Objects.Trigger	Trigger	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.StaticNPC	StaticNPC	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.SecretDoor	SecretDoor	1
l0.b	GameScreen	net.fdgames.Rules.Spawn	Spawn	1
l0.b	GameScreen	net.fdgames.Rules.SkillActions	SkillActions	1
l0.b	GameScreen	net.fdgames.assets.AnimationLoader	AnimationLoader	1
l0.b	GameScreen	net.fdgames.Rules.Plants	Plants	1
l0.b	GameScreen	net.fdgames.Helpers.GameString	GameString	1
l0.b	GameScreen	net.fdgames.GameWorld.SpawnTableEntry	SpawnTableEntry	1
l0.b	GameScreen	net.fdgames.TiledMap.Objects.Transition	Transition	1
l0.b	GameScreen	net.fdgames.Helpers.Serializer	Serializer	1
l0.b	GameScreen	net.fdgames.assets.Assets	Assets	1
l0.b	GameScreen	net.fdgames.Helpers.FDUtils	FDUtils	1
l0.b	GameScreen	net.fdgames.TiledMap.Objects.Coords	Coords	1
l0.b	GameScreen	net.fdgames.ek.Settings	Settings	1
l0.b	GameScreen	net.fdgames.GameEntities.CharacterSheet.CharacterEffects	CharacterEffects	1
l0.b	GameScreen	net.fdgames.GameWorld.GameWorld	GameWorld	1
l0.b	GameScreen	net.fdgames.GameLevel.GameLevel	GameLevel	1
l0.b	GameScreen	net.fdgames.Helpers.GameConsole	GameConsole	1
l0.b	GameScreen	net.fdgames.assets.GameAssets	GameAssets	1
l0.b	GameScreen	net.fdgames.GameEntities.Helpers.Shop	Shop	1
l0.b	GameScreen	net.fdgames.GameEntities.CharacterSheet.CharacterSheet	CharacterSheet	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.Trap	Trap	1
l0.b	GameScreen	net.fdgames.Rules.Plant	Plant	1
l0.b	GameScreen	net.fdgames.ek.GPGSUpdate	GPGSUpdate	1
l0.b	GameScreen	net.fdgames.GameWorld.GameData	GameData	1
l0.b	GameScreen	net.fdgames.GameWorld.MessageRouter	MessageRouter	1
l0.b	GameScreen	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.MapContainer	MapContainer	1
l0.b	GameScreen	net.fdgames.assets.AnimationSet	AnimationSet	1
l0.b	GameScreen	net.fdgames.GameEntities.MapActor	MapActor	1
l0.b	GameScreen	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.NPC	NPC	1
l0.b	GameScreen	net.fdgames.ek.IPlatformResolver	IPlatformResolver	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.MapEffectEntity	MapEffectEntity	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.MapItem	MapItem	1
l0.b	GameScreen	net.fdgames.GameWorld.WorldFactions	WorldFactions	1
l0.b	GameScreen	net.fdgames.GameEntities.Final.Door	Door	1
l0.b	GameScreen	net.fdgames.GameLogic.ConditionsSet	ConditionsSet	1
l0.c	IntroScreen	net.fdgames.assets.Intro	Intro	1
l0.c	IntroScreen	net.fdgames.TiledMap.Objects.Transition	Transition	1
l0.c	IntroScreen	net.fdgames.assets.Assets	Assets	1
l0.c	IntroScreen	net.fdgames.assets.IntroStage	IntroStage	1
l0.c	IntroScreen	net.fdgames.assets.GameAssets	GameAssets	1
l0.c	IntroScreen	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
l0.c	IntroScreen	net.fdgames.Helpers.GameString	GameString	1
l0.d	LoadingScreen	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
l0.d	LoadingScreen	net.fdgames.ek.Settings	Settings	1
l0.d	LoadingScreen	net.fdgames.Helpers.FDUtils	FDUtils	1
l0.d	LoadingScreen	net.fdgames.assets.Assets	Assets	1
l0.d	LoadingScreen	net.fdgames.GameWorld.GameData	GameData	1
l0.e	MainMenuScreen	n0.t	ExtendedTextButton	10
l0.e	MainMenuScreen	q0.b	ChooseGameWindow	4
l0.e	MainMenuScreen	q0.i	CreditsWindow	4
l0.e	MainMenuScreen	q0.a	BackupWindow	4
l0.e	MainMenuScreen	n0.g	ChooseSaveWindow	4
l0.e	MainMenuScreen	q0.t	LibraryWindow	4
l0.e	MainMenuScreen	o0.r	SkillInfoWindow	3
l0.e	MainMenuScreen	p0.a	ClassesHelpWindow	3
l0.e	MainMenuScreen	q0.c	ChooseLanguageDialog	3
l0.e	MainMenuScreen	q0.p	GPGSConnectButton	2
l0.e	MainMenuScreen	q0.n	DesktopBackupWindow	2
l0.e	MainMenuScreen	q0.h	ControllerSettingsWindow	2
l0.e	MainMenuScreen	n0.c1	KeyboardWindow	1
l0.e	MainMenuScreen	n0.i1	SettingsDesktopWindow	1
l0.e	MainMenuScreen	n0.j1	SettingsWindow	1
l0.e	MainMenuScreen	n0.k1	SimpleDialog	1
l0.e	MainMenuScreen	n0.o1	WaitMenuWindow	1
l0.e	MainMenuScreen	o0.a0	TraitsWindow	1
l0.e	MainMenuScreen	o0.t	SkillWindow	1
l0.e	MainMenuScreen	q0.v	NewGameWindow	1
l0.e	MainMenuScreen	q0.x	RateWindow	1
l0.e	MainMenuScreen	q0.z	WaitBackupWindow	1
l0.e	MainMenuScreen	l0.c	IntroScreen	1
l0.e	MainMenuScreen	net.fdgames.GameLevel.GameLevelData	GameLevelData	1
l0.e	MainMenuScreen	net.fdgames.TiledMap.Objects.Transition	Transition	1
l0.e	MainMenuScreen	net.fdgames.Helpers.Serializer	Serializer	1
l0.e	MainMenuScreen	net.fdgames.assets.Assets	Assets	1
l0.e	MainMenuScreen	net.fdgames.Helpers.FDUtils	FDUtils	1
l0.e	MainMenuScreen	net.fdgames.ek.Settings	Settings	1
l0.e	MainMenuScreen	net.fdgames.Helpers.GameConsole	GameConsole	1
l0.e	MainMenuScreen	net.fdgames.assets.GameAssets	GameAssets	1
l0.e	MainMenuScreen	net.fdgames.ek.GPGSUpdate	GPGSUpdate	1
l0.e	MainMenuScreen	net.fdgames.GameWorld.GameData	GameData	1
l0.e	MainMenuScreen	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
l0.e	MainMenuScreen	net.fdgames.ek.android.MainActivity	MainActivity	1
l0.e	MainMenuScreen	net.fdgames.Helpers.GameString	GameString	1
l0.e	MainMenuScreen	net.fdgames.Rules.PlayerCreation	PlayerCreation	1
m0.a	ADTIsometricTiledMapRenderer	n0.z	GameHUD	1
m0.a	ADTIsometricTiledMapRenderer	k0.a	GameLevelRenderer	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.GameLevel.GameLevelData	GameLevelData	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.GameEntities.Final.SecretDoor	SecretDoor	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.Helpers.Serializer	Serializer	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.TiledMap.Objects.Coords	Coords	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.GameEntities.MapSprite	MapSprite	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.GameLevel.GameLevel	GameLevel	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.assets.GameAssets	GameAssets	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.GameWorld.GameData	GameData	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
m0.a	ADTIsometricTiledMapRenderer	net.fdgames.GameEntities.Final.Door	Door	1
m0.b	GameMap	n0.w	FloatingText	1
m0.b	GameMap	k0.a	GameLevelRenderer	1
m0.b	GameMap	net.fdgames.GameEntities.Final.Player	Player	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.RestPoint	RestPoint	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.MapLight	MapLight	1
m0.b	GameMap	net.fdgames.GameEntities.Final.PlantSpawn	PlantSpawn	1
m0.b	GameMap	net.fdgames.GameLevel.GameLevelData	GameLevelData	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.Trigger	Trigger	1
m0.b	GameMap	net.fdgames.GameEntities.Final.SecretDoor	SecretDoor	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.MapCastle	MapCastle	1
m0.b	GameMap	net.fdgames.Helpers.GameString	GameString	1
m0.b	GameMap	net.fdgames.GameEntities.Character	Character	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.Waypoint	Waypoint	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.Transition	Transition	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.Coords	Coords	1
m0.b	GameMap	net.fdgames.Helpers.FDUtils	FDUtils	1
m0.b	GameMap	net.fdgames.GameWorld.GameWorld	GameWorld	1
m0.b	GameMap	net.fdgames.GameLevel.GameLevel	GameLevel	1
m0.b	GameMap	net.fdgames.GameEntities.Helpers.Shop	Shop	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.ItemConversation	ItemConversation	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.MapConversation	MapConversation	1
m0.b	GameMap	net.fdgames.GameWorld.GameData	GameData	1
m0.b	GameMap	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
m0.b	GameMap	net.fdgames.GameEntities.Final.MapContainer	MapContainer	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.MapEntry	MapEntry	1
m0.b	GameMap	net.fdgames.TiledMap.Objects.Bed	Bed	1
m0.b	GameMap	net.fdgames.GameEntities.MapActor	MapActor	1
m0.b	GameMap	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
m0.b	GameMap	net.fdgames.GameEntities.Final.NPC	NPC	1
m0.b	GameMap	net.fdgames.GameEntities.Final.MapEffectEntity	MapEffectEntity	1
m0.b	GameMap	net.fdgames.GameEntities.Final.Loot	Loot	1
m0.b	GameMap	net.fdgames.GameEntities.Final.MapItem	MapItem	1
m0.b	GameMap	net.fdgames.GameWorld.WorldFactions	WorldFactions	1
m0.b	GameMap	net.fdgames.GameEntities.Final.Door	Door	1
m0.b	GameMap	net.fdgames.GameLogic.ConditionsSet	ConditionsSet	1
m0.c	MapStaticEffects	net.fdgames.GameEntities.Helpers.MapEffect	MapEffect	1
m0.c	MapStaticEffects	net.fdgames.Helpers.FDUtils	FDUtils	1
m0.c	MapStaticEffects	net.fdgames.GameWorld.GameData	GameData	1
m0.d	NPCConversation	net.fdgames.GameLevel.GameLevel	GameLevel	1
m0.d	NPCConversation	net.fdgames.GameEntities.MapObject	MapObject	1
m0.d	NPCConversation	net.fdgames.TiledMap.Objects.Coords	Coords	1
m0.d	NPCConversation	net.fdgames.TiledMap.Objects.MapConversation	MapConversation	1
m0.d	NPCConversation	net.fdgames.GameWorld.GameData	GameData	1
n0.a	ADTProgressBar	net.fdgames.assets.GameAssets	GameAssets	1
n0.a	ADTProgressBar	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.a0	GameHUD	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
n0.a0	GameHUD	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.a0	GameHUD	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.a0	GameHUD	net.fdgames.ek.ControllerConfig	ControllerConfig	1
n0.a0	GameHUD	net.fdgames.ek.Settings	Settings	1
n0.a0	GameHUD	net.fdgames.GameWorld.GameData	GameData	1
n0.a1	InnDescriptionTable	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
n0.a1	InnDescriptionTable	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.a1	InnDescriptionTable	net.fdgames.assets.GameAssets	GameAssets	1
n0.a1	InnDescriptionTable	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.a1	InnDescriptionTable	net.fdgames.assets.Assets	Assets	1
n0.a1	InnDescriptionTable	net.fdgames.Helpers.GameString	GameString	1
n0.a1	InnDescriptionTable	net.fdgames.Helpers.FDUtils	FDUtils	1
n0.a1	InnDescriptionTable	net.fdgames.GameWorld.Party	Party	1
n0.a1	InnDescriptionTable	net.fdgames.GameWorld.GameData	GameData	1
n0.b	ADTVerticalProgressBar	net.fdgames.assets.GameAssets	GameAssets	1
n0.b0	GameLogConsole	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.b0	GameLogConsole	net.fdgames.GameWorld.GameData	GameData	1
n0.b1	KeyConfigTable	net.fdgames.ek.KeyboardConfig	KeyboardConfig	1
n0.b1	KeyConfigTable	net.fdgames.assets.GameAssets	GameAssets	1
n0.b1	KeyConfigTable	net.fdgames.ek.ControllerCommand	ControllerCommand	1
n0.b1	KeyConfigTable	net.fdgames.ek.Settings	Settings	1
n0.b1	KeyConfigTable	net.fdgames.assets.Assets	Assets	1
n0.b1	KeyConfigTable	net.fdgames.Helpers.GameString	GameString	1
n0.c	CastleDescriptionTable	net.fdgames.GameWorld.GameWorld	GameWorld	1
n0.c	CastleDescriptionTable	net.fdgames.assets.GameAssets	GameAssets	1
n0.c	CastleDescriptionTable	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.c	CastleDescriptionTable	net.fdgames.GameWorld.WorldFaction	WorldFaction	1
n0.c	CastleDescriptionTable	net.fdgames.assets.Assets	Assets	1
n0.c	CastleDescriptionTable	net.fdgames.Helpers.GameString	GameString	1
n0.c	CastleDescriptionTable	net.fdgames.Helpers.FDUtils	FDUtils	1
n0.c	CastleDescriptionTable	net.fdgames.GameWorld.Castle	Castle	1
n0.c0	GameLogWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.c0	GameLogWindow	net.fdgames.assets.GameAssets	GameAssets	1
n0.c0	GameLogWindow	net.fdgames.assets.Assets	Assets	1
n0.c0	GameLogWindow	net.fdgames.Helpers.GameString	GameString	1
n0.c0	GameLogWindow	net.fdgames.GameWorld.LogLine	LogLine	1
n0.c0	GameLogWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.c1	KeyboardWindow	n0.b1	KeyConfigTable	1
n0.c1	KeyboardWindow	net.fdgames.assets.GameAssets	GameAssets	1
n0.c1	KeyboardWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.c1	KeyboardWindow	net.fdgames.ek.ControllerCommand	ControllerCommand	1
n0.c1	KeyboardWindow	net.fdgames.assets.Assets	Assets	1
n0.c1	KeyboardWindow	net.fdgames.Helpers.GameString	GameString	1
n0.c1	KeyboardWindow	net.fdgames.ek.Settings	Settings	1
n0.d	CastleWindow	net.fdgames.GameEntities.Final.Player	Player	1
n0.d	CastleWindow	net.fdgames.GameWorld.DynamicQuest	DynamicQuest	1
n0.d	CastleWindow	net.fdgames.GameWorld.QuestVariation	QuestVariation	1
n0.d	CastleWindow	net.fdgames.GameWorld.Castles	Castles	1
n0.d	CastleWindow	net.fdgames.ek.ControllerConfig	ControllerConfig	1
n0.d	CastleWindow	net.fdgames.assets.Assets	Assets	1
n0.d	CastleWindow	net.fdgames.ek.Settings	Settings	1
n0.d	CastleWindow	net.fdgames.GameWorld.GameWorld	GameWorld	1
n0.d	CastleWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.d	CastleWindow	net.fdgames.GameWorld.Quest	Quest	1
n0.d	CastleWindow	net.fdgames.GameWorld.Castle	Castle	1
n0.d	CastleWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.d	CastleWindow	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
n0.d	CastleWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.d	CastleWindow	net.fdgames.GameWorld.Quests	Quests	1
n0.d	CastleWindow	net.fdgames.Helpers.GameString	GameString	1
n0.d	CastleWindow	net.fdgames.GameWorld.WorldFactions	WorldFactions	1
n0.d0	GameOptionsWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.d0	GameOptionsWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.d0	GameOptionsWindow	net.fdgames.Helpers.Serializer	Serializer	1
n0.d0	GameOptionsWindow	net.fdgames.assets.Assets	Assets	1
n0.d0	GameOptionsWindow	net.fdgames.Helpers.GameString	GameString	1
n0.d0	GameOptionsWindow	net.fdgames.ek.GPGSUpdate	GPGSUpdate	1
n0.d0	GameOptionsWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.d1	LockedDialog	net.fdgames.assets.GameAssets	GameAssets	1
n0.d1	LockedDialog	net.fdgames.assets.Assets	Assets	1
n0.e	CharacterMessageDialog	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.e	CharacterMessageDialog	net.fdgames.assets.GameAssets	GameAssets	1
n0.e	CharacterMessageDialog	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.e	CharacterMessageDialog	net.fdgames.assets.Assets	Assets	1
n0.e	CharacterMessageDialog	net.fdgames.Helpers.FDUtils	FDUtils	1
n0.e	CharacterMessageDialog	net.fdgames.GameWorld.GameData	GameData	1
n0.e0	HUDMessages	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.e1	PlayerButton	net.fdgames.assets.GameAssets	GameAssets	1
n0.e1	PlayerButton	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.e1	PlayerButton	net.fdgames.ek.Settings	Settings	1
n0.e1	PlayerButton	net.fdgames.GameWorld.GameData	GameData	1
n0.f	ChooseQuestWindow	net.fdgames.GameEntities.Final.MonsterSpawn	MonsterSpawn	1
n0.f	ChooseQuestWindow	net.fdgames.GameLevel.GameLevelData	GameLevelData	1
n0.f	ChooseQuestWindow	net.fdgames.GameWorld.DynamicQuest	DynamicQuest	1
n0.f	ChooseQuestWindow	net.fdgames.assets.Assets	Assets	1
n0.f	ChooseQuestWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.f	ChooseQuestWindow	net.fdgames.assets.GameAssets	GameAssets	1
n0.f	ChooseQuestWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.f	ChooseQuestWindow	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
n0.f	ChooseQuestWindow	net.fdgames.GameEntities.Final.MapContainer	MapContainer	1
n0.f	ChooseQuestWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.f	ChooseQuestWindow	net.fdgames.GameEntities.Final.NPC	NPC	1
n0.f	ChooseQuestWindow	net.fdgames.Helpers.GameString	GameString	1
n0.f0	HUDMessages	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.f1	RecoverButton	net.fdgames.assets.GameAssets	GameAssets	1
n0.f1	RecoverButton	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.f1	RecoverButton	net.fdgames.GameWorld.GameData	GameData	1
n0.g	ChooseSaveWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.g	ChooseSaveWindow	net.fdgames.Helpers.GameConsole	GameConsole	1
n0.g	ChooseSaveWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.g	ChooseSaveWindow	net.fdgames.Helpers.Serializer	Serializer	1
n0.g	ChooseSaveWindow	net.fdgames.assets.Assets	Assets	1
n0.g	ChooseSaveWindow	net.fdgames.Helpers.GameString	GameString	1
n0.g	ChooseSaveWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.g0	HUDMessages	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.g1	RestWindow	net.fdgames.GameWorld.WorldEvents	WorldEvents	1
n0.g1	RestWindow	net.fdgames.TiledMap.Objects.RestPoint	RestPoint	1
n0.g1	RestWindow	net.fdgames.GameWorld.DynamicQuest	DynamicQuest	1
n0.g1	RestWindow	net.fdgames.assets.Assets	Assets	1
n0.g1	RestWindow	net.fdgames.GameWorld.GameWorld	GameWorld	1
n0.g1	RestWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.g1	RestWindow	net.fdgames.Helpers.GameConsole	GameConsole	1
n0.g1	RestWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.g1	RestWindow	net.fdgames.GameEntities.AI.Pathfinding.AStarPathFinder	AStarPathFinder	1
n0.g1	RestWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.g1	RestWindow	net.fdgames.GameWorld.Quests	Quests	1
n0.g1	RestWindow	net.fdgames.Helpers.GameString	GameString	1
n0.g1	RestWindow	net.fdgames.GameWorld.DynamicEvent	DynamicEvent	1
n0.h0	HUDMessages	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.h1	SaveWindow	net.fdgames.assets.Assets	Assets	1
n0.h1	SaveWindow	net.fdgames.Helpers.GameString	GameString	1
n0.i0	HUDMessages	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.i1	SettingsDesktopWindow	net.fdgames.Helpers.Serializer	Serializer	1
n0.i1	SettingsDesktopWindow	net.fdgames.assets.Assets	Assets	1
n0.i1	SettingsDesktopWindow	net.fdgames.ek.ControllerConfig	ControllerConfig	1
n0.i1	SettingsDesktopWindow	net.fdgames.ek.Settings	Settings	1
n0.i1	SettingsDesktopWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.i1	SettingsDesktopWindow	net.fdgames.assets.GameAssets	GameAssets	1
n0.i1	SettingsDesktopWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.i1	SettingsDesktopWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.i1	SettingsDesktopWindow	net.fdgames.Helpers.GameString	GameString	1
n0.j	ConfirmDialog	net.fdgames.assets.GameAssets	GameAssets	1
n0.j	ConfirmDialog	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.j	ConfirmDialog	net.fdgames.assets.Assets	Assets	1
n0.j0	HUDMessages	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.j1	SettingsWindow	net.fdgames.ek.Settings	Settings	1
n0.j1	SettingsWindow	net.fdgames.assets.Assets	Assets	1
n0.j1	SettingsWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
n0.j1	SettingsWindow	net.fdgames.assets.GameAssets	GameAssets	1
n0.j1	SettingsWindow	net.fdgames.GameWorld.GameData	GameData	1
n0.j1	SettingsWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.j1	SettingsWindow	net.fdgames.Helpers.GameString	GameString	1
n0.k	ConversationWindow	net.fdgames.assets.GameAssets	GameAssets	1
n0.k	ConversationWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
n0.k1	SimpleDialog	net.fdgames.assets.GameAssets	GameAssets	1
n0.k1	SimpleDialog	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
