id	name	type	value	description
10132	Ring of Teleportation	SCROLL	4000	Will send you wherever you want!
10133	Murderous Ring	SCROLL	3000	A desirable thing for suicides!
10134	Armor Heavenly Knights	armor_chest	10	Magically enhanced armor.
10135	Armor God	armor_chest	10	A gift from Three.
10136	Big Fang Basilisk	WEAPON	4800	Any scratch is deadly poisonous.
10137	Little Fang Basilisk	SHIELD	3000	Any scratch is deadly poisonous.
10138	Fire Flurry	WEAPON	10	The cherished dream of any pyromaniac!
10139	Crystal Flame	WEAPON	10	A consecrated crystal that releases flames that burn any undead!
10140	Winter Sadness	WEAPON	19500	Deadly touch of winter.
10141	Blizzard	WEAPON	18000	Plunge your enemies into a steel blizzard!
10142	Shard of Ice	WEAPON	18500	Let the enemies know the pain!
10143	Cold Breath	WEAPON	17000	Snow hurricane of arrows!
10144	Ice Spike	SHIELD	13800	Aiming at the very heart!
10145	Ring Lord of Cold	ring	8600	Tell winter to go away!
10146	White Coat	cloak	2400	Winter cloak made of very warm fur.
10147	Insulated Shoes	armor_feet	2000	The main thing is to keep your feet warm!
10148	Fur Gloves	armor_arms	1600	Though thick, but comfortable.
10149	North Star Orb	SHIELD	8600	An ice sphere with powerful protective charms.
10150	Energy Blade	WEAPON	10500	A blade of the purest energy.
10151	Energy Explorer	POTION	1500	The most powerful means of protection against discharge, gives +90 to the resistance for 2 minutes.
10152	Cloak of Energy	cloak	4100	Complete isolation for walking in a thunderstorm.
10153	Black Leather Armor	armor_chest	10	Every ninja's dream.
10154	Leggings Heavenly Knights	armor_legs	10	Magically enhanced armor.
10155	Boots Heavenly Knights	armor_feet	10	Magically enhanced armor.
10156	Helm Heavenly Knights	armor_head	10	Magically enhanced armor.
10157	Helm God	armor_head	10	A gift from Three.
10158	Leggings of Fashion	armor_legs	10	Enemies will die of envy!
10159	Perfect Boots	armor_feet	10	Beautiful, comfortable, warm and with good protection!
10160	Red robe of Master	armor_chest	10	Magical outfit with energy recharge.
10161	Mantle with Stars	armor_chest	10	It belonged to a stupid powerful wizard.
10162	Black Scales	armor_chest	10	A great find for night outings.
10163	Ice Buckler	SHIELD	10	Durable than it might seem.
10164	Gilded Shield	SHIELD	10	Beautiful and very strong.
10165	Armor Heavenly Knights	armor_chest	4600	Magically enhanced armor.
10166	Leggings Heavenly Knights	armor_legs	2900	Magically enhanced armor.
10167	Boots Heavenly Knights	armor_feet	2200	Magically enhanced armor.
10168	Helm Heavenly Knights	armor_head	2500	Magically enhanced armor.
10169	Shield Heavenly Knights	SHIELD	3000	Magically enhanced armor.
10170	Painful Blade	WEAPON	2100	The executioner's tool.
10171	Heart Thunderstorms	WEAPON	9800	The fury of all the storm accommodates this staff.
10172	Heavenly Gift Orb	SHIELD	8700	A powerful magic shield made of pure energy.
10173	Magic Ancient	general	-1	Despite the new braid, the book is very old written in an unknown language.
10174	Steel Key	general	-1	You found this key on the corpse of captain Greedy, for sure, it is from the hiding place where he kept the stolen gold.
10175	Widowmaker	WEAPON	8300	The old blade is of good quality, but there are some unkind charms in it.
10176	Disgusting Armor	armor_chest	4200	Good armor, but not safe when worn for health.
10177	Disgusting Leggings	armor_legs	2700	Good armor, but not safe when worn for health.
10178	Disgusting Boots	armor_feet	1700	Good boots, you can walk through acid mud without any problems in them.
10179	Disgusting Helm	armor_head	2000	It's a good helmet, but you can suffocate from the stench in it if you don't take it off for a long time.
10180	Plague Hammer	WEAPON	7000	Just from the mere presence of this weapon, enemies will die!
10181	God's Wrath	WEAPON	20000	A weapon worthy of only the most righteous warriors.
10182	Deadlysong	WEAPON	10	The mere sight of this blade fatally strikes all enemies!
10183	Staff Concentration of Power	WEAPON	10	A magical weapon overflowing with destructive power.
10184	Whiff of Fate	WEAPON	10	Every arrow brings imminent death!
10185	Fiery Retribution	WEAPON	10	No one can escape from this flame!
10186	Chilling Doom	WEAPON	10	The cold embrace of winter will take your enemies to a frosty hell!
10187	Solar Disk	WEAPON	10	This light in your hands will incinerate all enemies!
10188	Crown of Lightning	WEAPON	10	This energy is bursting into freedom to bring death to your enemies!
10189	Countenances of Death	WEAPON	10	A tool from the hands of death itself!
10190	Master Gloves	armor_arms	10	It is possible to do absolutely everything in these gloves!
10191	Miracle Ring	ring	10	This precious is yours now!
10192	Heroic Belt	belt	10	Feel like a superhero with this belt!
10193	Dusky Sting	WEAPON	1500	This weapon emits evil energy.
10194	Fatal Cry	WEAPON	2000	This weapon emits evil energy.
10195	Mortal Covering	armor_chest	700	Blessed or cursed light armor.
10196	Black Fang	WEAPON	4500	This claw belonged to a creepy creature, now it will serve you.
10197	Bone Cloak	cloak	6000	The skin of this creature will be very difficult to break through with anything.
10198	Ancestral Sword Braveear	WEAPON	800	A good sword, the engravings on its hilt indicate that it belongs to the Braveear family.
10199	Radiant Shield	SHIELD	2100	The spell of this shield is so strong that it can not only protect the owner, but also hit enemies.
10200	Dragon Slayer	WEAPON	5800	This sword is so huge that it can be used as a shield, but not everyone will be able to shoulder it.
10201	Armor Servant of Light	armor_chest	20700	These armors shine even in the most impenetrable darkness, protecting against the forces of dark evil.
10202	Armor Servant of Light	armor_legs	19100	These armors shine even in the most impenetrable darkness, protecting against the forces of dark evil.
10203	Rays of Righteousness	WEAPON	8300	The Light will burn the wicked to ashes!
10204	Purification	WEAPON	8700	A tool for ridding the world of dark forces.
10205	Solar Pollen	POTION	500	This potion will grant you great strength for a while, but will weaken your defense against dark evil (-80 to resistance to Death, +60 to melee attack for 4 seconds).
10206	Massive Gold Chain	necklace	7000	Attributes of real fellas!
10207	Blessed Tiara of Heaven	armor_head	-1	A powerful artifact of the servants of light.
10208	Ring of Grace	ring	8000	Strong charms against evil forces.
10209	Call of Doom	WEAPON	9000	Disastrous charms that not everyone dares to control.
10210	Platinum Pendant	necklace	10	Accessory for cool heroes.
10211	Tiara Unreal Superiority	armor_head	10	Let all the kingdoms know who is the number one hero!
10212	Super Cloak	cloak	10	Now you can bring justice to any kingdom!
10213	Bow Machine Gun	WEAPON	10	Arrange a shower of arrows for your enemies!
10214	Reforged Steel Dagger	WEAPON	450	This blade was reforged for you by the blacksmith Hilt.
10215	Reforged Steel Shortsword	WEAPON	550	This blade was reforged for you by the blacksmith Hilt.
10216	Reforged Steel Longsword	WEAPON	700	This blade was reforged for you by the blacksmith Hilt.
10217	Reforged Steel Greatsword	WEAPON	800	This sword was reforged for you by the blacksmith Hilt.
10218	Reforged Steel Mace	WEAPON	600	This weapon was reforged for you by the blacksmith Hilt.
10219	Reforged Steel Hammer	WEAPON	550	This weapon was reforged for you by the blacksmith Hilt.
10220	Reforged Steel Maul	WEAPON	900	This weapon was reforged for you by the blacksmith Hilt.
10221	Reforged Steel Axe	WEAPON	560	This weapon was reforged for you by the blacksmith Hilt.
10222	Reforged Steel Greataxe	WEAPON	750	This weapon was reforged for you by the blacksmith Hilt.
10223	Bewitched Steel Dagger	WEAPON	750	This blade was enchanted for you by the enchantress Magnolia.
10224	Bewitched Steel Shortsword	WEAPON	850	This blade was enchanted for you by the enchantress Magnolia.
10225	Bewitched Steel Longsword	WEAPON	1000	This blade was enchanted for you by the enchantress Magnolia.
10226	Bewitched Steel Greatsword	WEAPON	1100	This sword was enchanted for you by the enchantress Magnolia.
10227	Bewitched Steel Mace	WEAPON	900	This weapon was enchanted for you by the enchantress Magnolia.
10228	Bewitched Steel Hammer	WEAPON	850	This weapon was enchanted for you by the enchantress Magnolia.
10229	Bewitched Steel Maul	WEAPON	1200	This weapon was enchanted for you by the enchantress Magnolia.
10230	Bewitched Steel Axe	WEAPON	860	This weapon was enchanted for you by the enchantress Magnolia.
10231	Bewitched Steel Greataxe	WEAPON	1050	This weapon was enchanted for you by the enchantress Magnolia.
10232	Bewitched Steel Dagger	WEAPON	800	This weapon was enchanted for you by the enchantress Magnolia.
10233	Bewitched Steel Shortsword	WEAPON	900	This blade was enchanted for you by the enchantress Magnolia.
10234	Bewitched Steel Longsword	WEAPON	1050	This blade was enchanted for you by the enchantress Magnolia.
10235	Bewitched Steel Greatsword	WEAPON	1150	This sword was enchanted for you by the enchantress Magnolia.
10236	Bewitched Steel Mace	WEAPON	950	This weapon was enchanted for you by the enchantress Magnolia.
10237	Bewitched Steel Hammer	WEAPON	900	This weapon was enchanted for you by the enchantress Magnolia.
10238	Bewitched Steel Maul	WEAPON	1250	This weapon was enchanted for you by the enchantress Magnolia.
10239	Bewitched Steel Axe	WEAPON	910	This weapon was enchanted for you by the enchantress Magnolia.
10240	Bewitched Steel Greataxe	WEAPON	1100	This weapon was enchanted for you by the enchantress Magnolia.
10241	Bewitched Steel Dagger	WEAPON	850	This blade was enchanted for you by the enchantress Magnolia.
10242	Bewitched Steel Shortsword	WEAPON	950	This blade was enchanted for you by the enchantress Magnolia.
10243	Bewitched Steel Longsword	WEAPON	1100	This blade was enchanted for you by the enchantress Magnolia.
10244	Bewitched Steel Greatsword	WEAPON	1200	This sword was enchanted for you by the enchantress Magnolia.
10245	Bewitched Steel Mace	WEAPON	1000	This weapon was enchanted for you by the enchantress Magnolia.
10246	Bewitched Steel Hammer	WEAPON	950	This weapon was enchanted for you by the enchantress Magnolia.
10247	Bewitched Steel Maul	WEAPON	1300	This weapon was enchanted for you by the enchantress Magnolia.
10248	Bewitched Steel Axe	WEAPON	960	This weapon was enchanted for you by the enchantress Magnolia.
10249	Bewitched Steel Greataxe	WEAPON	1150	This weapon was enchanted for you by the enchantress Magnolia.
10250	Beatrice Amulet	necklace	700	This amulet was made for you by the sorceress Beatrice.
10251	Bewitched Steel Dagger	WEAPON	880	This blade was enchanted for you by the enchantress Beatrice.
10252	Bewitched Steel Shortsword	WEAPON	980	This blade was enchanted for you by the enchantress Beatrice.
10253	Bewitched Steel Longsword	WEAPON	1130	This blade was enchanted for you by the enchantress Beatrice.
10254	Bewitched Steel Greatsword	WEAPON	1230	This sword was enchanted for you by the enchantress Beatrice.
10255	Bewitched Steel Mace	WEAPON	1030	This weapon was enchanted for you by the enchantress Beatrice.
10256	Bewitched Steel Hammer	WEAPON	980	This weapon was enchanted for you by the enchantress Beatrice.
10257	Bewitched Steel Maul	WEAPON	1330	This weapon was enchanted for you by the enchantress Beatrice.
10258	Bewitched Steel Axe	WEAPON	990	This weapon was enchanted for you by the enchantress Beatrice.
10259	Bewitched Steel Greataxe	WEAPON	1180	This weapon was enchanted for you by the enchantress Beatrice.
10260	Employment Contract	general	-1	Compiled by Agnius, signed by a hunter who agreed to work for you.
10261	Blessed Steel Dagger	WEAPON	910	This blade was blessed in the temple of the Northern gods.
10262	Blessed Steel Shortsword	WEAPON	1010	This blade was blessed in the temple of the Northern gods.
10263	Blessed Steel Longsword	WEAPON	1160	This blade was blessed in the temple of the Northern gods.
10264	Blessed Steel Greatsword	WEAPON	1260	This sword was blessed in the temple of the Northern gods.
10265	Blessed Steel Mace	WEAPON	1060	This weapon was blessed in the temple of the Northern gods.
10266	Blessed Steel Hammer	WEAPON	1030	This weapon was blessed in the temple of the Northern gods.
10267	Blessed Steel Maul	WEAPON	1360	This weapon was blessed in the temple of the Northern gods.
10268	Blessed Steel Axe	WEAPON	1020	This weapon was blessed in the temple of the Northern gods.
10269	Blessed Steel Greataxe	WEAPON	1210	This weapon was blessed in the temple of the Northern gods.
10270	Bewitched5 Steel Shortsword	WEAPON	1150	This blade was enchanted for you by the magician Ronald.
10271	Bewitched5 Steel Longsword	WEAPON	1300	This blade was enchanted for you by the magician Ronald.
10272	Bewitched5 Steel Greatsword	WEAPON	1400	This sword was enchanted for you by the magician Ronald.
10273	Bewitched Bluesteel Shortsword	WEAPON	2200	This blade was enchanted for you by the magician Ronald.
10274	Bewitched Bluesteel Longsword	WEAPON	2400	This blade was enchanted for you by the magician Ronald.
10275	Bewitched Bluesteel Greatsword	WEAPON	2900	This sword was enchanted for you by the magician Ronald.
10276	Bewitched Adamantite Shortsword	WEAPON	9000	This blade was enchanted for you by the enchantress Magnolia.
10277	Bewitched Adamantite Longsword	WEAPON	9000	This blade was enchanted for you by the enchantress Magnolia.
10278	Bewitched Adamantite Greatsword	WEAPON	13000	This sword was enchanted for you by the enchantress Magnolia.
10279	Huntering bow Scarlett	WEAPON	-1	A great bow for both hunting and battle.
10280	Hunting Knife	WEAPON	1400	With such a knife, you can go to the bear.
10281	Silver Greatsword Anabel	WEAPON	-1	Shiny and beautiful, but maybe too light to be a good weapon.
10282	Blessed Silver Dagger	WEAPON	1460	This blade was blessed in the temple of the Northern gods.
10283	Blessed Steel Shield	SHIELD	4600	This shield was blessed in the temple of the Northern gods.
10284	Remains of prince Vardius	general	-1	Human remains that may belong to prince Vardy.
10285	Teleport	SCROLL	10	Poke the arrow.
10286	Bag with goods	general	-1	A bag with glass bottles containing various liquids, it is quite possible that they are poisonous, so you should not study them.
10287	Crystal of Flame	general	-1	A magic crystal, but you have no idea what it is for, and how to use it.
10288	Charged Crystal of Flame	WEAPON	5000	Now this crystal can release fire charges at your request.
10289	Demonic Crystal	WEAPON	8000	Imbued with demonic power, the crystal now releases more destructive charges.
10290	Fiery Core	general	-1	It looks like this thing is the heart of these creatures.
10291	Pouch of seeds	general	-1	Seeds from ice thistle.
10292	Infernal Scroll	SCROLL	12000	Summon a huge demon to help for 20 seconds.
10293	Thief's Note	general	-1	A note with your address that you found on the thief's corpse.
10294	Snow Cloak	cloak	2500	It will warm you even in the most severe frosts.
10295	Ultimate Punishment	WEAPON	26000	A staff of monstrous power, but its use is harmful to health.
10296	Antithesis	WEAPON	13050	A unique blade combining the charms of the opposite elements.
10297	Energy Shield	SHIELD	12200	Consisting of intangible energy, it will reflect the strongest blow.
10298	Head Smasher	SHIELD	11300	Light in weight, but can deliver powerful blows that paralyze enemies.
10299	Steel Light	WEAPON	13160	Like frozen water, light burning your enemies.
10300	Orb of Unification Elements	SHIELD	10600	Combines protection from several elements at once.
10301	Belt of Good Man	belt	8000	A stylish belt that will not leave you without the attention of others.
10302	Icingdeath	WEAPON	11700	Arrows carrying deadly cold.
10303	Harbinger of Storm	WEAPON	12500	The blade of this unusual sword clearly never needs sharpening.
10304	Steel Key	general	-1	Almost like a brand new key, from some kind of lock.
10305	Patterned Steel Key	general	-1	Perhaps this is the key to the showcase case with the sword.
10306	Manual	general	-1	A scroll from the workshop containing a description of the creation of the item.
10307	Reinforced Potion of Speed	POTION	800	Makes you run faster for 24 seconds.
10308	Fox Tail	general	230	For fashionistas, the very thing.
10309	Deer Antlers	general	300	They will look great on the wall of your house.
10310	Scroll of Wise Man	SCROLL	19400	You will become the main genius of all the kingdoms, but not for long (gain a +100% XP bonus for 10 seconds).
10311	Virtue of Deceased	WEAPON	14500	Uses evil spells for good deeds.
10312	Bite of Viper	WEAPON	1100	Be careful - one scratch and you're dead!
10313	Hardened Leather Cuirass	armor_chest	380	Boiled, hardened leather. Sure it's great protection, but it smells funny.
10314	Hardened Leather Leggings	armor_legs	330	Boiled, hardened leather. Sure it's great protection, but it smells funny.
10315	Chainmail Shirt	armor_chest	830	Protects you, and makes you look cool. Clanks a little, but you get used to that.
10316	Chainmail Leggings	armor_legs	780	Protects you, and makes you look cool. Clanks a little, but you get used to that.
10317	Platemail Vest	armor_chest	2420	Heavy metal plates linked with mail.
10318	Platemail Leggings	armor_legs	2120	Heavy metal plates linked with mail.
10319	Forest Chain Shirt	armor_chest	1180	Light and flexible armor.
10320	Forest Chain Leggings	armor_legs	1080	Light and flexible armor.
10321	Blessed Chain Shirt	armor_chest	1480	What the good guys wear...
10322	Blessed Chain Leggings	armor_legs	1780	Even pants can be righteous.
10323	Tolassian Chain Shirt	armor_chest	2080	Light and flexible armor.
10324	Tolassian Chain Leggings	armor_legs	1680	Light and flexible armor.
10325	Blessed Platemail Vest	armor_chest	8720	What the good guys wear...
10326	Blessed Platemail Leggings	armor_legs	7620	Even pants can be righteous.
10327	Assassin's Cuirass	armor_chest	1860	Light and flexible dark leather armor.
10328	Assassin's Leggings	armor_legs	1600	Light and flexible dark leather armor.
10329	Legion Breastplate	armor_chest	11200	"Mercian plate is considered the best; judging by this piece,  it really is."
10330	Legion Leggings	armor_legs	9100	"Mercian plate is considered the best; judging by this piece,  it really is."
10331	Velites Chain Shirt	armor_chest	4300	Worn by the Legions' elite scouts. 
10332	Velites Chain Leggings	armor_legs	4000	Worn by the Legions' elite scouts. 
10333	Myrosian Breastplate	armor_chest	16220	Myros was a land of fabled blacksmiths, the finest in the Empire.
10334	Myrosian Leggings	armor_legs	13200	Myros was a land of fabled blacksmiths, the finest in the Empire.
10335	Traitor's Chain Shirt	armor_chest	2100	Once worn by those that rebelled against the Empire.
10336	Traitor's Chain Leggings	armor_legs	1700	Once worn by those that rebelled against the Empire.
10337	Ashen Chestplate	armor_chest	20250	The mutant minotaurs of the Wastes still know how to forge armor.
10338	Ashen Leggings	armor_legs	13220	The mutant minotaurs of the Wastes still know how to forge armor.
10339	Laminated Vest	armor_chest	4900	Mechanically joined plates of an unknown metal, crafted with extraordinary perfection.
10340	Kevlar Vest	armor_chest	3250	This armor is not heavier than a coat, yet it hardens like steel when it gets hit.
10341	Conductive Vest	armor_chest	3300	Wondrous plates of an unknown metal shimmer with energy.
10342	Leggings of Shadows	armor_legs	1800	Superb armor, but you hope your crotch doesn't become cursed...
10343	Black Silk Leggings	armor_legs	1760	Sure the minotaurs fill this with more dignity than you.
10344	Hunter's Leggings	armor_legs	3240	Varannari armor made of enchanted bearskin.
10345	Jeweled Breastplate	armor_chest	30400	Golden with inlaid diamonds, worth a king's ransom!
10346	Hunter's Armor	armor_chest	7250	Varannari armor made of enchanted bearskin.
10347	Thuramiam Breastplate	armor_chest	10300	Crafted in the Arcane Forges of Icemist.
10348	Thuramiam Plate Leggings	armor_legs	9260	Crafted in the Arcane Forges of Icemist.
10349	Breastplate of the Forge	armor_chest	9120	Wearing this, flames will just tickle. Okay, not really.
10350	Armor Heavenly Knights	armor_chest	4800	Magically enhanced armor.
10351	Leggings Heavenly Knights	armor_legs	3080	Magically enhanced armor.
10352	Disgusting Armor	armor_chest	4400	Good armor, but not safe when worn for health.
10353	Disgusting Leggings	armor_legs	2880	Good armor, but not safe when worn for health.
10354	Mortal Covering	armor_chest	780	Blessed or cursed light armor.
10355	Armor Servant of Light	armor_chest	21000	These armors shine even in the most impenetrable darkness, protecting against the forces of dark evil.
10356	Armor Servant of Light	armor_legs	19280	These armors shine even in the most impenetrable darkness, protecting against the forces of dark evil.
10357	Wool Scarf	necklace	2300	This is what you need to not catch a cold.
10358	Shiny Cape	cloak	8000	A prestigious and expensive- looking raincoat.
10359	Blue Seaweed	general	110	An unpleasant-looking plant.
10360	Unshakable Pride	WEAPON	16000	The mere sight of this blade will put the enemies to flight.
10361	Satisfier	WEAPON	14000	The shells of this bow will convey your love to anyone.
10362	Dragon's Blood	POTION	900	Coat your blade in this, for +9 toxic damage, -40hp (20 seconds).
10363	Perfect Potion of Resist Toxic	POTION	1100	Grants a +45 bonus for 2 minute, -40hp.
10364	Amulet of Reliability	necklace	5000	The charms of this amulet will make you stronger and tighter.
10365	Some clothes	armor_chest	10	Wear what they give you!
10366	Some clothes	armor_head	10	Wear what they give you!
10367	DRINK ME!	POTION	2	...
10368	DRINK ME!	POTION	2	...
10369	DRINK ME!	POTION	2	...
10370	DRINK ME!	POTION	2	...
10371	DRINK ME!	POTION	2	...
10372	DRINK ME!	POTION	2	...
10373	DRINK ME!	POTION	2	...
10374	DRINK ME!	POTION	2	...
10375	DRINK ME!	POTION	2	...
10376	DRINK ME!	POTION	2	...
10377	DRINK ME!	POTION	2	...
10378	DRINK ME!	POTION	2	...
10379	DRINK ME!	POTION	2	...
10380	DRINK ME!	POTION	2	...
10381	DRINK ME!	POTION	2	...
10382	EAT ME!	POTION	2	...
10383	EAT ME!	POTION	2	...
10384	EAT ME!	POTION	2	...
10385	EAT ME!	POTION	2	...
10386	EAT ME!	POTION	2	...
10387	EAT ME!	POTION	2	...
10388	EAT ME!	POTION	2	...
10389	EAT ME!	POTION	2	...
10390	EAT ME!	POTION	2	...
10391	EAT ME!	POTION	2	...
10392	EAT ME!	POTION	2	...
10393	EAT ME!	POTION	2	...
10394	EAT ME!	POTION	2	...
10395	EAT ME!	POTION	2	...
10396	EAT ME!	POTION	2	...
10397	Mournful Song of Blizzard	WEAPON	8900	A powerful weapon of an unknown warrior-magician who fell in the unexplored mountains.
10398	Eggcutter	WEAPON	4500	An enchanted knife with a short blade, your enemies will be very unlucky if you get close enough to them.
10399	Head of giant bear	general	-1	This beast was monstrously huge!
10400	Troll Scrotum	necklace	-1	They are huge and smelly, just like their former owner. You can wear it around your neck. People will think you're a jerk, but who cares if you're filled with troll power!
10401	Magic Eggs	general	-1	Eggs of an unknown creature endowed with magical power.
10402	Collar of Submission	general	6000	This jewelry is endowed with dark, perverted magic, thanks to it you can take control of any person if you are strong enough, dexterous or smart enough to put it on your victim.
10403	Priest keys	general	-1	Keys to the priest's house.
10404	Magic Key	general	-1	The magic key to remove the magic barrier.
10405	Relic of family Whitetoad	general	-1	An ancient relic passed down from generation to generation, endowed with magical power.
10406	Sack of jewelry	SCROLL	-1	A heavy sack of stolen jewelry.
10407	Tiara of the Seer	armor_head	10900	A rather ancient enchanted thing.
10408	Yellow stone	general	-1	The stone-key from the Temple of Knowledge, which was given to you by Magister Mundrick.
10409	Violet stone	general	-1	The stone-key that you found in the Temple of Knowledge.
10410	Green stone	general	-1	The stone-key that you found in the Temple of Knowledge.
10411	Blue stone	general	-1	The stone-key that you found in the Temple of Knowledge.
10412	Ancient Totem	general	-1	It is clearly an ancient thing, but there is no magic felt, perhaps I'll find someone who can tell me something about it.
10413	The Blood Tree Ring	general	-1	An unknown ancient thing endowed with magical power.
10414	Spotty pelt	general	-1	A strange animal skin, the coloring of which may have been influenced by magic.
10415	Wyvern tail	general	-1	Probably, this creature will grow a new tail.
10416	Yeti paw	general	-1	It eerily resembles not the paw of an animal, but the hand of a man.
10417	Snow leopard pelt	general	350	A rare and quite valuable pelt.
10418	Sting manticore	general	-1	This sting can not just sting, but pierce through you!
10419	Meat ape	general	-1	That doesn't count as cannibalism, does it?
10420	Amulet of druid	general	-1	Perhaps this little thing has some kind of magical power.
10421	Head of ursan	general	-1	It doesn't look any prettier than an ordinary bear's head.
10422	Heart Dragon	general	-1	Its size would clearly be enough to pump out a small lake.
10423	Orb Mundrick	general	-1	The sphere that was borrowed from Magister Mundrick, and must be returned to owner.
10424	Bloody Executioner	WEAPON	13000	The terrifying weapon of the infernal creature.
10425	Shell of Scorpion	SHIELD	9400	No poison in the world will damage this shield.
10426	Inevitability	WEAPON	8900	As a reminder of the inevitability of the end.
10427	Giver of Slumber	WEAPON	8900	As a reminder of the inevitability of the end.
10428	Nasty appendage	SCROLL	110	As a reminder of the inevitability of the end.
10429	Diadem of family Rusthatchet	general	-1	An ancient decoration passed down from generation to generation, endowed with magical power.
10430	Snow flowers	general	-1	Flowers growing far to the north in the Thir mountains.
10431	Instructions	general	-1	Instructions for the ritual of removing the moon curse.
10432	Hermit mage's potion	general	-1	A potion necessary for the ritual of removing the moon curse.
10433	Grin of Snowstorm	WEAPON	6800	An easy-to-handle deadly dagger.
10434	Collection of poems	general	-1	Collection of new poems by the poet Leoric with his autograph.
10435	Incinerating the Darkness	WEAPON	6800	A formidable weapon against all creatures of evil.
10436	Potion of Flash	POTION	10	An enchanted knife with a short blade, your enemies will be very unlucky if you get close enough to them.
10437	Gauntlets Heavenly Knights	armor_arms	2300	Magically enhanced armor.
10438	Disgusting Gauntlets	armor_arms	1500	Good boots, you can walk through acid mud without any problems in them.
10439	Energy Crystal	SHIELD	6500	This crystal energizes your weapon.
10440	Scaly Mantle	armor_chest	4200	The fabric is covered with many small scales, protecting against toxins.
10441	Green Leather Pants	armor_legs	3600	Made of artificial leather, extremely resistant to toxins.
10442	Insulating boots	armor_feet	3000	Covered with a layer of fabric, absorbing energy.
10443	Eye of Tol 2.0	general	-1	A powerful artifact capable of tracking anyone, anywhere.
10444	Rock Breaker	WEAPON	7000	A tool against the particularly diehard.
10445	Armor of Secret Guard	armor_chest	12000	They are simply magnificent in appearance, the armor will also reliably protect you.
10446	Thinker's Argument	WEAPON	4900	When words alone are not enough.
10447	Unremarkable cuirass	armor_chest	10000	This armor is not so simple at first glance.
10448	Flaming lightning	WEAPON	6000	Will burn fire and energy at the same time.
10449	Dominick's Cross	necklace	9600	Will make you as tenacious as Dominick.
10450	Magnificent boots	armor_feet	8800	With these shoes, you will always be the center of attention.
10451	Lightweight Thuramiam Breastplate	armor_chest	9000	Crafted in the Arcane Forges of Icemist.
10452	Thuramiam Shield	SHIELD	5500	Crafted in the Arcane Forges of Icemist.
10453	Blessed Heroic Helm	armor_head	9000	This helm was blessed in the temple of the Northern gods.
10454	Tunic of priest Northern Gods	armor_chest	7500	The robes of the servants of the northern gods.
10455	Shield of Sacred Thought	SHIELD	5500	Extraordinarily powerful charms strengthen your body and mind.
10456	Curse Book of Knowledge Tome	POTION	19000	This knowledge can be both useful and dangerous for you.
10457	Ancient Rags	armor_chest	3100	The decayed mantle still holds strong magic.
10458	Dragon Armor	armor_chest	26000	Armor tempered by the dragon's flame will reliably protect you.
10459	Dragon Helmet	armor_head	8500	It will protect both your skull and your mind.
10460	Enchanted Cloak	cloak	-1	The cloak of a magical knight with a strong enchantment.
10461	Blessed Platemail Armor	armor_chest	-1	It belonged to a dead warrior priest.
10462	Wolf Rune	general	-1	A rune with the image of a wolf, in which magical power is felt.
10463	Cloak of Guard of Honor	cloak	9000	Great honor to be the owner of this cloak.
