desc	desc_ES	condition	action	variablename	desc_RU	desc_PT	desc_DE	desc_PL	desc_CZ	desc_TR	desc_IT	desc_FR
It is said that goblins worshipped Fire Drakes and Red Dragons in the ancient days. Some even believe such creatures still live deep into Gorx Lair, north of Lannegar.	Se dice que en la antiguedad, los goblins adoraban a Dracos de fuego y Dragones Rojos en la Guarida Gorx. Incluso es posible que algunos sigan existiendo.	"VariableEqual#turning_scales,10;VariableLower#rumor_firedrake,3"	"IncVariable#rumor_firedrake,1;SetVariable#turning_scales,20"		 Говорят, в древности гоблины поклонялись Огненным Драконидам и Красным Драконам. Некоторые даже верят, что эти твари всё ещё живут в Логове Горха, к северу от Ланнегара.	Dizem que goblins adoraram Dragões de Fogo e Dragões Vermelhos nos dias antigos. Alguns acreditam que tais criaturas ainda vivem no fundo do Covil Gorx, ao norte de Lannegar.	Man erzählt sich, dass Goblins in früheren Zeiten Feuerdrachen und Rote Drachen anbeteten. Einige behaupten sogar, dass solche Kreaturen noch immer in den Tiefen von Gorx' Höhle, nördlich von Lannegar, leben.	Mówi się, że gobliny kiedyś czciły Ogniste i Czerwone Smoki. Niektórzy nawet wierzą, że te stwory nadal żyją w Leżu Gorxa, na północ od Lannegar.	Proslýchá se, že skřeti uctívají Ohnivé Saně a Červené Draky ze starých časů. Někteří věří, že takové stvoření stále žijí hluboko v Gorxově Doupěti, na sever od Lannegaru.		Si dice che i goblin adoravano i Draghi di fuoco ed i draghi rossi nei tempi antichi. Alcuni credono persino che queste creature vivano nelle profondità del covo di Gorx, a nord di Lannegar.	
"Travellers from Föga talk about a crazed Mirmek enveloped in magic flames; it leveled the forests in the Iross Highlands, and hid in some cave there. "	Viajeros de Föga hablan de un Mirmek enloquecido, envuelto en llamas mágicas. Arrasó bosques de las Tierras Altas de Iross, y se escondió en una cueva.	VariableEqual#prodigal_daughter,10	SetVariable#prodigal_daughter,20		" Путешественники из Фйоги рассказывают о бешеном Мирмеке, окутанном магическим пламенем; он сжёг леса в Айросском Нагорье и спрятался там в одной из пещер."	"Viajantes de Föga falam sobre um mirmek enlouquecido envolvido em chamas mágicas; ele queimou florestas nas Terras Altas de Iross, e se escondeu em uma caverna."	Reisende aus Fögas berichten von einer verrückten Mirmek, die in magische Flammen eingehüllt war. Sie hat die Wälder im Iross-Hochland verwüstet und sich danach in einer Höhle versteckt.	"Podróżnicy z Fögas mówią o szalonym Mirmeku, spowitym w płomieniach; zrównał z ziemią lasy na Pogórzu Iross i ukrył sięw jakiejś jaskini."	Lidé cestující z Fögasu mluví o poblázněném Mirmekovi zahaleným magickými plameny. Spálil lesy Irosské Vrchoviny a zalezl tam do nějaké jeskyně.		"Viaggiatori da Föga raccontano di un Mirmek folle avvolto in fiamme magiche; ha bruciato le foreste nelle terre alte di Iross, e si è nascosto in qualche grotta lì."	
Trolls are gruesome beasts, and very hard to kill. The only way to make sure they stop regenerating is burning them with fire.	Los trolls son bestias repugnantes, y muy difíciles de matar. La única forma de evitar que se regeneren es usar fuego.	"VariableLower#rumor_trolls,2;VariableEqual#exp_E8,1;VariableLower#EXP_E8_cave,1"	IncVariable#rumor_trolls,1	rumor_trolls	 Тролли - отвратительные твари, и очень живучие. Единственный способ остановить их регенерацию - жечь их огнём.	Trolls são bestas horríveis, e muito difíceis de matar. A única maneira de garantir que eles parem de se regenerar é queimando-os com fogo.	Trolle sind grausame Bestien und sehr schwer zu töten. Der einzige Weg, ihre Regeneration zu stoppen, besteht darin, sie mit Feuer zu verbrennen.	Trole to straszliwe bestie i tudno je zabić. Jedynym sposobem powstrzymania ich regeneracji jest ogień.	Trolové jsou hrozivé bestie a lze je velmi obtížně zabít. Jedinný zaručený způsob, jak ukončit jejich regeneraci, je spálit je ohněm.		I troll sono bestie raccapriccianti, e molto difficili da uccidere. L'unico modo per evitare che possano rigenerarsi è bruciarli col fuoco.	
Some nights ago there was quite a racket in New Garand. The watch pursued some burglars, but they escaped. Many say they went down into the sewers.	Hace varias noches se montó una buena en New Garand. La guardia perseguía a unos ladrones, pero se escaparon por las alcantarillas.	"PlayerIsLevel#4;VariableEqual#where_put_sword,20;VariableLower#rumor_ng_thieves,3"	IncVariable#rumor_ng_thieves,1	rumor_ng_thieves	Несколько ночей назад в Нью-Гаранде было довольно шумно. Дозорные схавтили несколько воров, но тем удалось сбежать. Многие видели, как воры спускались в канализацию.	Algumas noites atrás, houve uma grande confusão em Nova Garand. A Guarda perseguiu alguns assaltantes, mas escaparam. Muitos dizem que foram para o esgoto.	Vor einigen Nächten gab es einen ziemlichen Tumult in New Garand. Die Wache verfolgte einige Einbrecher, aber sie entkamen. Viele behaupten, sie wären in die Kanalisation hinabgestiegen.	Kilka dni temu w Nowym Garand była niezła draka. Strażnicy gonili jakichś włamywaczy, ale uciekli. Podobno skryli się w kanałach.	Pár nocí zpátky bylo v New Garand velké pozdvižení. Hlídka pronásledovala nějaké zloděje, oni jim přesto uprchli. Říká se, že zmizeli ve stoce.		Alcune notti fa, c'è stata una rapina a New Garand. La guardia stava inseguendo alcuni ladri, ma sono fuggiti. Molti dicono che sono nelle fogne.	
The word is, some smugglers in New Garand work outside of the control of the Seventh House. They must be nuts to do so, even if probably they hide outside the city.	Se dice que ciertos contrabandistas en New Garand no obedencen a la Séptima Casa. Deben estar locos, aunque posiblemente se escondan fuera de la ciudad.	"PlayerIsLevel#4;VariableLower#smugglers_night,21;VariableLower#rumor_ng_smugglers,3"	IncVariable#rumor_ng_smugglers,1	rumor_ng_smugglers	Поговаривают, что несколько контрабандистов в Нью-Гаранде работают без контроля Дома Семи. Они выжили из ума, даже если и прячутся, как говорят, за пределами города.	Parece que alguns contrabandistas em Nova Garand trabalham fora do controle da Sétima Casa. Eles devem estar loucos, mesmo que provavelmente atuem fora da cidade.	Man erzählt sich, dass einige Schmuggler in New Garand abseits der Kontrolle des Siebten Hauses operieren. Sie müssen verrückt sein, sowas zu tun, selbst wenn sie sich außerhalb der Stadt verstecken.	Krążą plotki, że jacyś przemytnicy z Nowego Garand działają poza kontrolą Siódmego Domu. Oszaleli chyba, nawet jeśli ukrywają się poza miastem.	Je tu zmínka, že Sedmý Dům ztratil kontrolu nad některými pašeráky v New Garand. Ti ale musí mít nervy, i když se nejspíše schovávají mimo město.		Si dice che alcuni contrabbandieri a New Garand non obbediscano alla settima casa. Devono essere pazzi, anche se probabilmente si nascondono fuori città.	
A travelling troupe of Friguldian actors is performing in New Anthur. Their main actor, Laertes, is the favorite of the crowd.	Una compañía de actores Friguldianos representa obras en New Anthur. Su actor principal, Laertes, es el favorito del público.	"PlayerIsLevel#8;VariableLower#rumor_actors,2"	IncVariable#rumor_actors,1		Странствующая труппа актёров из Фригулда остановилась в Нью-Антуре. Их главный актёр, Лаэрт - любимец публики.	Uma trupe intinerante de atores Frigulenses está atuando em Nova Anthur. Seu principal ator, Laertes, é o favorito do público.	Ein Gruppe von fahrenden Schaustellern aus Friguld spielt gerade in New Anthur. Ihr Hauptdarsteller, Laertes, ist der Publikumsliebling.	Trupa wędrownych aktorów z Friguld daje przedstawienia w Nowm Athur. Główny aktor, Laertes, to ulubieniec tłumów.	Skupina potulných Friguldských herců vystupuje v New Anthur. Jejich hlavní herec, Laertes, je miláčkem publika.		Una compagnia itinerante di attori Friguldiani si esibisce a New Anthur. Il loro attore principale, Laertes, è il favorito della folla.	
The Church of the Three sent an expedition of crusaders against the undead of Great Inori, led by a young priestess called Hirge.	La Iglesia de Los Tres envió una expedición de Cruzados a luchar con los muertos vivientes del Gran Inori, liderados por la joven clérigo Hirge.	"PlayerIsLevel#7;VariableLower#restoring_faith,10;VariableLower#rumor_hirge,2"	IncVariable#rumor_hirge,1	rumor_hirge	 Церковь Трёх отправила против нежити в Великой Инори экспедицию рыцарей, ведомых молодой священницей по имени Хирджи.	A Igreja de Os Três enviou uma expedição de cruzados contra os mortos-vivos do Grande Inori, liderados por uma jovem sacerdotisa chamada Hirge.	Die Kirche der Drei hat eine Expedition von Kreuzrittern gegen die Untoten in der Großen Inori entsandt. Sie wird von einer jungen Priesterin namens Hirge angeführt.	Kościół Trójcy wysłał ekspedycję krzyżowców przeciwko nieumarłym na Wielkiej Pustyni Inori. Przewodzi im młoda kapłanka Hirge.	Církev sv. Trojice vyslala křížovou výpravu proti nemrtvým do Velké Inori, vedena jest mladou kněžkou zvanou Hirge.		La Chiesa dei Tre mandò una spedizione di crociati contro i non morti, nel Grande Inori, guidati da una giovane sacerdotessa chiamata Hirge.	
One of the finest alchemists in the Nivarian, Mallow Firebrew, went out of business recently. Word is, he is trying to rebuild his business, and seeks adventurers that bring him ingredients.	Uno de los mejores alquimistas de Nivarian, Mallow Firebrew, cerró su negocio hace poco. Intenta volver a empezar, y busca aventureros que le lleven ingredientes.	"PlayerIsLevel#10;VariableLower#eye_tiger,10;VariableLower#rumor_mallow,3"	IncVariable#rumor_mallow,1	rumor_mallow	Один из лучших алхимиков Нивариана, Мэллоу Фаербрю, недавно прогорел. Поговаривают, что он хочет заново начать своё дело и ищет путшественников, способных снабжать его ингредиентами.	Um dos melhores alquimistas do Nivarian, Mallow Firebrew, saiu do mercado recentemente. Dizem que ele tenta reconstruir seus negócios e procura aventureiros que lhe tragam ingredientes.	Einer der besten Alchemisten in Nivarian, Mallow Firebrew, musste kürzlich sein Geschäft aufgeben. Man erzählt sich, dass er versucht, es wieder aufzubauen und nach Abenteurern sucht, die ihm Zutaten liefern.	Jeden z najsłynniejszych alchemików w Nivarianie, Mallow Firebrew, wypadł z interesu. próbuje teraz odbudować interes i szuka śmiałków, którzy mogliby dostarczyć mu składniki.	Jeden z nejlepších alchymistů v Nivarian, Mallow Firebrew, nedávno vypadl z branže. Je zmínka, že se pokouší znovu vybudovat to, co ztratil a shání dobrodruhy, jež mu přinesou ingredience.		Uno dei migliori alchimisti Nivariani, Mallow Firebrew, è stato recentemente licenziato. Dicono che stia cercando di ricostruire il suo business, e cerca avventurieri che gli portino ingredienti.	
A group of adventures found a strange black shard after defeating a dragon. They sold it to the Friguld Governor for quite a sum, and now it's safely locked up in the Golden Cove Bank.	Un grupo de aventureros encontró un extraño fragmento de cristal al vencer a un dragón. Se lo vendieron al Gobernador de Friguld por una buena suma, y ahora está a buen recaudo en el Banco de Cala Dorada.	"PlayerIsLevel#11;VariableGreater#shards_fate,0;VariableLower#rumor_shardfriguld,4"	IncVariable#rumor_shardfriguld,1	rumor_shardfriguld	Группа путешественников нашла странный черный осколок, убив дракона. Они продали его правителю Фригулда за целое состояния.	Um grupo de aventureiros encontrou um estranho fragmeto negro depois de derrotar um dragão. Eles o venderam para o Governador de Friguld por uma grande soma, e agora está guardado no Banco da Enseda Dourada.	Eine Gruppe von Abenteurern fand eine seltsame schwarze Scherbe, nachdem sie einen Drachen besiegt hatten. Sie haben sie für ein kleines Vermögen an den Gouverneur von Friguld verkauft, wo sie nun sicher in der Bank der Goldenen Bucht verwahrt wird.	Grupa śmiałków znalazła dziwny czarny odłamek po pokonaniu smoka. Sprzedali go za niezłą sumkę Gubernatorowi Friguld, a on zamknął go w sejfie w Banku w Złotej Zatoczce.	Skupina dobrodruhů našla zvláštní černý úlomek poté, co skolili draka. Prodali ho Friguldskému Guvernérovi za pěknou sumičku a nyní je bezpečně uložen v Bance Zlatého Zálivu.		Un gruppo di avventurieri ha trovato uno strano frammento nero dopo aver sconfitto un drago. L' hanno venduto al governatore Friguld per una somma piuttosto elevata, e ora è rinchiuso in tutta sicurezza nella Banca della Baia Dorata.	
Something is rotten in Icemist. Arcane Captain Torden went missing, and there's rumors of other people disappearing every night.	Algo anda mal en Icemist. Primero desapareció el Capitán Torden, y desde entonces se dice que otras personas desaparecen cada noche.	"VariableEqual#lady_night,150;VariableLower#rumor_imlady,4"	IncVariable#rumor_imlady,1		Что-то неладно в Айсмисте. Капитан Торден исчез, еще есть слухи, что люди пропадают каждую ночь.	Há algo de podre em Icemist. O Capitão Arcano Torden desapareceu, e há rumores de mais pessoas desaparecendo todas as noites.	Irgendwas ist faul in Icemist. Hauptmann Torden wird vermisst und es gibt Gerüchte, dass jede Nacht weitere Leute verschwinden.	Źle siędzieje w Icemist. Zaginął Kapitan Torden. Krążą też plotki o innych ludziach, którzy giną w nocy.	Něco prohnilého v Icemistu jest. Arkánský Kapitán Torden zmizel a šíří se zvěsti, že další a další lidé mizí každou noc.		Qualcosa è marcio in Icemist. Il primo capitano Torden è scomparso e da allora si dice che altre persone scompaiono ogni notte.	
The great Arena of Freetown has opened its gates! They are still trying to recuit gladiators aspiring to gain fame and fortune.	¡La Arena de Freetown ha abierto sus puertas! Están buscando gladiadores en busca de fama y fortuna.	"VariableEqual#web_terror,100;VariableLower#arena,10;VariableLower#rumor_arena,3"	IncVariable#rumor_arena,1	rumor_arena	Знаменитая Арена Фритауна открывает свои двери! Ведётся набор гладиаторов, жаждущих богатства и славы.	A grande Arena de Freetown abriu seus portões! Eles estão em busca de gladiadores que aspiram ganhar fama e fortuna.	Die große Arena von Freetown hat ihre Pforten wieder geöffnet! Es werden noch Gladiatoren gesucht, die nach Ruhm und Reichtum streben.	Wielka Arena w Wolnym Mieście otworzyła swoje bramy. Nadal próbują rekrutować gladiatorów chcących zdobyć sławę i fortunę.	Velká aréna ve Freetown otevírá brány! Stále hledají nové gladiátory toužící po slávě a bohatství.		La grande Arena di Freetown ha aperto le sue porte! Stanno ancora cercando dei gladiatori che aspirino a guadagnare fama e fortuna.	
