area_id	PosX	PosY	region	attributes	name	ES	RU	PT	DE	PL	CZ	TR	IT
I8	8	7	s_varsilia	[outdoor][worldmap]	Imperial Coast	Costa Imperial	Имперское Взморье	Costa Imperial	Imperiale Küste	Cesarskie Wybrzeże	Pobřeží Impéria	İmparatorluk Sahili	Costa Imperiale
I9	8	8	s_varsilia	[outdoor][worldmap]	Mount Storme	Monte Storme	Гора Сторм	Monte Storme	Berg Storme	Burzowa Góra	Hora Storme	Fırtına Dağı 	Monte Storme
I10	8	9	n_varsilia	[outdoor][worldmap]	South Sagar Forest	Bosque Sagar Sur	Юг леса Сагар	Floresta Sagar Sul	Südlicher Sagar-Wald	Południowy Las Sagar	Sagarský Les - Jih	Güney Sagar Ormanı 	Foresta Sagar Sud
I11	8	10	n_wild	[outdoor][worldmap]	North Sagar Forest	Bosque Sagar Norte	Север леса Сагар	Floresta Sagar Norte	Nördlicher Sagar-Wald	Północny Las Sagar	Sagarský Les - Sever	Kuzey Sagar Ormanı 	Foresta Sagar Nord
NG	21	22		[town][worldmap]	New Garand	New Garand	Нью-Гаранд	Nova Garand	New Garand	Nowe Garand	New Garand	New Garand	New Garand
FT	10	25		[town][worldmap]	Freetown	Freetown	Фритаун	Freetown	Freetown	Wolne Miasto	Freetown	Freetown	Freetown
NI	17	32		[town][worldmap]	Nivarian	Nivarian	Нивариан	Nivarian	Nivarian	Nivarian	Nivarian	Nivarya	Nivarian
G11	6	10	n_wild	[outdoor][worldmap]	Crimson Hills	Colinas Púrpura	Багряные Холмы	Colinas Escarlates	Purpurne Hügel	Purpurowe Wzgórza	Purpurové vršky	Crimson Tepeleri	Colline Cremisi
D10	3	9	c_mercia	[outdoor][worldmap]	Nekhar Valley	Valle del Nekhar	Долина Некар	Vale Nekhar	Nekhar-Tal	Dolina Nekhar	Nekharské údolí	Nekhar Vadisi	Valle del Nekhar
D9	3	8	c_mercia	[outdoor][worldmap]	Iron Valley	Valle de Hierro	Железная Долина	Vale de Ferro	Eisernes Tal	Żelazna Dolina	Železné údolí	Demir Vadi	Velle di Ferro
D8	3	7	c_mercia	[outdoor][worldmap]	Zamohr Mountains	Montañas Zamohr	Горы Замор	Montanhas Zamohr	Zamohr-Gebirge	Góry Zamohr	Zamohrské pohoří	Zamohr Dağları 	Monti Zamohr
E8	4	7	wild	[outdoor][worldmap]	The Trollfens	Ciénagas Troll	Болото Троллей	Pântano dos Trolls	Trollsumpf	Bagno Trolli	Trolí Rašeliniště	Trol Bataklığı 	Paludi Troll
I12	8	11	n_wild	[outdoor][worldmap]	Wyvern Mountains	Montes Wyvern	Горы Виверн	Montanhas Wyvern	Wyverngebirge	Góry Wiwern	Pohoří Wyvern	Wyvern Dağları 	Monti Viverna
J11	9	10	e_wild	[outdoor][worldmap]	Wyverntail Valley	Valle Wyverntail	Долина Вивернов Хвост	Vale Wyverntail	Wyvernschwanzgebirge	Dolina Wiwerniego Ogona	Údolí Wyverntail	Wyverntail Vadisi	Valle Wyverntail
J10	9	9	e_varsilia	[outdoor][worldmap]	New Anthur Bay	Bahía de New Anthur	Гавань Нью-Антур	Bahía de Nova Anthur	Bucht von New Anthur	Zatoka Nowego Anthur	Záliv New Anthur	New Anthur Körfezi 	Baia di New Anthur
J9	9	8	e_wild	[outdoor][worldmap]	Steel Coast	Costa de Acero	Берег Стали	Costa de Aço	Stahlküste	Stalowe Wybrzeże	Ocelové Pobřeží	Çelik Sahil	Costa d'Acciaio
J8	9	7	e_wild	[outdoor][worldmap]	Nilomar Cape	Cabo Nilomar	Мыс Ниломар	Cabo Nilomar	Kap Nilomar	Przylądek Nilomar	Nilomarský mys	Nilomar Burnu	Capo Nilomar
G7	6	6	inori	[outdoor][worldmap]	Great Inori	Gran Inori	Великая Инори	Grande Inori	Große Inori	Wielka Inori	Velká Inori	Büyük Inori 	Gran Inori
D11	3	10	c_ilmara	[outdoor][worldmap]	Fögas Forest	Bosque de Fögas	Лес Фйогас	Floresta Fögas	Fögas-Wald	Las Fögas	Fögaský Les	Fögas Ormanı 	Foresta di Fögas
E11	4	10	e_ilmara	[outdoor][worldmap]	Great Plains	Gran Llanura	Великие Равнины	Grandes Planícies	Große Ebene	Wielkie Równiny	Velké Pláně	Büyük Ova	Grandi pianure
F11	5	10	e_ilmara	[outdoor][worldmap]	Nivar Wetlands	Humedales de Nivar	Сплавина Нивара	Terras Úmidas de Nivar	Nivar-Aue	Mokradła Nivar	Nivarské mokřady	Nivar Bataklığı 	Acquitrini di Nivar
E12	4	11	c_ilmara	[outdoor][worldmap]	Thyr Ridges	Riscos de Thyr	Хребет Тхир	Cordilheiras Thyr	Thyr-Gebirgskamm	Pasmo Thyr	Thyrské hřebeny	Thyr Sırtı 	Creste di Thyr
D12	3	11	c_ilmara	[outdoor][worldmap]	Iross Highlands	Tierras Altas de Iross	Айросское Нагорье	Terras Altas de Iross	Iross-Hochland	Pogórze Iross	Irosská vrchovina	Iross Yaylası 	Terre Alte di Iross
H10_mine					Lannegar Mine	Mina de Lannegar	Ланнегарская Шахта	Mina Lannegar	Lannegar-Mine	Kopalnia Lannegar	Lannegarský důl	Lannegar Madeni	Miniera di Lannegar
G11_tower					Abandoned Tower	Torre Abandonada	Покинутая Башня	Torre Abandonada	Verlassener Turm	Opuszczona wieża	Opuštěná věž	Terkedilmiş Kule	Torre Abbandonata
D11_abbey					Abbey of Saint Admus	Abadía de San Admus	Аббатство Святого Адмуса	Mosteiro de São Admus	Kloster von Sankt Admus	Opactwo świętego Admusa	Opatství svatého Admuse	Aziz Admus Manastırı 	Abbazia di San Admus
D8_castle					Castle Bluerock	Castillo Bluerock	Замок Блюрок	Castelo Bluerock	Burg Bluerock	Zamek Błękitna Skała	Hrad Bluerock	Bluerock Kalesi	Castel Bluerock
E12_cave					Cave of Echoes	Cueva de los Ecos	Пещера Отзвуков	Caverna dos Ecos	Höhle der Echos	Jaskinia Ech	Jeskyně ozvěn	Yankı Mağarası 	Caverna degli Echi
E10_tower					Tower of Tremadan	Torre de Tremadan	Башня Тремадана	Torre de Tremadan	Tremadans Turm	Wieża Tremadan	Tremadanova věž	Tremadan Kulesi	Torre di Tremadan
G10_cave					Deepburrow Cave	Cuevas Deepburrow	Глубокие Норы	Caverna Deepburrow	Tieflochhöhle	Głęboka Jaskinia	Jeskyně Deepburrow	Deepburrow Mağarası	Caverne Deepburrow
D11_abbey_cave					Hellish Cave	Caverna Infernal	Адская Пещера	Caverna Infernal	Höllenhöhle	Piekielna Jaskinia	Pekelná jeskyně	Cehennem Mağarası 	Caverna Infernale
FT_seventh					The Seventh House	La Séptima Casa	Дом Семи	A Sétima Casa	Das Siebte Haus	Siódmy Dom	Sedmý dům	Yediler Evi	La Settima Casa
F11_tomb					Azagul tomb	Tumba de Azagul	Склеп Азагула	Tumba Azagul	Azagul-Gruft	Grobowiec Azagula	Azagulova hrobka	Azagul Türbesi 	Tomba di Azagul
D12_cave					Lambar Cave	Cueva Lambar	Пещера Ламбар	Caverna Lambar	Lambar-Höhle	Jaskinia Lambar	Lambarova jeskyně	Lambar Mağarası 	Caverna Lambar
G7_tomb					Irazur Tomb	Tumba Irazur	Склеп Иразура	Tumba Irazur	Irazur-Gruft	Grobowiec Irazura	Irazurova hrobka	Irazur Türbesi 	Tomba Irazur
NG_sewers					New Garand Sewers	Cloacas de New Garand	Канализация Нью-Гаранда	Esgotos de Nova Garand	Kanalisation von New Garand	Kanały Nowego Garand	New Garandské stoky	New Garand Lağımları	Fogne di New Garand
D9_crypt					Mercian Royal Crypt	Cripta Real de Mercia	Королевская Усыпальня Мерсии	Cripta Real de Mércia	Königliche Mercianische Gruft	Krypta królów mercjańskich	Mercijská královská krypta	Mersiya Kraliyet Mezarlığı 	Cripta Reale di Mercia
F9_mausoleum					Mausoleum	Mausoleo	Мавзолей	Mausoléu	Mausoleum	Mauzoleum	Mauzoleum	Anıt Mezar	Mausoleo
E11_tower					Great Plains Enclave	Enclave de la Gran Llanura	Анклав Великих Равнин	Enclave das Grandes Planícies	Enklave der Großen Ebene	Enklawa na Wielkich Równinach	Enkláva na Velkých Pláních	Büyük Ova Yerleşimleri	Enclave della Grande Pianura
I12_cave					Xialdar Cave	Cueva Xialdar	Пещера Зильдар	Caverna Xialdar	Xialdar-Höhle	Jaskinia Xialdar	Xialdařina jeskyně	Xialdar Mağarası 	Caverna Xialdar
NG_temple					New Garand's Temple	Templo de New Garand	Храм Нью-Гаранда	Templo de Nova Garand	Tempel von New Garand	Świątynia Nowego Garand	Chrám v New Garand	New Garand Tapınağı 	Tempio di New Garand
G10_tomb					Kleyou tomb	Tumba de Kleyou	Гробница Клейю	Tumba Kleyou	Kleyou-Gruft	Grobowiec Kleyou	Hrobka Kleyou	Kleyou Türbesi 	Tomba di Kleyou
E10_maze_1					Maze of Lamth	Laberinto de Lamth	Ламтский Лабиринт	Labirinto de Lamth	Labyrinth von Lamth	Labirynt Lamth	Lamthův labyrint	Lamth Labirenti	Labirinto di Lamth
FT_library					The Grey Library	La Biblioteca Gris	Серая Библиотека	A Biblioteca Cinzenta	Graue Bibliothek	Szara Biblioteka	Šedá knihovna	Gri Kütüphane 	La Biblioteca Grigia
NG_loreseekers					The Great Library	La Gran Biblioteca	Великая Библиотека	A Grande Biblioteca	Große Bibliothek	Wielka Biblioteka	Velká knihovna	Büyük Kütüphane 	La Gran Biblioteca
FT_warriors					The Warrior's Guild	Gremio de Guerreros	Гильдия Воинов	A Guilda dos Guerreiros	Kriegergilde	Gilidia Wojownków	Cech válečníků	Savaşçı Loncası	Gilda dei Guerrieri
J8_cave					Bloodpaw Cave	Cueva Bloodpaw	Пещера Бладпау	Caverna Bloodpaw	Bloodpaw-Höhle	Jaskinia Krwawej Łapy	Jeskyně Bloodpaw	Bloodpaw Mağarası 	Caverna Bloodpaw
D8_cave1					Nilorth Cave	Cueva Nilorth	Пещера Нилорт	Caverna Nilorth	Nilorth-Höhle	Jaskinia Nilorth	Nilrothova jeskyně	Nilorth Mağarası 	Caverna Nilorth
F8_cave					Deepsands Cave	Cuevas Arenasprofundas	Пещера Глубоких песков	Caverna Deepsands	Tiefsandhöhle	Pustynna jaskinia	Jeskyně Deepsands	Derinkum Mağarası 	Caverna Sabbieprofonde
H8_tomb					Nayau Tomb	Tumba Nayau	Гробница Найау	Tumba Nayau	Nayau-Gruft	Grobowiec Nayau	Hrobka Nayau	Nayau Türbesi 	Tomba Nayau
H11_cave_1					Gorx lair	Guarida Gorx	Логово Горха	Covil Gorx	Gorx' Höhle	Kryjówka Gorxa	Gorxovo doupě	Gorx İni 	Tana Gorx
J9_castle					Imperial Fortress	Fortaleza Imperial	Имперская Крепость	Fortaleza Imperial	Imperiale Festung	Cesarska Twierdza	Pevnost Impéria	İmparatorluk Hisarı 	Fortezza Imperiale
J10_island					A Small Islet	Un pequeño islote	Островок	Uma Pequena Ilha	Eine kleine Insel	Mała wysepka	Drobný ostrůvek	Küçük Adacık 	Un isolotto
J9_cave					Askatir Mine	Mina Askatir	Аскатирская Шахта	Mina Askatir	Askatir-Mine	Kopalnia Askatir	Askatirský důl	Askatir Madeni	Miniera Askatir
I12_cauldron					The Deep Cauldron	El Caldero Profundo	Глубокий Провал	O Caldeirão Profundo	Der tiefe Kessel	Głęboki Kocioł	Hluboký kotel	Cauldron Derinlikleri	Il Calderone Profondo
J11_tower					Wyverntail Complex	Subterráneo Wyverntail	Подземье Вивернов Хвост	Complexo Wyverntail	Wyvernschwanzkomplex	Kompleks Wiwerniego Ogona	Komplex ve Wyverntail	Ejder Kuyruğu Kompleksi	Sotterraneo Wyverntail
E9_cave					Jabal Grotto	Gruta de Jabal	Грот Джабал	Gruta de Jabal	Jabal-Grotte	Grota Jabal	Jabalská slůj	Jabal Sığınağı 	Grotta  di Jabal
H10_tomb					Ydaya tomb	Tumba de Ydaya	Гробница Йдайя	Tumba Ydaya	Ydaya-Gruft	Grobowiec Ydaya	Hrobka Ydaya	Ydaya Türbesi 	Tomba di Ydaya
G9_cave					Bandit Hideout	Guarida de bandidos	Бандитское логово	Esconderijo de Bandidos	Banditenversteck	Kryjówka bandytów	Loupežnická skrýš	Haydut Sığınağı 	Covo dei banditi
F10_cave					Rhonata Cave	Cueva Rhonata	Пещера Роната	Caverna Rhonata	Rhonata-Höhle	Jaskinia Rhonata	Jeskyně Rhonata	Rhonata Mağarası 	Caverna Rhonata
NG_house					New Garand House	Casa en New Garand	Дом в Нью-Гаранде	Casa em Nova Garand	Haus in New Garand	Dom w Nowym Garand	Dům v New Garand	New Garand Ev	Casa di New Garand
H9_lair					Urzuganar Lair	Guarida Urzuganar	Логово Урзуганара	Covil Urzuganar	Urzuganar-Höhle	Kryjówka Urzuganar	Urzuganarovo doupě	Urzuganar Yuvası 	Tana Urzuganar
NG_castle					Royal Castle yard	Patio del Castillo Real	Двор Королевского Замка	Pátio do Castelo Real	Hof des königlichen Schlosses	Dziedziniec Zamku Królewskiego	Nádvoří královského hradu	Kraliyet Kalesi Bahçesi 	Cortile del Castello Reale
I10_tutorial					A forest road	Un camino en el bosque	Лесная дорога	Uma trilha na floresta	Eine Straße im Wald	Leśna droga	Lesní cesta	Orman Yolu	Una strada nella foresta
NG_dungeon					Unknown dungeon	Mazmorra desconocida	Безымянное подземелье	Masmorra desconhecida	Unbekanntes Verlies	Nieznany loch	Neznámá hrobka	Bilinmeyen Zindan	Dungeon sconosciuto
NG_warriors					The Warrior's Guild	Gremio de Guerreros	Гильдия Воинов	A Guilda dos Guerreiros	Kriegergilde	Gilidia wojowników	Cech Válečníků	Savaşçı Loncası 	La Gilda dei Guerrieri
I11_cave					Merdxan cave	Cueva Merdxan	Пещера Мердзана	Caverna Merdxan	Merdxan-Höhle	Jaskinia Merdxan	Merdxanova jeskyně	Merdxan Mağarası 	Caverna Merdxan
E10_cave_fire					The Flame Pits	El Foso de Llamas	Пламенные Ямы	O Abismo de Chamas	Die Flammengrube	Ogniste Doły	Plámenné jámy	Alev Çukurları 	Il Fosso delle Fiamme
E8_cave					Gurguth Cave	Cueva Gurguth	Пещера Гургутха	Caverna Gurgurth	Gurguth-Höhle	Jaskinia Gurguth	Gurguthova jeskyně	Gurguth Mağarası 	Caverna Gurguth
D9_tower					Iron Enclave	Enclave de Hierro	Железный Анклав	Enclave de Ferro	Eiserne Enklave	Żelazna Enklawa	Železná enkláva	Demir Yerleşim 	Enclave di Ferro
NG_house_1					Magistrate Steinz's House	Casa del Magistrado Steinz	Дом Магистрата Штейнца	Casa do Magistrado Steinz	Haus von Magistrat Steinz	Dom sędziego Steinza	Dům Magistra Steinze	Hakim Steinz'ın Evi 	Casa del Magistrato Steinz
I10_tower					Sagar Enclave	Enclave de Sagar	Анклав Сагара	Enclave Sagar	Sagar-Enklave	Enklawa w Sagar	Sagarská enkláva	Sagar Yerleşimi	Enclave di Sagar
G8_tower					Inori Enclave	Enclave de Inori	Анклав Инори	Enclave Inori	Inori-Enklave	Enklawa w Inori	Inorská enkláva	İnori Yerleşimi 	Enclave di Inori
G8_hideout					Abandoned smuggler hideout	Guarida abandonada	Брошенный схрон грабителей	Esconderijo abandonado	Verlassenes Schmugglerversteck	Opuszczona kryjówka przemytników	Opuštěná pašerácká skrýš	Terkedilmiş Kaçakçı Sığınağı 	Covo abbandonato
NI_hall					The Hall of Wisdom	Estancias de la Sabiduría	Чертог Мудрости	O Salão da Sabedoria	Halle der Weisheit	Świątynia Mądrości	Síň moudrosti	Bilgelik Salonu	La sala della saggezza
NI_warriors					Warriors' Guild	Gremio de Guerreros	Гильдия Воинов	Guilda dos Guerreiros	Kriegergilde	Gildia Wojowników	Cech Válečníků	Savaşçı Loncası	Gilda dei Guerrieri
H7	7	6	inori	[outdoor][worldmap]	Eastern Inori	Inori Este	Восточная Инори	Inori Leste	Östliche Inori	Wschodnia Inori	Východní Inori	Doğu Inori	Inori Orientale
H6	7	5	inori	[outdoor][worldmap]	Golden Cove	Cala Dorada	Золотая Бухта	Enseada Dourada	Goldene Bucht	Złota Zatoczka	Zlatá zátoka	Altın Koy	Baia Dorata
G6	6	5	inori	[outdoor][worldmap]	Emerald Valley	Valle Esmeralda	Изумрудная Долина	Vale Esmeralda	Smaragdtal	Szmaragdowa Dolina	Smaragdové údolí	Zümrüt Vadi	Valle Smeralda
G6_cave					Kurgua Cave	Cueva Kurgua	Пещера Кургуа	Caverna Kurgua	Kurgua-Höhle	Jaskinia Kurgua	Jeskyně Kurgua	Kurgua Mağarası	Cava Kurgua
H7_temple					Forgotten Temple	Templo Olvidado	Забытый Храм	Templo Esquecido	Vergessener Tempel	Zapomniana Świątynia	Zapomenutý chrám	Unutulmuş Tapınak	Tempio Dimenticato
H6_bank					Golden Cove Bank	Banco de Cala Dorada	Банк Золотой Бухты	Banco da Enseada Dourada	Bank der Goldenen Bucht	Bank w Złotej Zatoczce	Banka Zlaté zátoky	Altın Koy Sahili	Banca della Baia Dorata
H6_manor					Governor's Manor	Mansión del Gobernador	Особняк Губернатора	Mansão do Governador	Anwesen des Gouverneurs	Posiadłość Gubernatora	Sídlo guvernéra	Valinin Malikânesi	Villa del Governatore
NI_house					Nivarian House	Casa de Nivarian	Ниварийский дом	Casa de Nivarian	Haus in Nivarian	Dom w Nivarian	Dům v Nivarian	Nivarya Evi	Casa di Nivarian
H5	7	4	s_wild	[outdoor][worldmap]	Dragon Coast	Costa del Dragón	Драконий берег	Costa do Dragão	Drachenküste	Smocze Wybrzeże	Dračí Pobřeží	Ejderha Sahili	Costa dei Dragone
H4	7	3	s_wild	[outdoor][worldmap]	Southern Dragon Mountains	Montañas del Dragón, Sur	Южные Драконьи горы	Montanhas do Dragão Sul	Südliches Drachengebirge	Południowe Smocze góry	Dračí Pohoří, Jih	Güney ejderha dağlar	Montagne del Drago Meridionali
H3	7	2	s_wild	[outdoor][worldmap]	Ashen Wastes	Páramos de Cenizas	Пепельные пустоши	Terras Cinzentas	Aschgraues Ödland	Pustkowia Popiołu	Popeleční Pustina	Ashen Atıkları	Rifiuti di Cenere
I3	8	2	s_wild	[outdoor][worldmap]	Ashen Cape	Cabo de Cenizas	Пепельный мыс	Cabo Cinzento	Kap der Asche	Przylądek Popiołu	Popelečný Mys	Ashen Pelerini	Capo di Cenere
H4_cave					Bappasalar Cave	Cueva Bappasalar	Пещера Баппасалар	Caverna Bappasalar	Bappasalar-Höhle	Jaskinia Bappasalara	Jeskyně Bappasalara	Bappasalar Mağarası	Cava di Bappasalar
H3_cave					Sunken Citadel	Ciudadela Hundida	Зотопленная крепость	Cidadela Submersa	Versunkene Zitadelle	Zatopiona Cytadela	Pohřbená Citadela	Batık Kale	Cittadella Affondata.
I3_ark					Ark of Lothasan	Arca de Lothasan	Ковчег Лотасана	Arca de Lothasan	Arche von Lothasan	Arka Lothasana	Lothasanova Archa	Lothasan Ark	Arca di Lothasan
I3_ark2					Ark of Lothasan - Upper Deck	Arca de Lothasan - Cubierta Superior	Ковчег Лотасана - верхняя палуба	Arca de Lothasan - Nível Superior	Arche von Lothasan - Oberes Deck	Arka Lothasana - górne piętro	Lothasanova Archa - Horní paluba	Lothasan Ark - Üst Güvertede	Arca di Lothasan - Piano superiore
I3_ark3					Ark of Lothasan - Reactor	Arca de Lothasan - Reactor	Ковчег Лотасана - Реактор	Arca de Lothasan - Reator	Arche von Lothasan - Reaktor	Arka Lothasana - reaktor	Lothasanova Archa - Reaktor	Lothasan Ark - Reaktör	Arca di Lothasan - Reattore
E10_maze_2					Maze of Lamth, level 2	Laberinto de Lamth, nivel 2	Ламтский лабиринт, ярус 2	Labirinto de Lamth, nível 2	Labyrinth von Lamth, Ebene 2	Labirynt Mitu	Lamthův Labyrint, úroveň 2	Lamth Labirenti, Seviye 2	Labirinto di Lamth, livello 2
E10_cave_ice					Frozen Depths	Profundidades Heladas	Глубинная мерзлота	Profundezas Congeladas	Frostige Tiefen	Mroźne Głębiny	Mrazivá Hlubina	Dondurulmuş Derinlikler	Profondità Ghiacciate.
I13	8	12	e_thuram	[outdoor][worldmap]	Icemist Fjord	Fiordo de Icemist	Фьорд Айсмиста	Fiorde de Icemist	Icemist-Fjord	Fiord Icemist	Fjord Icemistu	İcemist Fiyort	Fiordo di Icemist
H13	7	12	e_thuram	[outdoor][worldmap]	White Plains	Llanuras Blancas	Белые Равнины	Planícies Brancas	Weiße Ebene	Białe Równiny	Bílé Pláně	Beyaz ovalar	Pianure Bianche
G13	6	12	n_wild	[outdoor][worldmap]	Deepfrost Glacier	Glaciar Deepfrost	Ледник Дипфрост	Geleira Deepfrost	Deepfrost-Gletscher	Lodowiec Mrozów	Ledovec Deepfrostu	Deepfrost Buzulu	Ghiacciaio Deepfrost
H12	7	11	e_thuram	[outdoor][worldmap]	Whitetower Valley	Valle de Whitetower	Долина Уайттауэра	Vale de Whitetower	Whitetower-Tal	Dolina Białowieży	Údolí Whitetoweru	Whitetower Vadisi	Valle di Whitetower
IM	25	37		[town][worldmap]	Icemist	Icemist	Айсмист	Icemist	Icemist	Icemist	Icemist	Icemist	Icemist
IM_sewer					Sewer of Horrors	Alcantarilla de los Horrores	Канализация Ужасов	Esgoto dos Horrores	Kanalisation des Grauens	Przerażajace Kanały	Stoka Přízraků	Korkuların Kanalları	Fogne degli Orrori.
G13_tomb					Desecrated Ruins	Ruinas Profanadas	Оскверненные Руины	Ruínas Profanadas	Entweihte Ruinen	Zbeszczeszczone Ruiny	Znesvěcené Ruiny	İstiridye Harabeleri	Rovine profanate
IM_manor					Greyrune Manor	Mansión Greyrune	Особняк Грэйруна	Mansão Greyrune	Greyrune-Anwesen	Dwór Szarej Runy	Greyrunovo Sídlo	Greyrune Manor	Maniero Greyrune
IM_underlevel					Icemist Underlevels	Icemist: Niveles Inferiores	Подземелья Айсмиста	Níveis Inferiores de Icemist	Icemist: Untergeschoss	Podziemia Icemist	Podzemí Icemistu	Icemist Underlevels	Sottolivelli Icemist
IM_planeoffire					Elemental Plane of Fire	Plano Elemental del Fuego	Мир Элементалей	Plano Elemental do Fogo	Elementarebene des Feuers	Wymiar żywiołaków ognia	Elementální Pláň Ohně	Ateşin Elemental Düzlemi	Piano Elementare del Fuoco.
H4_test					Test Area	Test Area							
D13	3	12	w_ilmara	[outdoor][worldmap]	Sanctuary Peak	Pico del Santuario	Пик Святилища	Pico do Santuário	Heiliger Gipfel	Szczyt Sanktuarium	Hřeben svatyní		Picco del Santuario
C13	2	12	w_ilmara	[outdoor][worldmap]	Mount Orogg	Monte Orogg	Гора Орогг	Monte Orogg	Berg Orogg	Góra Orogg	Hora Orogg		Monte Orogg
J7	9	6	s_varsilia	[outdoor][worldmap]	Western Korne	Korne Oeste	Западный Корн	Korne Oeste	Westliches Korne	Zachodnie Korne	Západní Korne		Korne Occidentale
K7	10	6	s_wild	[outdoor][worldmap]	Eastern Korne	Korne Este	Восточный Корн	Korne Leste	Östliches Korne	Wschodnie Korne	Východní Korne		Korne Orientale
I9_castle					Castle Storme	Castillo Storme	Замок Сторм	Castelo Storme	Burg Storme	Zamek Storme	Hrad Storme		Castello Storme
I9_temple					Temple of Blood	Templo de la Sangre	Храм Крови	Templo de Sangue	Bluttempel	Świątynia Krwi	Krvavý Chrám		Tempio del Sangue
I9_temple2					Temple of Blood	Templo de la Sangre	Храм Крови	Templo de Sangue	Bluttempel	Świątynia Krwi	Krvavý Chrám		Tempio del Sangue
FT_arena					Freetown Arena	Arena de Freetown	Арена Фритауна	Arena de Freetown	Arena von Freetown	Arena Wolnego Miasta	Aréna ve Freetown		Arena di Freetown
D13_sanctuary					Sanctuary of Irossia	Santuario de Irossia	Святилище Айроссии	Santuário de Irossia	Heiligtum von Irossia	Sanktuarium Irossia	Svatyně Irossie		Santuario di Irossa
C13_pits					Forbidden Pit	Foso Prohibido	Запретная Шахта	Fosso Proibido	Verbotene Grube	Zakazana Otchłań	Zapovězená jáma		Pozzo Proibito
K7_cave					Heart of Korne	Corazón de Korne	Сердце Корна	Coração de Korne	Herz von Korne	Serce Korne	Srdce Korne		Cuore di Korne
K7_observatory					The Observatory	El Observatorio	Обсерватория	O Observatório	Das Observatorium	Obserwatorium	Observatoř		Osservatorio
K11	10	10	e_thuram	[outdoor][worldmap]	Solligan Stripe	Franja de Solliga	Побережье Соллиги						
J12	9	11	n_wild	[outdoor][worldmap]	Eastern Wyvern Mountains	Montes Wyvern Este	Восточные Горы Виверн					 	
F6	5	5	s_wild	[outdoor][worldmap]	Gorge of the Silent Kings	Garganta de los Reyes Silenciosos	Ущелье Безмолвных Королей					 	
C10	2	9	wild	[outdoor][worldmap]	Varann Woodland	Arboleda de Varann	Вараннский лес						 
C11	2	10	wild	[outdoor][worldmap]	Elder Forest	Bosque Anciano	Древний Лес						 
