id	rarity	spawn_id	spawn_id_2	spawn_id_3	item_id	target	target_ES	reward_table	difficulty	locations	duration_max	top_faction	faction_gain	faction_loss	rival_faction_loss	minlevel	maxlevel
ban7	C	bandit_male	bandit_male	0	0	Thief Djone Aego	Ladrón Djone Aego	gold	0	"H10_1;H10_2;G10_1;G10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;F10_2;F10_1"	8	70	3	0	0	3	9
ban8	C	bandit_male	bandit_male	0	0	Thief Moxto Les	Ladrón Moxto Les	gold	0	"H10_1;H10_2;G10_1;G10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;F10_2;F10_1"	8	70	3	0	0	3	9
ban9	C	bandit_male	bandit_male	0	0	Thief Edill Niosme	Ladrón Edill Niosme	gold	0	"H10_1;H10_2;G10_1;G10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;F10_2;F10_1"	8	70	3	0	0	3	9
ban10	C	bandit_male_elite	bandit_male	0	0	Outlaw Radz Assar	Bandido Radz Assar	gold	2	"G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;G9_cave_1;G9_cave_2;F10_1"	7	70	3	0	0	6	11
ban11	C	bandit_female_elite	bandit_male	0	0	Outlaw Natalia Rirz	Bandido Natalia Rirz	gold	2	"G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;G9_cave_1;G9_cave_2;F10_1"	7	70	3	0	0	6	11
ban12	C	bandit_male_elite	bandit_male	0	0	Outlaw Neroos Ahir	Bandido Neroos Ahir	gold	2	"G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;G9_cave_1;G9_cave_2;F10_1"	7	70	3	0	0	6	11
ban13	C	bandit_female_elite	bandit_male_elite	0	0	Joanne the Bloody	Joanne la Sangrienta	gold	3	"H9_2;G9_cave_1;G9_cave_2"	6	70	3	0	0	8	15
orc1	C	orc_warrior	orc	0	0	Orc Sergeant Urkaz	Sargento Orco Urkaz	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	3	9
orc2	C	orc_warrior	orc	0	0	Orc Sergeant Korzog	Sargento Orco Korzog	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	3	9
orc3	C	orc_warrior	orc	0	0	Orc Sergeant Ufang	Sargento Orco Ufang	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	3	9
orc4	C	orc_warrior	orc	0	0	Orc Sergeant Erund	Sargento Orco Erund	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	3	9
orc5	C	orc_warrior	orc	0	0	Orc Sergeant Isk-Hor	Sargento Orco Isk-Hor	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	6	10
orc6	C	orc_warrior	orc	0	0	Orc Sergeant Gurshagar	Sargento Orco Gurshagar	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	6	10
orc7	C	orc_warrior	orc	0	0	Orc Sergeant Norok	Sargento Orco Norok	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	6	10
orc8	C	orc_elite	orc_warrior	0	0	Orc Sergeant Kolang	Sargento Orco Kolang	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	6	10
orc9	C	orc_elite	orc_warrior	0	0	Orc Sergeant Morog	Sargento Orco Morog	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	8	70	3	0	0	6	10
orc10	C	orc_elite	orc_warrior	0	0	Orc Sergeant Ordak	Sargento Orco Ordak	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	7	70	3	0	0	6	10
orc11	C	orc_elite	orc_warrior	0	0	Orc Sergeant Urki	Sargento Orco Urki	gold	0	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	7	70	3	0	0	6	10
orc_b1	C	orc_trooper	orc_warrior	0	0	Orc Captain Okkud	Capitán Orco Okkud	gold	1	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	7	70	3	0	0	8	13
orc_b2	C	orc_trooper	orc_warrior	0	0	Orc Captain Suraa	Capitán Orco Suraa	gold	1	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	7	70	3	0	0	8	13
orc_b3	C	orc_trooper	orc_warrior	0	0	Orc Captain Tarrju	Capitán Orco Tarrju	gold	1	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	7	70	3	0	0	8	13
orc_b4	C	orc_trooper	orc_warrior	0	0	Orc Captain Imzûr	Capitán Orco Imzûr	gold	1	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	7	70	3	0	0	8	13
orc12	C	orc_trooper	orc_warrior	0	0	Orc Captain Rurgoz	Capitán Orco Rurgoz	gold	1	"H10_2;G9_1;G9_2;G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	7	70	3	0	0	8	13
orc13	C	orc_trooper	orc_warrior	0	0	Orc Captain Kazhu	Capitán Orco Kazhu	gold	1	"G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	6	70	3	0	0	9	14
orc14	C	orc_trooper	orc_warrior	0	0	Orc Captain Skurnah	Capitán Orco Skurnah	gold	1	"G9_3;H9_1;H9_2;H8_1;H8_2;H9_lair_1;H9_lair_2;H9_lair_3;F10_2"	6	70	3	0	0	9	14
orc15	C	orc_trooper	orc_elite	0	0	Orc Commander Torkûn	Comandante Orco Torkûn	gold	3	"H9_2;H9_lair_1;H9_lair_2;H9_lair_3"	6	70	3	0	0	10	15
orc16	C	orc_trooper	orc_elite	0	0	Orc Commander Gargath	Comandante Orco Gargath	gold	3	"H9_2;H9_lair_1;H9_lair_2;H9_lair_3"	6	70	3	0	0	10	15
