tag	EN	SP	RU	PT	DE	PL	CZ	TR	IT	FR
MAGE_DESCRIPTION	This class is currently unavailable	Esta clase aún no está disponible.	Этот класс в настоящее время недоступен	Essa classe ainda não está disponível.	Diese Klasse ist derzeit nicht verfügbar.	Ta klasa jest obecnie niedostępna.	Tato třída je v současnosti nedostupná.	Bu sınıf şu anda kullanılamıyor	Questa classe non è momentaneamente disponibile.	Cette classe de personnage n'est pas encore disponible
DL_DESC_CASUAL	As 'Normal', but regenerating a little life when idle, and can quicksave in dungeons. Easy.	Como 'Normal', pero regeneras algo de vida entre luchas y puedes guardar en mazmorras. Fácil.	Как 'Средний', но вне боя очки здоровья медленно восстанавливаются, также можно использовать быстрое сохранение в подземельях. Легко.	"Igual ao ""Normal"", mas regenera um pouco de vida quando parado e pode salvar nas masmorras. Fácil."	"Wie ""Normal"", aber du erholst dich etwas, wenn du stillstehst, und kannst in Verliesen speichern. Leicht."	Regeneracja życia w czasie bezczynności oraz możliwość szybkiego zapisu w podziemiach.	Jako 'Normální', ale s drobnou regenerací života při neaktivitě, a můžeš používat rychlé uložení ve sklepeních. Jednoduché.	Normal' olarak, ancak boşta iken biraz canlandırabilir ve zindanlarda çabucak kurtarabilir. Kolay.	Come 'Normale', ma la vità si rigenera se si resta inattivi e si può fare salvataggi veloci. Facile.	Comme le mode 'Normal'. En plus, le personnage régénère un peu de vie lorsqu'il est inactif et il est possible de créer des sauvegardes rapides dans les donjons. Facile.
DL_DESC_NORMAL	An adequate challenge for most players. Expect a hostile world and dangerous encounters. 	Un buen desafío para la mayoría de jugadores. Encontrarás un mundo hostil y encuentros difíciles.	Откровенный вызов для многих игроков. Рассчитывайте на враждебный мир и опасные встречи.	Um bom desafio para a maioria dos jogadores. Espere um mundo hostil e encontros difíceis.	Eine angemessene Herausforderung für die meisten Spieler. Eine feindliche Umgebung und gefährliche Begegnungen erwarten dich.	Odpowiednie wyzwanie dla większości graczy. Spodziewaj się wrogo nastawionego świata i niebezpiecznych przeciwników.	Adekvátní výzva pro mnoho hráčů. Očekávej nehostiný svět a nebezpečná střetnutí.	Çoğu oyuncu için yeterli bir zorluk. Düşmanca bir dünya ve tehlikeli karşılaşmalar bekleyin.	Una sfida adeguata per quasi tutti i giocatori. Aspettati un mondo ostile e incontri pericolosi.	Un défi adéquat pour la plupart des joueurs. Attendez-vous à un monde hostile et à des rencontres dangereuses.
DL_DESC_HARD	Enemies and traps are tougher and more numerous. Designed for hardcore RPG players.	Enemigos y trampas más duros, y numerosos. Para jugadores experimentados en RPGs.	Враги и ловушки сильнее и многочисленнее. Предназначено для опытных игроков RPG.	Inimigos e armadilhas mais fortes e numerosos. Para jogadores com experiência em RPGs.	Gegner und Fallen sind stärker und zahlreicher. Gestaltet für Hardcore-Rollenspieler.	Więcej pułapek i potężniejszych wrogów. Dla starych wyjadaczy cRPG-ów.	Nepřátelé a pasti jsou odolnější a mnohem početnější. Navrženo pro hardcore RPG hráče	Düşmanlar ve tuzaklar daha sert ve daha sayıca daha fazladır.Hardcore RPG oyuncuları için tasarlanmıştır.	Nemici e trappole saranno più numerosi e difficili. Pensato per i giocatori hardcore.	Les ennemis sont plus puissants et les pièges sont plus nombreux. Mode conçu pour les joueurs hardcore.
DL_DESC_IRONMAN	Same as 'Hard', but you can't save, except when you exit the game. If you die, it is over.	Igual que 'Difícil', pero no puedes guardar, excepto al salir del juego. Si mueres, se acabó.	Так же, как 'Сложный', но вы можете сохраниться только когда выходите из игры. Если вы умрёте - она закончилась.	"Igual ao ""Difícil"", mas não pode salvar, exceto ao sair do jogo. Se morrer, acabou."	"Identisch zu ""Schwer"", aber du kannst nicht speichern, außer wenn du das Spiel beendest. Stirbst du, ist es vorbei."	Zapisywanie dostępne tylko przy wychodzeniu z gry. Działa też 'permadeath' (śmierć oznacza koniec gry).	Stejně jako 'Těžká', ale nemůžeš ukládat s výjimkou, když chceš opustit hru. Jestli zemřeš, je po všem.	Sert' ile aynı, ancak oyundan çıktığınızda hariç kaydedemezsiniz. Eğer ölürsen, bitti.	Come 'Difficile', ma non puoi salvare, a parte quando esci dal gioco. Se muori è finita.	Comme le mode 'Difficile', mais vous ne pouvez pas effectuer de sauvegarde sauf lorsque vous quittez le jeu. De plus la mort de votre personnage est définitive.
CONFIRM_RELOAD	Are you sure you want to load from a saved game and discard current game?	¿Estás seguro de que quieres cargar y descartar la partida actual?	Вы уверены, что хотите загрузить сохранённую игру и сбросить текущую?	Você tem certeza que quer carregar um jogo salvo e descartar o atual?	Willst du den Spielstand wirklich laden und damit das aktuelle Spiel verwerfen?	Czy na pewno chcesz wczytać zapisaną grę i porzucić dotychczasowe dokonania? 	Jsi si jistý, že chceš načist uloženou hru a zrušit současnou hru?	Kaydedilen bir oyundan yüklemek ve mevcut oyunu atmak istediğinizden emin misiniz?	Sei sicuro di voler caricare una partita salvata e perdere questa?	Êtes-vous sûr de vouloir charger cette sauvegarde et perdre la progression actuelle ?
CONFIRM_OVERWRITE	Are you sure you want to overwrite this saved game?	¿Estás seguro de que quieres sobreescribir con el juego actual?	Вы уверены, что хотите переписать эту сохранённую игру?	Você tem certeza que quer sobrescrever esse jogo salvo?	Willst du das gespeicherte Spiel wirklich überschreiben?	Czy na pewno chcesz nadpisać zapisaną grę?	Jsi si jistý, že chceš přepsat tuto uloženou hru?	Kaydedilen oyunun üzerine yazmak istediğinizden emin misiniz?	Sei sicuro di voler sovrascrivere questo salvataggio?	Êtes-vous sûr de vouloir écraser cette sauvegarde ?
CANT_SAVE_ENEMIES	You can't save your game here, there are enemies nearby. Find a safe place!	No puedes grabar la partida, hay enemigos cerca. ¡Encuentra un lufar seguro!	Вы не можете сохранить игру здесь - есть враги поблизости. Найдите безопасное место!	Você não pode salvar aqui, há inimigos por perto. Encontre um lugar seguro!	Du kannst hier nicht speichern, es sind Gegner in der Nähe. Finde einen sicheren Ort!	Nie możesz zapisać gry, kiedy w pobliżu są wrogowie. Znajdź bezpieczne miejsce! 	Zde nemůžeš uložit hru, nepřátelé jsou blízko. Najdi bezpečné místo!	Oyununuzu burada kaydedemezsiniz, yakında düşmanlar vardır.Güvenli bir yer bul! 	Non puoi salvare qua, i nemici sono vicini! Trova un area sicura!	Vous ne pouvez pas sauvegarder maintenant, des ennemis sont proches. Trouvez un endroit sûr !
CANT_SAVE_INDOOR	You can't save your game in this area.	No puedes guardar el juego en esta zona.	Вы не можете сохранить игру в этой области.	Não pode salvar o jogo nesse local.	Du kannst in diesem Gebiet nicht speichern.	Nie możesz zapisać gry w tym miejscu.	Nemůžeš uložit hru v této oblasti.	Oyunu bu bölüme kaydedemezsiniz.	Non puoi salvare in quest'area.	Vous ne pouvez pas sauvegarder dans cette zone.
CANT_SAVE_HEALTH	You can't save your game because your health is too low! Try healing first or sleeping at an inn.	No puedes guardar el juego porque estás demasiado herido. Prueba a curarte antes o a dormir en una posada.	Вы не можете сохранить свою игру, потому что у вас слишком мало здоровья! Сначала подлечитесь или выспитесь в гостинице.	Você não pode salvar o jogo porque está muito ferido. Se cure primeiro ou durma em uma pousada.	Du kannst nicht speichern, da deine Gesundheit zu niedrig ist! Versuche es mit Heilung oder einer Rast im Gasthaus.	Nie możesz zapisać gry – masz za mało PŻ! Spróbuj przywrócić część utraconego zdrowia albo przespać się w karczmie.	Nemůžeš uložit hru, protože tvé zdraví je příliš nízké! Zkus se nejprve vyléčit nebo přespat v hospodě.	Sağlığınız çok düşük olduğu için oyununuzu kurtaramazsınız! Önce şifayı deneyin veya bir hanede uyurken.	Non puoi salvare la partita perché la tua vita è troppo bassa. Prova a curarti prima o a dormire.	Vous ne pouvez pas sauvegarder car votre vie est trop faible ! Essayez de vous soigner ou dormez à l'auberge d'abord.
SPEND_ALL_TRAITS	You must spend all of your Trait Points before continuing.	Debes gastar todos los Puntos de Atributos antes de continuar.	Вы должны потратить все ваши очки свойств, прежде чем продолжить.	Você deve gastar todos os seus Pontos de Atributos antes de continuar.	Zum Fortfahren müssen alle Eigenschaftspunkte vergeben werden.	Jeśli chcesz kontynuować musisz wydać wszystkie punkty cech.	Než budeš pokračovat, musíš použít svě Rysové Body.	Devam etmeden önce tüm Uyum Puanlarınızı harcamanız gerekir.	Devi spendere tutti i tuoi Punti Attributo prima di poter continuare.	Vous devez utiliser tous vos Points de Caractéristiques avant de continuer.
SPEND_ALL_SKILLS	You must spend all of your Skill Points before continuing.	Debes gastar todos los Puntos de Habilidad antes de continuar.	Вы должны потратить все ваши очки умений, прежде чем продолжить.	Você deve gastar todos os seus Pontos de Habilidade antes de continuar.	Zum Fortfahren müssen alle Fertigkeitspunkte vergeben werden.	Jeśli chcesz kontynuować musisz wydać wszystkie punkty umiejętności.	Než budeš pokračovat, musíš použít své Vlastnostní Body.	Devam etmeden önce Beceri Puanlarınızı harcamanız gerekir.	Devi spendere tutti i tuoi Punti Abilità prima di poter continuare.	Vous devez utiliser tous vos Points de Compétences avant de continuer.
TOO_TIRED_RECOVER	You are too tired to recover. Find a safe place to sleep	Demasiado fatigado para recuperarte. Busca un lugar seguro y duerme	Вы слишком устали, чтобы восстановиться. Найдите безопасное место для сна	Você está muito cansado para se curar. Procure um lugar seguro e durma.	Du bist zu müde, um deine Gesundheit wiederherzustellen. Finde einen sicheren Ort zum Schlafen.	Nie możesz się uzdrowić – twoje zmęczenie jest zbyt duże. Znajdź bezpieczne miejsce, aby odpocząć.	Jsi příliš unaven, aby jsi se zotavil. Najdi bezpečné místo ke spánku.	Kurtulmak için çok yorgunsundur.Uyku için güvenli bir yer bul	Sei troppo stanco per recuperare. Trova un posto sicuro per dormire.	Vous êtes trop fatigué pour récupérer. Trouvez un endroit sûr où dormir.
NOT_INJURED	You are not injured, you don't need to recover	No estás herido, no necesitas recuperarte	Вы не ранены, Вам не нужно лечение.	Não está ferido, não necessita curar.	Du bist nicht verletzt und brauchst somit keine Erholung.	Nie masz ran, więc nie musisz się uzdrawiać.	Nejsi zraněn, nepotřebuješ zotavení.	Yaralı değilsin, iyileşmek zorunda değilsin	Non sei ferito, non devi recuperare.	Vous n'êtes pas blessé, vous n'avez pas besoin de récupérer.
ENEMIES_AROUND	You can't recover when enemies are around	No puedes recuperarte cuando hay enemigos cerca	Вы не можете выздороветь, когда рядом враги.	Não pode curar quando há inimigos por perto.	Du kannst dich nicht erholen, während Gegner in der Nähe sind.	Nie możesz się uzdrowić, kiedy wrogowie są w pobliżu.	Nemůžeš použít zotavení, když jsou nepřátelé okolo	Düşmanlar etrafındayken kurtulamazsın	Non puoi recuperare quando i nemici sono vicini.	Vous ne pouvez pas récupérer lorsque des ennemis sont proches.
ENEMIES_AROUND_HIDE	You can't hide when enemies are around	No puedes esconderte cuando hay enemigos cerca	Вы не можете скрыться, когда рядом враги.	Não pode se esconder quando há inimigos por perto.	Du kannst dich nicht verstecken, während Gegner in der Nähe sind.	Nie możesz się ukryć, kiedy wrogowie są w pobliżu.	Nemůžeš se skrýt, když jsou nepřátelé okolo	Düşmanların olduğu zaman saklanamazsın	Non puoi nasconderti quando i nemici sono intorno.	Vous ne pouvez pas vous cacher lorsque des ennemis sont proches.
NOT_VERY_INJURED	You are not very injured, are you sure you want to recover all your health?	No estás muy herido, estás seguro de que quieres recuperarte ahora?	Вы не очень пострадали, уверены, что хотите восстановить все свое здоровье?	Não está muito ferido, tem certeza que deseja curar agora?	Du bist nur leicht verwundet, willst du wirklich all deine Gesundheit wiederherstellen?	Twoje rany nie są poważne. Na pewno chcesz się całkowicie uzdrowić?	Nejsi příliš zraněný, jsi si jistý, že chceš použít zotavení, k obnově celého zdraví?	Çok yaralı değilsiniz, sağlığınızı düzeltmek istediğinize emin misiniz?	Non sei tanto ferito, vuoi davvero curare tutta la tua vita?	Vous n'êtes pas très blessé, êtes-vous suûr de vouloir récupérer toute votre vie ?
CHOOSE_OPTION_CONTINUE	Choose an option to continue	Escoge una opción para seguir	Сделайте выбор, чтобы продолжить	Escolha uma opção para continuar:	Triff eine Auswahl, um fortzufahren.	Wybierz opcję, aby kontynuować:	Vyber možnost a pokračuj	Devam etmek için bir seçenek seçin	Scegli un opzione per continuare	Choisissez une option pour continuer.
RECOVER_ALL_HEALTH	You rest for 12 hours and recover all your health.<p>Game has been saved	Descansas 12 horas y recuperas toda la vida.<p>Se ha grabado el juego.	Вы отдыхали 12 часов и восстановили все ваше здоровье.<p>Игра была сохранена	Você descansou por 12 horas e recuperou toda sua vida.<p>O jogo foi salvo.	Du rastest für 12 Stunden und stellst all deine Gesundheit wieder her.<p>Spielstand gespeichert.	Odpoczywasz 12 godzin – odzyskujesz wszystkie punkty zdrowia. <p>Gra została zapisana	Odpočíval jsi 12 hodin a obnovil jsi veškeré zdraví.<p>Hra byla uložena	12 saat dinlenir ve tüm sağlığınızı kurtarırsınız.<p>Oyun kaydedildi.	Dormi per dodici ore e recuperi tutta la tua vita. .<p>Il gioco è stato salvato.	Vous vous reposez durant 12h et regagnez toute votre santé. <p> Partie sauvegardée.
RECOVER_SOME_HEALTH	You rest for 6 hours and recover some health.<p>Game has been saved	Descansas 6 horas y recuperas parte de la vida.<p> Se ha grabado el juego.	Вы отдыхали 6 часов и восстановили часть здоровья.<p>Игра была сохранена	Você descansou por 6 horas e recuperou parte da sua vida.<p>O jogo foi salvo.	Du rastest für 6 Stunden und stellst einen Teil deiner Gesundheit wieder her.<p>Spielstand gespeichert.	Odpoczywasz 6 godzin – odzyskujesz część zdrowia. <p>Gra została zapisana	Odpočíval jsi 6 hodin a obnovil jsi část svého zdraví.<p>Hra byla uložena	6 saat dinlenip biraz sağlıklı kalacaksınız.<p>Oyun kaydedildi.	Dormi per sei ore e recuperi un po' di vita..<p>Il gioco è stato salvato.	Vous vous reposez durant 6h et regagnez une partie de votre santé. <p> Partie sauvegardée.
RECOVER_ALL_HEALTH_NOSAVE	You rest for 12 hours and recover all your health.	Descansas 12 horas y recuperas toda la vida.	Вы отдыхали 12 часов и восстановили все ваше здоровье.	Você descansou por 12 horas e recuperou toda sua vida.	Du rastest für 12 Stunden und stellst all deine Gesundheit wieder her.	Odpoczywasz 12 godzin – odzyskujesz wszystkie punkty zdrowia.	Odpočíval jsi 12 hodin a obnovil jsi veškeré zdraví.	12 saat dinlenir ve tüm sağlığın düzelir.	Dormi per 12 ore e recuperi tutta la vita.	Vous vous reposez durant 12h et regagnez toute votre santé.
RECOVER_SOME_HEALTH_NOSAVE	You rest for 6 hours and recover some health.	Descansas 6 horas y recuperas parte de la vida.	Вы отдыхали 6 часов и восстановили часть здоровья.	Você descansou por 6 horas e recuperou parte da sua vida.	Du rastest für 6 Stunden und stellst einen Teil deiner Gesundheit wieder her.	Odpoczywasz 6 godzin – odzyskujesz część zdrowia.	Odpočíval jsi 6 hodin a obnovil jsi část svého zdraví.	6 saat dinlenir ve biraz sağlık kazanırsın.	Dormi per 6 ore e recuperi un po' di vita.	Vous vous reposez durant 6h et regagnez une partie de votre santé.
GAME_SAVED	Game has been saved	Se ha grabado el juego.	Игра была сохранена	O jogo foi salvo.	Spiel wurde gespeichert	Gra została zapisana.	Hra byla uložena	Oyun kaydedildi	Il gioco è stato salvato.	Partie sauvegardée.
GAME_QUICKSAVED	Quick-Save successful	Guardado-rápido realizado	Успешное быстрое сохранение	Salvamento Rápido realizado.	Schnellspeichern erfolgreich	Pomyślnie wykonano szybki zapis.	Rychlé uložení úspěšné	Hızlı Kaydetme başarılı oldu	Salvataggio rapido realizzato.	Sauvegarde Rapide effectuée.
INTRO_1	For millenia, the continent of Andoria was united and prosperous under the banner of the Great Empire. 	Durante milenios, el continente de Andoria permaneció unido bajo el estandarte del Gran Imperio	Тысячелетиями континент Андория был един и процветал под знаменем Великой империи.	Durante milênios, sob o estandarte do Grande Império, o continente de Andoria permaneceu unido.	Über Jahrtausende hinweg war der Kontinent Andoria unter dem Banner des Großen Reiches vereint und blühte auf.	Przez tysiąclecia zjednoczony kontynent Andorii kwitł pod sztandarami Wielkiego Imperium.	Po tisíciletí byl kontinent Andoria sjednocen a prosperoval pod praporem Velkého Impéria.	Milyonlarca için, Andoria kıtası Büyük İmparatorluk bayrağı altında birleşmiş ve müreffeh olmuştu.	Per millenni, il continente di Andoria fu unito e prosperoso sotto il dominio del Grande Impero	Durant des milliers d'années, le continent d'Andoria était riche et prospère, uni sous la bannière du Grand Empire.
INTRO_2	It seemed as if the Empire would be eternal, forever strong and in peace, flourishing in science and arts.	Bajo el cetro del Emperador, parecía que el imperio sería eterno, siempre poderoso y en paz, mientras artes y ciencias florecían.	Казалось, что Империя будет стоять вечно, всегда сильной и мирной, процветающей в области наук и искусств.	Parecia que o Império seria eterno, sempre poderoso e em paz, prosperando em ciências e artes.	Es schien, als würde das Reich ewig währen, stets stark und friedlich sein, durch Wissenschaft und Kunst gedeihen.	Wydawało się, że potęga Imperium jest wiekuista, a jego nauka i sztuka będą się wiecznie rozwijać.	Zdálo se, že Impérium zde bude věčně. Navždy mírumilovné a zároveň silné, se vzkvétající vědou a uměním.	Sanki İmparatorluk, bilim ve sanatta gelişen sonsuza dek güçlü ve barış içinde sonsuza dek sürecekmiş gibi görünüyordu.	Sembrava che l'Impero potesse essere eterno, per sempre forte e pacifico, brillante per la scienza e l'arte.	Il semblait alors que l'Empire serait éternel, à jamais fort et en paix, promouvant les sciences et les arts.
INTRO_3	But every empire has to fall	Pero todo imperio debe caer	Но каждая империя когда-нибудь падёт	Mas todo império deve cair.	Aber jedes Reich muss irgendwann untergehen.	Jednak każde imperium musi kiedyś upaść.	Ale každá říše jednoho dne padne...	Ama her imparatorluk düşmek zorunda	Ma ogni impero crolla.	Mais tous les empires doivent tomber un jour.
