spawn_ID	race	class	minlevel	maxlevel	weapon_id	defense	resist	movement	attributes	loot	sprite	Size	Skillset	AI	faction	gender	portrait	onDieConditions	onDieActions	onAggroSound	onDieSound
black_wolf		warrior	10	10	tiger_bite	1	-25,25,0,0,0,0	1.2	[beast]	black_wolf	wolf_black	0.85		patroller	enemy	M	0			beast1	
worg	miniboss	warrior	14	14	tiger_bite_corrupted	6	-25,25,0,0,0,0	1.2	[beast]	worg	wolf_black	1.12	fury#2	patroller	enemy	M	0			monster_deep_2	
C12_demonic_wolf	boss	warrior	18	18	vorator_bite	6	100,50,100,100,0,0	1.2	[beast][outsider]	demonic_wolf	wolf	1.3	"bash#3;fury#3"	patroller	enemy	M	0			monster_deep_3	
spirit_wolf		warrior	13	13	spiritwolf_bite	4	150,150,150,0,0,0	1.2	[beast]		coyote	1		patroller	enemy	M	0			beast1	
hellhound	strong	warrior	6	8	steel_longsword	2	100,-25,0,0,0,0	1.2	[beast][outsider][fire_elemental]	fire_imp	wolf	1.1		patroller	enemy	M	0			beast1	
goblin	weak	warrior	1	1	goblin_spear	0	10,0,0,0,0,0	1.05	[goblin]	goblins_lannegar	adt_goblin_warrior	1		patroller	enemy	M	0	"VariableGreater#goblin_hunt,9;VariableLower#goblin_hunt,15"	IncVariable#goblin_hunt,1	"goblin-7;goblin-11;goblin-13"	
goblin_spearman	weak	warrior	2	3	iron_shortsword	1	25,0,0,0,0,0	1	[goblin]	goblin_spearman	adt_goblin_spearman	1		patroller	enemy	M	0	"VariableGreater#goblin_hunt,9;VariableLower#goblin_hunt,15"	IncVariable#goblin_hunt,1	"goblin-7;goblin-11;goblin-13"	
goblin_archer	weak	rogue	2	3	goblin_bow	0	10,0,0,0,0,0	1.05	[goblin]	goblins_lannegar	adt_goblin_warrior	1		patroller	enemy	M	0	"VariableGreater#goblin_hunt,9;VariableLower#goblin_hunt,15"	IncVariable#goblin_hunt,1	"goblin-7;goblin-11;goblin-13"	
goblin_guardian	weak	warrior	3	5	iron_longsword	2	25,0,0,0,0,0	1	[goblin][shield]	goblin_spearman	adt_goblin_spearman	1		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
goblin_sergeant		warrior	4	6	iron_longsword	2	25,0,0,0,0,0	1	[goblin][shield]	goblin_spearman	adt_goblin_spearman	1.1		patroller	enemy	M	0	"VariableGreater#goblin_hunt,9;VariableLower#goblin_hunt,15"	IncVariable#goblin_hunt,1	"goblin-7;goblin-11;goblin-13"	
goblin_beastlord		warrior	5	6	long_bow	2	25,0,0,0,0,0	1	[goblin]	goblin_spearman	adt_goblin_spearman	1.1	archery#1	patroller	beasts	M	0	"VariableGreater#goblin_hunt,9;VariableLower#goblin_hunt,15"	IncVariable#goblin_hunt,1	"goblin-7;goblin-11;goblin-13"	
goblin_firedancer	strong	cleric	4	7	firedancer_shot	0	120,0,0,0,0,0	1	[goblin]	goblin_spearman	adt_goblin_warrior	1.1	heal_wounds#1	patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
goblin_firelord	strong	cleric	7	10	goblin_firedancer_elite	2	200,0,0,0,0,0	1	[goblin]	goblin_spearman	adt_goblin_warrior	1.1	"heal_wounds#2;arbenos_might#3"	patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
goblin_firedancer_izharrak	miniboss	cleric	6	6	goblin_firedancer_elite	1	100,-50,0,0,0,0	1	[goblin]	quest_h10_izharrak	adt_goblin_warrior	1.3	"heal_wounds#1;arbenos_might#1"	patroller	enemy	M	0		setVariable#goblin_hunt3,50	"goblin-7;goblin-11;goblin-13"	
goblin_king	miniboss	warrior	9	11	bluesteel_longsword	5	50,0,0,0,0,0	1	[goblin][shield]	goblin_king	adt_goblin_warrior	1.4	"bash#1;resilience#2"	patroller	enemy	M	0		setVariable#kingslayer,1	goblin-13	
hobgoblin_warrior		warrior	8	9	icewolf_bite	2	0,40,20,0,0,0	1	[goblin]	hobgoblin	goblin_assasin	1		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
ice_shaman		cleric	10	11	ice_blast	0	20,80,20,0,20,20	1	[goblin][detector]	hobgoblin	goblin_shaman	1		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
hobgoblin_warlord	miniboss	warrior	15	15	ice_claw_10	6	"""-30,120,50,50,50,25"""	1	[goblin]	hobgoblin_lord	goblin_spearman_elite	1.2		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
goblin_zealot	weak	rogue	9	9	bluesteel_longsword	0	25,0,0,0,0,0	1	[goblin][explosive]	goblin_spearman	adt_goblin_warrior	0.9		patroller	enemy	M	0	"VariableGreater#goblin_hunt,9;VariableLower#goblin_hunt,15"	IncVariable#goblin_hunt,1	"goblin-7;goblin-11;goblin-13"	
goblin_weaponsmith	boss	warrior	27	27	mino_greataxe_epic_shock	12	300,300,300,300,300,300	1.5	[goblin][explosive]		goblin_elite	1.3	"flurry#3;resilience#3;bash#3;duel#3"	patroller	neutral	M	0			"goblin-7;goblin-11;goblin-13"	
dragon_priest	strong	cleric	14	14	ice_blast	2	200,200,20,0,20,20	1	[goblin][detector]	dragon_priest	goblin_shaman	1.1		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
orc		warrior	2	3	iron_longsword	1	0,0,0,40,25,0	1	[orc]	orc_3	adt_orc_grunt	0.85		patroller	enemy	M	0			"orc;orc2"	
orc_warrior		warrior	3	5	iron_longsword	2	0,0,0,40,25,0	1	[orc][shield]	orc_5	adt_orc_warrior	0.9	bash#0,1	patroller	enemy	M	0			"orc;orc2"	
orc_archer		rogue	5	6	medium_bow	0	0,0,0,90,25,0	1	[orc]	orc_5	orc_archer	0.85		patroller	enemy	M	0			"orc;orc2"	
orc_elite		warrior	6	8	steel_longsword	3	0,0,0,100,25,0	1	[orc][shield]	orc_7	adt_orc_warrior	1	bash#1	patroller	enemy	M	0			"orc;orc2"	
orc_trooper		warrior	9	11	bluesteel_longsword	3	0,0,0,160,25,0	1	[orc][shield]	orc_10	adt_orc_warrior	1.05	bash#2	patroller	enemy	M	0			"orc;orc2"	
orc_shooter		rogue	7	9	long_bow	2	0,0,0,160,25,0	1	[orc]	orc_7	orc_archer	1	archery#2	patroller	enemy	M	0			"orc;orc2"	
orc_cook		warrior	5	5	iron_longsword	2	0,0,0,90,30,0	1	[orc]	orc_cook	adt_orc_grunt	1		patroller	enemy	M	0			"orc;orc2"	
orc_king	miniboss	warrior	10	12	bluesteel_greatsword	7	25,20,0,150,30,0	1	[orc][shield][detector]	orc_king	adt_orc_grunt	1.1	"whirlwind#1;resilience#2"	patroller	enemy	M	0		setVariable#kingslayer,1	"orc;orc2"	
troll	strong	warrior	10	11	war_maul	5	"""-25,40,40,40,0,0"""	1	[aberration][regeneration]	troll	troll	1	bash#1	patroller	enemy	M	0			monster_deep_3	
elder_troll	strong	warrior	12	13	war_maul	6	"""-25,40,40,40,0,0"""	1	[aberration][regeneration]	troll	troll	1.10	bash#2	patroller	enemy	M	0			monster_deep_3	
troll_shaman	strong	cleric	10	10	lightning2	5	"""-25,40,40,40,0,0"""	1	[aberration][regeneration]	troll_shaman	troll_red	0.9	"holy_shield#0,2;heal_wounds#0,2"	patroller	enemy	M	0			monster_deep_2	
enraged_troll	miniboss	warrior	13	13	war_maul	9	"""-20,40,40,40,0,0"""	1.2	[aberration][regeneration][detector]	enraged_troll	troll_red	1.2	fury#2	patroller	enemy	M	0			monster_deep_3	
troll_king	miniboss	warrior	14	14	war_maul_heavy	10	"""-20,40,40,40,0,0"""	1.2	[aberration][regeneration][detector]	troll_king	troll	1.2	"fury#1;bash#2"	patroller	enemy	M	0			monster_deep_3	
king_gurguth	boss	warrior	16	16	war_maul_heavy	10	"""-20,50,50,50,50,50"""	1.2	[aberration][regeneration][detector]	troll_king_gurguth	troll	1.25	"fury#2;bash#2;resilience#3"	patroller	enemy	M	0		setVariable#kingslayer,1	monster_deep_3	
minotaur	strong	warrior	7	9	bluesteel_greataxe	4	0,70,0,0,70,0	0.9	[beast]	minotaur_drop	adt_minotaur_warrior	0.9	fury#1	patroller	enemy	M	0			"monster_deep_1;monster_deep_2;monster_deep_3"	
minotaur_lord	strong	warrior	10	12	mino_greataxe	6	20,70,20,20,70,0	1	[beast]	minotaur_lord	adt_minotaur_warrior	1.1	fury#2	patroller	enemy	M	0			"monster_deep_1;monster_deep_2;monster_deep_3"	
minotaur_renegade	miniboss	warrior	15	15	mino_greataxe_epic	6	20,70,20,20,70,30	1	[beast]	"minotaur_lord;minotaur_renegade"	adt_minotaur_warrior	1.2	fury#2	patroller	enemy	M	0			"monster_deep_1;monster_deep_2;monster_deep_3"	
minotaur_oracle	strong	cleric	11	12	lightning2	4	0,70,0,0,70,0	1	[beast]	minotaur_oracle	adt_minotaur_shaman	0.9	heal_wounds#2	patroller	enemy	M	0			monster_deep_2	
minotaur_royal_guard	strong	warrior	14	14	mino_greataxe_epic	6	20,70,20,20,70,0	1	[beast]	minotaur_lord	adt_minotaur_warrior	1.1	fury#2	patroller	player	M	0			"monster_deep_1;monster_deep_2;monster_deep_3"	
minotaur_priest	strong	cleric	15	15	lightning2	4	0,70,0,0,70,0	1	[beast]	minotaur_oracle	adt_minotaur_shaman	0.9	heal_wounds#2	patroller	player	F	38			monster_deep_2	
minotaur_highpriest	miniboss	cleric	18	18	lightning3	4	0,70,0,0,70,0	1	[beast]	mino_highpriest	adt_minotaur_shaman	1	heal_wounds#2	patroller	player	F	37			monster_deep_2	
minotaur_king	boss	warrior	19	19	mino_greataxe_epic	7	20,70,20,20,70,0	1	[beast]	mino_king	adt_minotaur_warrior	1.15	fury#3	patroller	player	M	73			"monster_deep_1;monster_deep_2;monster_deep_3"	
enraged_minotaur_ng	miniboss	warrior	6	11	steel_greatsword	5	0,70,0,0,70,0	0.9	[beast]	minotaur_drop	adt_minotaur_warrior	1	fury#1	patroller	enemy	M	0		setVariable#ng_enraged_mino,1	"monster_deep_1;monster_deep_2;monster_deep_3"	
mino_raider	strong	warrior	9	9	bluesteel_greataxe	4	0,70,0,0,70,0	0.9	[beast]	minotaur_drop	adt_minotaur_warrior	0.9	fury#2	patroller	enemy	M	0	"VariableGreater#bullfighting,9;VariableLower#bullfighting,13"	IncVariable#bullfighting,1	"monster_deep_1;monster_deep_2;monster_deep_3"	
mino_raider_oracle	strong	cleric	10	10	lightning2	4	0,70,0,0,70,0	1	[beast]	minotaur_drop	adt_minotaur_shaman	0.9	heal_wounds#2	patroller	enemy	M	0	"VariableGreater#bullfighting,9;VariableLower#bullfighting,13"	IncVariable#bullfighting,1	monster_deep_2	
minotaur_ashen	strong	warrior	16	16	mino_greataxe_epic	5	20,70,20,20,70,30	1	[beast]	minotaur_ashen	adt_minotaur_warrior	1	fury#2	patroller	enemy	M	0			"monster_deep_1;monster_deep_2;monster_deep_3"	
minotaur_oracle_ashen	strong	cleric	16	16	lightning3	3	0,70,0,0,70,30	1	[beast]	minotaur_ashen	adt_minotaur_shaman	0.8	heal_wounds#3	patroller	enemy	M	0			monster_deep_2	
minotaur_ashen_warlord	miniboss	warrior	18	18	mino_greataxe_epic	8	40,100,20,20,100,30	1	[beast]	minotaur_ashen_warlord	adt_minotaur_warrior	1.1	"fury#3;duel#2"	patroller	enemy	M	0			"monster_deep_1;monster_deep_2;monster_deep_3"	
minotaur_underking	boss	warrior	21	21	mino_greataxe_epic_shock	8	40,140,50,50,140,80	1	[beast]	"mino_underking;consumables_16"	adt_minotaur_warrior	1.2	"fury#3;duel#3"	patroller	enemy	M	0		"ItemHide#barrier_stones;ItemWalkable#barrier_stones;SetVariable#mino_defeated,1"	"monster_deep_1;monster_deep_2;monster_deep_3"	
ursan	strong	warrior	9	11	bluesteel_greataxe	4	30,30,-20,-40,30,0	1	[beast]	ursan	ursan	0.9	"whirlwind#0,2;bash#0,2"	patroller	beasts	M	0			"monster_deep_1;monster_deep_2;monster_deep_3"	
ursan_shaman	strong	cleric	12	12	fire_shot2	3	30,30,-20,-40,30,0	1	[beast]	ursan2	ursan2	0.75	heal_wounds#2	patroller	beasts	M	0			monster_deep_2	
ursan_high_shaman	miniboss	cleric	14	14	fire_shot2	3	30,30,-20,-40,30,0	1	[beast]	ursan3	ursan2	1	heal_wounds#3	patroller	beasts	M	0			monster_deep_2	
korne_king	boss	warrior	23	23	fire_claw_22	8	80,80,20,-60,60,30	1	[beast]	"shards_boss_fixed;ursan_king;consumables_16"	ursan	1.2	"fury#3;duel#3"	patroller	beasts	M	0		setVariable#kingslayer,1	"monster_deep_1;monster_deep_2;monster_deep_3"	
mirmek_hatchling		warrior	1	3	iron_shortsword	1	0,0,0,0,-40,0	1.2	[beast]		adt_antilion	0.7		patroller	beasts	M	0			insect	
mirmek		warrior	3	5	iron_longsword	3	0,0,0,0,-40,0	1.15	[beast][shield]		adt_antilion	1		patroller	beasts	M	0			insect	
mirmek_fire		warrior	5	7	sword_flaming	4	30,-30,0,0,-40,0	1.1	[beast][shield]	antillion_warrior	adt_antilion_warrior	1.1		patroller	beasts	M	0			insect	
mirmek_queen		warrior	8	12	steel_greatsword	6	0,0,0,0,-40,0	1	[beast][shield]	"antillion_warrior;antillion_warrior"	adt_antilion	1.4		patroller	beasts	M	0			insect	
antilion		warrior	4	5	iron_shortsword	3	0,0,0,0,-40,0	1.15	[beast][shield]		adt_antilion	1		patroller	enemy	M	0			insect	
antilion_warrior		warrior	5	7	iron_longsword	4	0,0,0,0,-40,0	1.15	[beast][shield]	antillion_warrior	adt_antilion_warrior	1		patroller	enemy	M	0			insect	
skeleton		warrior	3	5	iron_longsword	2	0,0,0,300,180,0	0.9	[undead][shield]	skeleton	skeleton_weak	1		patroller	enemy	M	0			"skeleton1;skeleton2;skeleton3"	
skeleton_warrior		warrior	6	8	ice_shortsword	4	0,0,0,300,180,0	0.9	[undead][shield]	skeleton_warrior	adt_skeleton	1	bash#1	patroller	enemy	M	0			"skeleton1;skeleton2;skeleton3"	
skeleton_archer		rogue	6	8	frost_bow	2	0,0,0,300,180,0	0.9	[undead]	skeleton_archer	skeleton_archer	1	archery#2	patroller	enemy	M	0			"skeleton1;skeleton2;skeleton3"	
skeleton_evoker		cleric	7	9	death_ray	1	0,0,0,300,180,0	0.9	[undead]	skeleton_evoker	skeleton_mage	1	heal_wounds#2	patroller	enemy	M	0			"skeleton1;skeleton2;skeleton3"	
skeleton_champion	strong	warrior	10	11	sword_ice_2	6	0,0,0,300,180,0	1	[undead][shield]	skeleton_champion	adt_skeleton	1	"duel#2;resilience#2"	patroller	enemy	M	0			"skeleton1;skeleton2;skeleton3"	
skeleton_hero	strong	warrior	13	14	sword_ice_3	6	0,0,0,300,180,0	1	[undead][shield]	skeleton_hero	skeleton_knight	1	flurry#0,2	patroller	enemy	M	0			"skeleton1;skeleton2;skeleton3"	
skeleton_dragoon	strong	cleric	13	13	axe_magma	4	300,-100,0,300,180,0	1	[undead][shield]	fire_imp	adt_skeleton_red	1	arbenos_might#2	patroller	enemy	M	0			"skeleton1;skeleton2;skeleton3"	
zombie		warrior	2	3	iron_dagger	2	-25,0,0,100,50,0	0.9	[undead]	zombie	adt_zombie	1		patroller	enemy	M	0			"zombie1;zombie2;zombie3"	
desert_mummy		warrior	5	7	toxic_bite	4	"""-50,0,0,150,150,0"""	0.9	[undead]	undead_2	adt_zombie	1		patroller	enemy	M	0			"zombie1;zombie2;zombie3"	
ancient_mummy	strong	warrior	8	10	toxic_bite	5	"""-20,40,40,150,300,0"""	0.9	[undead][toxic_aura]	undead_2	adt_zombie	1		patroller	enemy	M	0			"zombie1;zombie2;zombie3"	
ghost	weak	rogue	4	6	ghost_touch	15	-25,-25,-40,100,100,0	1.05	[undead][ghost][detector]		ghost	1		patroller	enemy	M	0			skeleton2	
ghost_initiate	strong	rogue	5	7	ghost_touch	15	-25,-25,-40,100,100,0	1.05	[undead][ghost]	quest_g9_initiate	ghost	1		patroller	enemy	M	0			skeleton2	
wraith		warrior	8	9	wraith_touch	18	"""-20,-20,-30,100,100,0"""	1.05	[undead][ghost][detector]		ghost	1		patroller	enemy	M	0			skeleton2	
vengeful_wraith	miniboss	rogue	9	11	wraith_touch	20	"""-25,-25,-40,100,100,0"""	1.05	[undead][ghost][detector]		ghost	1		patroller	enemy	M	0			skeleton2	
death_knight	strong	warrior	13	15	death_knight	13	"""-50,-50,-80,100,100,0"""	1	[undead][ghost][detector]	death_knight	death_knight	1		patroller	enemy	M	0			skeleton3	
morfados	strong	warrior	13	13	greataxe_death_3	15	"""-50,-50,-80,100,100,0"""	1	[undead][ghost][detector]		death_knight	1.1	"duel#2;resilience#3"	patroller	enemy	M	0		StartConversation#morfados,morfados_defeated	skeleton3	
D11_abbot	boss	warrior	20	20	death_ray_epic	13	"""100,0,-180,100,100,0"""	1	[undead][detector]	abbot	skeleton_mage_high	1		patroller	neutral	M	0		"SetVariable#cursed_abbey,90;SetVariable#curse_foga_lifted,1"	skeleton3	
nightwalker_lord	boss	warrior	14	17	nightwalker_touch	25	-25,-25,-40,100,100,0	1.05	[undead][ghost]		ghost	1.4		patroller	enemy	M	0			skeleton3	
demon_fire		warrior	7	12	goblin_firedancer_elite	2	200,-50,0,0,0,0	1	[outsider][fire_elemental]	fire_imp	adt_imp	1.3		patroller	enemy	M	0			monster_deep_3	
zeghast	miniboss	cleric	7	12	goblin_firedancer_elite	6	200,-50,0,0,0,0	1	[outsider][detector][fire_elemental]	zeghast	adt_imp	1.3	arbenos_might#2	patroller	enemy	M	0				
imp_fire	weak	warrior	4	7	fire_shot	2	200,-50,0,0,0,0	1	[outsider][fire_elemental]	fire_imp	adt_imp	0.9		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
imp_fire_priest	weak	warrior	8	8	fire_shot	2	200,-50,0,0,0,0	1	[outsider][fire_elemental]	fire_imp	adt_imp	0.9	heal_wounds#2	patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
imp_ice	weak	warrior	5	8	ice_shot	3	-50,200,0,0,0,0	1	[outsider][ice_elemental]	ice_imp	adt_icylon	0.9		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
ice_demon		warrior	11	11	ice_blast	4	-50,200,0,0,0,0	1	[outsider][ice_elemental]	ice_demon	adt_icylon	1		patroller	enemy	M	0				
imp_shock	weak	warrior	6	9	lightning	2	"""-25,-25,200,0,100,0"""	1	[outsider][shock_elemental]	shock_imp	adt_sparkling	0.9		patroller	enemy	M	0			"goblin-7;goblin-11;goblin-13"	
villager_female_blue	weak	warrior	1	1	iron_dagger	0		1			female_blue	1		civilian	neutral	F	0				
villager_female_red	weak	warrior	1	1	iron_dagger	0		1			female_red	1		civilian	neutral	F	0				
villager_female_purple	weak	warrior	1	1	iron_dagger	0		1			female_purple	1		civilian	neutral	F	0				
villager_male_blue	weak	warrior	1	1	iron_dagger	0		1			male_blue	1		civilian	neutral	M	0				
villager_male_green	weak	warrior	1	1	iron_dagger	0		1			male_green	1		civilian	neutral	M	0				
villager_male_black	weak	warrior	1	1	iron_dagger	0		1			male_black	1		civilian	neutral	M	0				
villager_male_red	weak	warrior	1	1	iron_dagger	0		1			male_red	1		civilian	neutral	M	0				
villager_female_white	weak	warrior	1	1	iron_dagger	0		1			female_white	1		civilian	neutral	F	0				
slave_male		warrior	1	3	iron_dagger	0		1			male_slave	1		civilian	neutral	M	0				
slave_female		warrior	1	3	iron_dagger	0		1			female_slave	1		civilian	neutral	F	0				
fugitive_slave_male		warrior	1	3	iron_dagger	0		1			male_slave	1		patroller	enemy	M	0				
fugitive_slave_female		warrior	1	3	iron_dagger	0		1			female_slave	1		patroller	enemy	F	0				
slave_var_male		warrior	1	3	iron_dagger	0		1			male_var	1.1		civilian	neutral	M	0				
slave_var_female		warrior	1	3	iron_dagger	0		1			female_var	1.1		civilian	neutral	F	0				
human_soldier	strong	warrior	6	15	bluesteel_longsword	15		1	[shield]		male_leather	1		patroller	player	M	10				
human_archer	strong	rogue	6	15	long_bow	15		1			male_archer	1		patroller	player	M	10				
human_captain	strong	warrior	9	20	bluesteel_longsword	15		1	[shield]	knight	male_mail	1		patroller	player	M	10				
mist_hunter	strong	rogue	12	15	long_bow_shock	15		1			male_archer	1		patroller	player	M	10				
human_captain_female	strong	warrior	6	20	bluesteel_longsword	15		1	[shield]	knight	female_mail	1		patroller	player	F	10				
mercian_legionnaire_female	strong	warrior	12	15	bluesteel_longsword	11		1	[shield]	knight	female_knight	1	"bash#2;resilience#1;flurry#1"	patroller	player	F	10				
mercian_legionnaire_male	strong	warrior	12	15	bluesteel_longsword	11		1	[shield]	knight	male_knight	1	"bash#2;resilience#1;flurry#1"	patroller	player	M	10				
mercian_legionnaire_female_weak		warrior	6	8	steel_longsword	6		1	[shield]		female_knight	1		patroller	player	F	10				
human_soldier_female	strong	warrior	7	12	bluesteel_longsword	15		1	[shield]		female_leather	1		patroller	player	F	10				
human_sergeant_male	strong	warrior	8	15	bluesteel_longsword	15		1	[shield]		male_mail	1		patroller	player	M	10				
human_sergeant_female	strong	warrior	8	15	bluesteel_longsword	15		1	[shield]		female_mail	1		patroller	player	F	10				
varannari_leader	miniboss	warrior	6	10	steel_longsword	7		1	[shield]		male_var_leader	1.1		patroller	player	M	0				
varannari_male	human	warrior	5	6	steel_longsword	3		1			male_var_warrior	1.1		patroller	player	M	0				
varannari_female	human	warrior	5	6	steel_longsword	3		1			female_var_warrior	1.1		patroller	player	F	0				
varannari_rebel		warrior	6	8	steel_longsword	5		1			male_var_warrior	1.1		patroller	player	M	0				
varannari_hostile_rebel		warrior	5	8	steel_longsword	3		1			male_var_warrior	1.1		patroller	enemy	M	0				
bandit_male		rogue	3	4	iron_dagger	1		1		bandit_3	male_black_ssword	1		patroller	bandits	M	0				
bandit_ranged	weak	rogue	4	5	thrown_knife	1		1		bandit_3	male_black_ssword	1		patroller	bandits	M	0				
bandit_female_elite		rogue	5	7	bluesteel_shortsword	2		1		bandit_5	female_purple_ssword	1	stab#0,1	patroller	bandits	F	0				
