spawn_ID	name	name_ES	russian	PT	DE	PL	CZ	TR	IT	FR
orc_cook	Orc Cook	Cocinero Orco	Орк-повар	Orc Cozinheiro	Ork-Koch	Ork kucharz	Orcký kuchař	Ork Aşçı	Orco Cuoco	
orc_king	Orc King	Rey Orco	Король Орков	Rei Orc	Ork-König	Król orków	Orcký král	Ork Kralı	Re Orco	
troll	Troll	Troll	Тролль	Troll	Troll	Troll	Trol	Trol	Troll	
elder_troll	Elder Troll	Troll Anciano	Старый Тролль	Troll Ancião	Alter Troll	Starszy troll	Starší trol	Yaşlı Trol	Troll Anziano	
troll_shaman	Troll Shaman	Troll Chamán	Тролль-шаман	Troll Xamã	Troll-Schamane	Troll szaman	Trol šaman	Trol Şaman	Troll Sciamano	
enraged_troll	Enraged Troll	Troll Enfurecido	Буйный Тролль	Troll Enfurecido	Wütender Troll	Rozjuszony troll	Rozzuřený trol	Azgın Trol	Troll Furioso	
troll_king	Troll King	Rey Troll	Король Троллей	Rei Troll	Troll-König	Król trolli	Král trolů	Trol Kralı	Re Troll	
king_gurguth	King Gurguth	Rey Gurguth	Король Гургутх	Rei Gurguth	König Gurguth	Król Gurguth	Kral Gurguth	Kral Gurguth	Re Gurguth	
minotaur	Minotaur	Minotauro	Минотавр	Minotauro	Minotaurus	Minotaur	Minotaur	Minotor	Minotauro	
minotaur_lord	Minotaur Lord	Minotauro noble	Минотавр-Лорд	Minotauro Lorde	Minotaurus-Meister	Minotaur królewski	Minotaurský pán	Minotor Lordu	Minotauro Nobile	
minotaur_oracle	Minotaur Oracle	Oráculo Minotauro	Минотавр-Оракул	Minotauro Oráculo	Minotaurus-Orakel	Minotaur prorok	Minotaurský věštec	Minotor Kahin	Minotauro Oracolo	
enraged_minotaur_ng	Enraged Minotaur	Minotauro Furioso	Разъяренный Минотавр	Minotauro Enfurecido	Wütender Minotaurus	Rozjuszony minotaur	Rozzuřený minotaur	Azgın Minotor	Minotauro Furioso	
mino_raider	Minotaur Raider	Minotauro Asaltante	Минотавр-налётчик	Minotauro Atacante	Minotaurus-Plünderer	Minotaur najeźdźca	Minotaurský najezdník	Minotor Yağmacı	Minotauro Assaltatore	
mino_raider_oracle	Minotaur Oracle	Oráculo Minotauro	Минотавр-Оракул	Minotauro Oráculo	Minotaurus-Orakel	Minotaur prorok	Minotaurský věštec	Minotor Kahin	Minotauro Oracolo	
ursan	Ursan	Ursan	Урсан	Ursan	Ursan	Ursan	Ursan	Ursan	Ursan	
mirmek_hatchling	Mirmek Hatchling	Cría de Mirmek	Мирмек-Личинка	Filhote de Mirmek	Junger Mirmek	Larwa mirmeka	Mirmecká nymfa	Yavru Mirmek	Nido di Mirmek	
mirmek	Mirmek	Mirmek	Мирмек	Mirmek	Mirmek	Mirmek	Mirmek	Mirmek	Mirmek	
mirmek_fire	Fire Mirmek	Mirmek de fuego	Огненный Мирмек	Mirmek de Fogo	Feuermirmek	Ognisty mirmek	Ohnivý mirmek	Ateş Mirmeği	Mirmek di Fuoco	
mirmek_queen	Mirmek Queen	Reina Mirmek	Королева Мирмек	Rainha Mirmek	Mirmek-Königin	Królowa mirmeków	Mirmecká královna	Kraliçe Mirmek	Regina Mirmek	
antilion	Gig-ant	Antlion	Левмурий	Antlion	Riesenameise	Mrówkolew	Mravkolev	Antlion	Antlion	
antilion_warrior	Antillion Warrior	Guerrero Antlion	Левмурий Воин	Guerreiro Antlion	Riesenameisen-Krieger	Mrówkolew wojownik	Válečník Mravkolvů	Savaşçı Antlion	Antlion Guerriero	
skeleton	Skeleton	Esqueleto	Скелет	Esqueleto	Skelett	Szkielet	Kostlivec	İskelet	Scheletro	
skeleton_warrior	Skeleton	Esqueleto	Скелет	Esqueleto	Skelett-Krieger	Szkielet	Kostlivec válečník	İskelet	Scheletro	
skeleton_archer	Skeletal Archer	Esqueleto Arquero	Скелет Лучника	Esqueleto Arqueiro	Skelett-Bogenschütze	Szkielet łucznik	Kostlivec lučištník	İskelet Okçu	Scheletro Arciere	
skeleton_evoker	Skeletal Evoker	Esqueleto Evocador	Помнящий Битву	Esqueleto Invocador	Skelett-Beschwörer	Szkielet przywoływacz	Kostlivec vzývač	İskelet Füsunkar	Scheletro Evocatore	
skeleton_champion	Skeletal Champion	Campeón Esqueleto	Скелет Рыцаря	Esqueleto Campeão	Skelett-Meister	Szkielet czempion	Kostlivec šampión	İskelet Şampiyon	Scheletro Campione	
skeleton_hero	Fallen Hero	Héroe Caido	Павший Герой	Herói Caído	Gefallener Held	Szkielet bohater	Padlý hrdina	Düşmüş Kahraman	Eroe Caduto	
skeleton_dragoon	Fallen Dragoon	Caballero Dragon Caido	Павший Драгун	Dragão Caído	Gefallener Dragoner	Szkielet dragon	Padlý dragoun	Düşmüş Dragoon	Dragone Caduto	
zombie	Zombie	Zombie	Зомби	Zumbi	Zombie	Zombi	Zombie	Zombi	Zombie	
desert_mummy	Mummy	Momia	Мумия	Múmia	Mumie	Mumia	Mumie	Mumya	Mummia	
ancient_mummy	Ancient Mummy	Momia Anciana	Древняя Мумия	Múmia Ancestral	Antike Mumie	Starożytna mumia	Prastará mumie	Kadim Mumya	Mummia Antica	
ghost	Ghost	Fantasma	Привидение	Fantasma	Geist	Duch	Duch	Hayalet	Fantasma	
ghost_initiate	Glaydan's Ghost	Fantasma de Glaydan	Дух Глэйдана	Fantasma de Glaydan	Glaydans Geist	Duch Glaydana	Glaydanův duch	Glaydan'ın Hayaleti	Fantasma di Glaydan	
wraith	Wraith	Espectro	Призрак	Espectro	Gespenst	Upiór	Přízrak	Ruh	Wraith	
vengeful_wraith	Vengeful Wraith	Espectro de Venganza	Мстительный Дух	Espectro Vingativo	Rachsüchtiges Gespenst	Upiór zemsty	Pomstichtivý přízrak	Kindar Ruh	Wraith Vendicatore	
death_knight	Death Knight	Caballero Espectral	Мёртвый Рыцарь	Cavaleiro da Morte	Todesritter	Rycerz śmierci	Nemrtvý rytíř	Ölü Şövalye	Cavaliere Spettrale	
morfados	Sir Morfados	Caballero Espectral	Сэр Морфадос	Sir Morfados	Sir Morfados	Sir Morfados	Pán Morfados	Efendi Morfados	Sir Morfados	
D11_abbot	The Abbot	El Abad	Аббат	O Abade	Der Abt	Opat	Opat	Başrahip	L'Abate	
nightwalker_lord	Nightwalker Lord	Caminante Nocturno	Восставший Лорд	Caminhante Noturno	Herr der Nachtwanderer	Władca Nocnych Wędrowców	Pan nočních chodců	Geceyürüyen Lordu	Signore Viandante Notturno	
demon_fire	Demon	Demonio de Fuego	Демон	Demônio	Dämon	Ognisty demon	Démon	İblis	Demone di Fuoco	
zeghast	Zeghast	Zeghast	Зегаст	Zeghast	Zeghast	Zeghast	Zeghast	Zeghast	Zeghast	
imp_fire	Imp	Imp	Бес	Diabrete de Fogo	Teufelchen	Imp	Skřítek	İmp	Imp	
imp_fire_priest	Flame Priest	Sacerdote de la Llama	Жрец Пламени	Sacerdote das Chamas	Flammenpriester	Ognisty kapłan	Plamený kněz	Alev Rahibi	Sacerdote delle Fiamme	
imp_ice	Icylon	Icylon	Бесольд	Diabrete de Gelo	Icylon	Lodon	Icylon	Icylon	Icylon	
imp_shock	Sparkling	Sparkling	Искрот	Diabrete de Choque	Sparkling	Iskrzec	Sparkling	Sparkling	Scintillante	
villager_female_blue	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	
villager_female_red	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	
villager_female_purple	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	
villager_male_blue	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	
villager_male_green	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	
villager_male_black	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	
villager_male_red	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	
villager_female_white	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	
slave_male	Slave	Esclavo	Раб	Escravo	Sklave	Niewolnik	Otrok	Köle	Schiavo	
slave_female	Slave	Esclavo	Рабыня	Escrava	Sklave	Niewolnica	Otrokyně	Köle	Schiava	
fugitive_slave_male	Slave	Esclavo	Раб	Escravo	Sklave	Niewolnik	Uprchlý otrok	Köle	Schiavo	
fugitive_slave_female	Slave	Esclavo	Рабыня	Escrava	Sklave	Niewolnica	Uprchlá otrokyně	Köle	Schiava	
slave_var_male	Slave	Esclavo	Раб	Escravo	Sklave	Niewolnik	Otok	Köle	Schiavo	
slave_var_female	Slave	Esclavo	Рабыня	Escrava	Sklave	Niewolnica	Otrokyně	Köle	Schiava	
human_soldier	Soldier	Soldado	Солдат	Soldado	Soldat	Żołnierz	Voják	Asker	Soldato	
human_archer	Archer	Arquero	Лучник	Arqueiro	Bogenschütze	Łucznik	Lučištník	Okçu	Arciere	
human_captain	Captain	Capitán	Капитан	Capitão	Hauptmann	Kapitan	Kapitán	Kumandan	Capitano	
mist_hunter	Mist Hunter	Cazador de Nieblas	Охотник Туманов	Caçador da Névoa	Nebeljäger	Łowca mgieł	Mlžný lovec	Pus Avcısı	Cacciatore di Nebbia	
human_captain_female	Captain	Capitán	Капитан	Capitã	Hauptmann	Kapitan	Kapitánka	Kumandan	Capitano	
mercian_legionnaire_female	Legionnaire	Legionario	Легионер	Legionária	Legionär	Legionistka	Legionářka	Lejyoner	Legionario	
mercian_legionnaire_male	Legionnaire	Legionario	Легионер	Legionário	Legionär	Legionistka	Legionářka	Lejyoner	Legionario	
mercian_legionnaire_female_weak	Legionnaire	Legionario	Легионер	Legionária	Legionär	Legionistka	Legionářka	Lejyoner	Legionario	
human_soldier_female	Soldier	Soldado	Солдат	Soldada	Soldat	Żołnierz	Vojačka	Asker	Soldato	
human_sergeant_male	Sergeant	Sargento	Сержант	Sargento	Sergeant	Sierżant	Seržant	Subay	Sergente	
human_sergeant_female	Sergeant	Sargento	Сержант	Sargento	Sergeant	Sierżant	Seržantka	Subay	Sergente	
varannari_leader	Varannari Huntmaster	Cazador Varannari	Вараннари-мастер охоты	Líder Varannari	Varannari-Jagdmeister	Łowczy Varannari	Varannarský lovec	Varannari Avbaşı	Leader Varannari	
varannari_male	Varannari Hunter	Cazador Varannari	Вараннари-охотник	Caçador Varannari	Varannari-Jäger	Łowca Varannari	Varannarský lovec	Varannari Avcı	Cacciatore Varannari	
varannari_female	Varannari Hunter	Cazador Varannari	Вараннари-охотница	Caçadora Varannari	Varannari-Jäger	Łowczyni Varannari	Varannarská lovkyně	Varannari Avcı	Cacciatrice Varannari	
varannari_rebel	Varannari Hunter	Cazador Varannari	Вараннари-охотник	Caçador Varannari	Varannari-Jäger	Łowca Varannari	Varanarský lovec	Varannari Avcı	Cacciatore Varannari	
varannari_hostile_rebel	Varannari Hunter	Cazador Varannari	Вараннари-охотник	Caçador Varannari	Varannari-Jäger	Łowca Varannari	Varanarský lovec	Varannari Avcı	Cacciatore Varannari	
bandit_male	Bandit	Bandido	Бандит	Bandido	Bandit	Bandyta	Loupežník	Haydut	Bandito	
bandit_ranged	Bandit	Bandido	Бандит	Bandido	Bandit	Bandyta	Loupežník	Haydut	Bandito	
bandit_female_elite	Elite Bandit	Bandido Élite	Крутая Бандитка	Bandida de Elite	Elitebandit	Elitarna bandytka	Elitní loupežnice	Seçkin Haydut	Bandito Elite	
bandit_male_elite	Elite Bandit	Bandido Élite	Крутой Бандит	Bandido de Elite	Elitebandit	Elitarny bandyta	Elitní loupežníce	Seçkin Haydut	Bandito Elite	
bandit_male_assasin	Assasin	Asesino	Убийца	Assassino	Assassine	Zabójca	Vrah	Suikastçi	Assassino	
outlaw	Outlaw	Asaltante	Разбойник	Fora da Lei	Geächteter	Banita	Psanec	Kanunsuz	Fuorilegge	
outlaw_archer	Outlaw	Asaltante	Разбойник	Fora da Lei	Geächteter	Banita łucznik	Psanec lučištník	Kanunsuz	Fuorilegge	
outlaw_chief	Outlaw Chief	Jefe de Bandidos	Главарь Разбойников	Chefe Fora da Lei	Anführer der Geächteten	Szef banitów	Vůdce psanců	Kanunsuz Şefi	Capo dei Fuorilegge	
outlaw_archer_elite	Elite Archer	Arquero élite	Отличный Лучник	Arqueiro de Elite	Elitebogenschütze	Elitarny łucznik	Elitní lučištník	Seçkin Okçu	Arciere Elite	
outlaw_king	Bandit King	Rey de los Bandidos	Король Бандитов	Rei dos Bandidos	König der Geächteten	Król bandytów	Král loupežníků	Haydut Kralı	Re dei Banditi	
male_nightblade	Nightblade	Cuchillo Nocturno	Ночной Клинок	Faca Noturna	Schattenklinge	Ostrze Nocy	Břitva noci	Zifir Kılıç	Lama della Notte	
female_nightblade	Nightblade	Cuchillo Nocturno	Ночной Клинок	Faca Noturna	Schattenklinge	Ostrze Nocy	Břitva noci	Zifir Kılıç	Lama della Notte	
cultist_male	Cultist	Cultista	Культист	Cultista	Kultist	Kultysta	Sektář	Tarikatçı	Cultista	
adventurer_1	RANDOM				RANDOM		Dobrodruh			
adventurer_2	RANDOM				RANDOM		Dobrodruh			
adventurer_3	RANDOM				RANDOM		Dobrodruh			
adventurer_4	RANDOM				RANDOM		Dobrodruh			
cultist_leader_ng	Forsaken Leader	Jefe de los Olvidados	Лидер Забытых	Chefe dos Exilados	Anführer der Vergessenen	Przywódca Zapomnianych	Vůdce zatracených	Terkedilmiş Lideri	Capo dei Dimenticati	
horton	Horton	Horton	Хортон	Horton	Horton	Horton	Horton	Horton	Horton	
horton_thug	Horton's friend	amigo de Horton	Дружбан Хортона	Amigo do Horton	Hortons Freund	Przyjaciel Hortona	Hortnův kumpán	Horton'un Dostu	Amico di Horton	
erhar	Erhar	Erhar	Эрхар	Erhar	Erhar	Erhar	Erhar	Erhar	Erhar	
erhar_hostile	Erhar	Erhar	Эрхар	Erhar	Erhar	Erhar	Erhar	Erhar	Erhar	
necromancer_lord	Necromancer	Nigromante	Некромант	Necromante	Totenbeschwörer	Nekromanta	Nekromancer	Ölüm büyücüsü	Negromante	
necromancer_D9	Necromancer	Nigromante	Некромант	Necromante	Totenbeschwörer	Nekromanta	Nekromancer	Ölüm büyücüsü	Negromante	
conjurer_14	Conjurer	Conjurador	Заклинатель	Conjurador	Zauberer	Czarownik	Kouzelník	Efsuncu	Mago	
riella	Riella	Riella	Риэлла	Riella	Riella	Riella	Riella	Riella	Riella	
fast_foot	Varannari Huntmaster	Cazador Varannari	Вараннари Мастер Охоты	Caçador Varannari	Varannari-Jagdmeister	Łowczy Varannari	Varannarský mistr lovec	Varannari Avbaşı	Cacciatore Varannari	
adaon_tutorial	Adaon	Adaon	Адаон	Adaon	Adaon	Adaon	Adaon	Adaon	Adaon	
grissenda	Grissenda	Grissenda	Гризенда	Grissenda	Grissenda	Grissenda	Grissenda	Grissenda	Grissenda	
adaon	Adaon	Adaon	Адаон	Adaon	Adaon	Adaon	Adaon	Adaon	Adaon	
hirge	Hirge	Hirge	Хирджи	Hirge	Hirge	Hirge	Hirge	Hirge	Hirge	
rodney	Rodney	Rodney	Родни	Rodney	Rodney	Rodney	Rodney	Rodney	Rodney	
liserpix	Liserpix	Liserpix	Лизерпикс	Liserpix	Liserpix	Liserpix	Liserpix	Liserpix	Liserpix	
niur	Niur	Niur	Ниур	Niur	Niur	Niur	Niur	Niur	Niur	
teram	Teram	Teram	Терам	Teram	Teram	Teram	Teram	Teram	Teram	
trix	Trix	Trix	Трикс	Trix	Trix	Trix	Trix	Trix	Trix	
female_priestess	Priestess	Clérigo	Священница	Sacerdotisa	Priesterin	Kapłanka	Kněžka	Rahibe	Sacerdote	
imp_greater	Imp Lord	Imp Mayor	Верховный Бес	Diabrete Lorde	Teufel	Większy imp	Pan škřítků	İmp Lordu	Signore Imp	
vigilant_knight	Vigilant Knight	Caballero Vigilante	Бродячий Рыцарь	Cavaleiro Vigilante	Wachsamer Ritter	Czarny rycerz	Neklidný rytíř	Cüretkar Şövalye	Cavaliere Vigilante	
mercenary	Mercenary	Mercenario	Наёмник	Mercenário	Söldner	Najemnik	Žoldák	Paralı Asker	Mercenario	
varaol	Varaol	Varaol	Вараол	Varaol	Varaol	Varaol	Varaol	Varaol	Varaol	
guild_mercenary	Mercenary	Mercenario	Наёмник	Mercenário	Söldner	Najemnik	Žoldák	Paralı Asker	Mercenario	
dumek	Sergeant Dumek	Sargento Dumek	Сержант Думек	Sargento Dumek	Sergeant Dumek	Sierżant Dumek	Seržant Dumek	Çavuş Dumek	Sergente Dumek	
orc_warlord_xurta	Warlord Xurta	Comandante Xurta	Военачальник Хурта	Comandante Xurta	Kriegsherr Xurta	Dowódca Xurta	Velitel Xurta	Kumandan Xurta	Comandante Xurta	
wyvern	Wyvern	Wyverna	Виверна	Wyvern	Wyver	Wiwerna	Wyvern	Ejder	Viverna	
tolassian_priest	tolassian Champion	Sacerdote Tolassian	Толассианский Священник	Sacerdote Tolassiano	Tolassianischer Priester	Tolassjański czempion	Tolassianský šampión	Tolassian Şampiyon	Sacerdote Tolassiano	
urcrymdrax	Urcrymdrax	Urcrymdrax	Уркримдракс	Urcrymdrax	Urcrymdrax	Urcrymdrax	Ucrymdrax	Urcrymdrax	Urcrymdrax	
faazvolfrul	Faazvolfrul	Faazvolfrul	Фаазволфрул	Faazvolfrul	Faazvolfrul	Faazvolfrul	Faazvolfrul	Faazvolfrul	Faazvolfrul	
wyvern_whelp	Wyvern whelp	Cría de Wyverna	Детёныш Виверны	Filhote de Wyvern	Junge Wyver	Młoda wiwerna	Wyvernské mládě	Ejder Yavrusu	Cucciolo di Viverna	
fire_drake	Fire Drake	Draco de Fuego	Огненный Драконид	Dragão do Fogo	Feuerdrache	Ognisty smok	Ohnivý drak	Ateş Ejderhası	Drago di Fuoco	
ice_drake	Ice Drake	Draco de Hielo	Ледяной Драконид	Dragão do Gelo	Eisdrache	Lodowy smok	Ledový drak	Buz Ejderhası	Drago dei Ghiacci	
janod	Janod	Janod	Дженод	Janod	Janod	Janod	Janod	Janod	Janod	
druid	Druid	Druida	Друид	Druida	Druide	Druid	Druid	Druid	Druido	
druid_rhoneis	Varannari Druid	Druida Varannari	Друид Вараннари	Druida Varannari	Varannari-Druide	Druid Varannari	Varannarský druid	Varannari Druid	Druido Varannari	
druid_bodyguard	Bodyguard	Guardaespaldas	Телохранитель	Guarda Costas	Leibwächter	Ochroniarz	Tělesný strážce	Koruma	Guardaspalle	
human_werewolf							Vlkodlak			
enraged_werewolf	Furious Werewolf	Hombre-Lobo Furioso	Разъярённый Оборотень	Lobisomem Furioso	Wütender Werwolf	Rozwścieczony wilkołak	Rozzuřený vlkodlak	Öfkeli Kurtadam	Licantropo Furioso	
bafrat	Bafrat	Bafrat	Бафрат	Bafrat	Bafrat	Bafrat	Bafrat	Bafrat	Bafrat	
centurion_kanum	Centurion	Centurión	Центурион	Centurião	Zenturio	Centurion	Centurión	Yüzbaşı	Centurione	
madman_sargos	A scarred vagabond	Vagabundo desfigurado	Изувеченный бродяга	Um vagabundo desfigurado	Vernarbter Vagabund	Bliznowaty włóczęga	Vystrašený vagabond	Korkmuş Bir Derbeder	Vagabondo sfigurato	
druid_tyogos	Tyogos	Tyogos	Тийогос	Tyogos	Tyogos	Tyogos	Tyogos	Tyogos	Tyogos	
bodyguard_surtag	Surtag	Surtag	Суртаг	Surtag	Surtag	Surtag	Surtag	Surtag	Surtag	
