Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	skill_req	trait_req	Skill name ES	description ES
					Gain +36 to resist fire	1						Gana +36 a resistir fuego
Ice Ward	P	N		N	You can endure elemental damage thanks to your training. Gain a permanent bonus to Cold resistance, which stacks with other bonuses.					END#2	Barrera: Fuego	Puedes resistir daño elemental gracias a tu entrenamiento. Gana una bonificación a tu resistencia a frío que se acumula con otros bonos.
					Gain +12 to resist cold	1						Gana +12 a resistir frío
					Gain +24 to resist cold	1						Gana +24 a resistir frío
					Gain +36 to resist cold	1						Gana +36 a resistir frío
Death Ward	P	N		N	You can endure death magic thanks to your training. Gain a permanent bonus to Death resistance, which stacks with other bonuses.					END#2	Barrera: Muerte	Puedes resistir daño de muerte gracias a tu entrenamiento. Gana una bonificación a tu resistencia a Muerte, que se acumula con otros bonos.
					Gain +12 to resist death	1						Gana +12 a resistir muerte
					Gain +24 to resist death	1						Gana +24 a resistir muerte
					Gain +36 to resist death	1						Gana +36 a resistir muerte
Toxic Ward	P	N		N	You can endure acid and poison thanks to your training. Gain a permanent bonus to Toxic resistance, which stacks with other bonuses.					END#2	Barrera: Tóxico	Puedes resistir venenos y ácidos gracias a tu entrenamiento. Gana una bonificación a tu resistencia tóxica que se acumula con otros bonos.
					Gain +12 to resist toxic	1						Gana +12 a resistencia tóxica
					Gain +24 to resist toxic	1						Gana +24 a resistencia tóxica
					Gain +36 to resist toxic	1						Gana +36 a resistencia tóxica
Battle Prayer	A	N	C	N	You bless your party members, summoned creatures and yourself for the next 12 seconds.				nivarias_barrier#2	PER#5	Oración de Batalla	Bendices a tu grupo y a tí mismo, ganando bonificaciones al daño durante los próximos 12 segundos.
					Gain +3 armor and +2 damage	1	12	6				Gana +3 armadura y +2 daño
					Gain +5 armor, +3 damage and +10 to all resistances	2	12	9				Gana +5 armadura, +3 daño y +10 a todas las resistencias
					Gain +8 armor, +5 damage and +25 to all resistances	3	12	12				Gana +8 armadura, +5 daño y +25 a todas las resistencias
Flames of Faith	A	N	C	N	In a 3m area around you enemies are burned with spiritual flames and allies healed. It lasts 6 seconds and has no effect on you.				sacred_fire#3		Llamas de la Fe	En un area de 3m alrededor de ti surgen llamas espirituales que queman a los enemigos y curan a los aliados. Duran 6 segundos y a tí no te afectan.
					Each second, flames heal allies for 5hp and burn enemies for 8 Spirit damage	1	30	15				Cada seg. las llamas curan 5hp a aliados y causan a enemigos daño Espiritual de 8
					Each second, flames heal allies for 8hp and burn enemies for 15 Spirit damage	2	30	25				Cada seg. las llamas curan 8hp a aliados y causan a enemigos daño Espiritual de 15
					Each second, flames heal allies for 10hp and burn enemies for 21 Spirit damage	3	30	35				Cada seg. las llamas curan 10hp a aliados y causan a enemigos daño Espiritual de 21
Smoke Bomb	P	N	R	N	You can use Stealth even if you are surrounded by enemies. Useful to escape, or to prepare a lethal backstab.				stealth#3		Bomba de humo	Puedes utilizar Sigilo incluso cuando estás rodeado de enemigos. Útil para huir o para preparar un golpe letal.
					Basic smoke bomb, use stealth in front of enemies	2						Bomba de humo básica, permite esconderse frente a enemigos
					Bomb has 35% chance to stun close enemies for 3 seconds	2						La bomba tiene un 35% de aturdir a enemigos cercanos durante 3s.
					Bomb has 50% chance to stun close enemies for 5 seconds	2						La bomba tiene un 50% de aturdir a enemigos cercanos durante 5s.
Body Development	P	N		N	Your intensive training results in higher maximum hit points					END#4	Desarrollo Físico	Tu intenso entrenamiento te otorga más puntos de vida
					Each points of Endurance grants you 1.5 hp/level (Normally it is 1 per level)	1						Cada punto de Resistencia te da 1.5 hp/nivel (normalmente da 1 hp)
					Each point of Strength grants you 1hp/level (double than normal)	2						Cada punto de Fuerza te da 1hp/nivel (doble de lo normal)
					Each point of Endurance grants you 2hp/level (double than normal)	3						Cada punto de Resistencia te da 2hp/nivel (doble de lo normal)
Infantry Training	P	N	W	N	You have been trained to survive in the battlefield, giving you an edge to parry and block when you wield both a shield and a hand weapon(not light).				shield_expert#3	PER#3	Entrenamiento de Infantería	Has sido entrenado para sobrevivir en el campo de batalla, obteniendo ventaja al parar y bloquear cuando usas un escudo y arma de mano (no ligera).
					Negate 35% of critical hits received, halve stun duration	2						Niega el 35% de los críticos recibidos, el tiempo aturdido se reduce a la mitad
					Negate 50% of critical hits, immune to stun, halve paralysis time	3						Niega el 65% de los críticos recibidos, inmune a aturdir y reduce el tiempo de parálisis a la mitad
