Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	skill_req	trait_req	Skill name ES	description ES
Evil Manifestation	A	N	M,C	N	You are capable of summoning an elemental from the Plane of Ice for 3 minutes. They're very resilient creatures. You can only keep one summoned creature at the same time and its level can never go above yours.						Maestría del Hielo	Puedes convocar un elemental del Plano del Hielo durante 3 minutos. Son criaturas muy resistentes. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Ice Elemental	1	10	0				Convoca a un elemental de Hielo de nivel 6
					Summon a level 10 Ice Elemental	2	14	0				Convoca a un elemental de Hielo de nivel 11
					Summon a level 13 Ice Elemental	3	5	0				Convoca a un elemental de Hielo de nivel 15
Sexual Mania	A	N	M,C	N	You are capable of summoning an elemental from the Plane of Ice for 3 minutes. They're very resilient creatures. You can only keep one summoned creature at the same time and its level can never go above yours.						Maestría del Hielo	Puedes convocar un elemental del Plano del Hielo durante 3 minutos. Son criaturas muy resistentes. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Ice Elemental	1	5	0				Convoca a un elemental de Hielo de nivel 6
					Summon a level 10 Ice Elemental	2	6	0				Convoca a un elemental de Hielo de nivel 11
					Summon a level 13 Ice Elemental	3	8	0				Convoca a un elemental de Hielo de nivel 15
Necromancy	A	N	M	N	With dark knowledge, you can summon a spirit to fight by your side. 					INT#3	Necromancia	Com conhecimento sombrio, você pode convocar um espírito para lutar ao seu lado.
					Summon a level 7 ghost for 3 minutes	1	10	10				Convoca a un ghost de nivel 7 durante 3 minutos
					Summon a level 10 ghost for 5 minutes	2	20	20				Convoca a un ghost de nivel 10 durante 5 minutos
					Summon a level 13 ghost for 5 minutes	2	30	30				Convoca a un ghost de nivel 13 durante 5 minutos
					Summon a level 16 ghost for 5 minutes	3	35	40				Convoca a un ghost de nivel 13 durante 5 minutos
