Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	bonus	bonus_condition	Skill name ES	description ES
Holy Shield	A	Y	C	N	Divine Power protects you from harm and from Death Magic.						Escudo Divino	El poder Divino te protege del daño físico y de la Magia de Muerte
					Gain +4 armor and +25 resistance vs Death, for 12 seconds	1	15	5				Gana +4 Armadura y +25 de resistencia a Muerte durante 12 segundos.
					Gain +6 armor and +40 resistance vs Death, for 12 seconds	2	15	5				Gana +6 Armadura y +40 de resistencia a Muerte durante 12 segundos.
					Gain +8 armor and +60 resistance vs Death, for 12 seconds	2	15	6				Gana +8 Armadura y +60 de resistencia a Muerte durante 12 segundos.
					Gain +10 armor and +80 resistance vs Death, for 12 seconds	2	15	6				Gana +10 Armadura y +70 de resistencia a Muerte durante 12 segundos.
Sacred Fire	A	N	C	N	A surge of purifying flames erupts 2 meters ahead of you, consuming your enemies. It deals extra damage to undead.						Fuego Sagrado	Una descarga de fuego purificador surge 2 metros frente a tí, calcinando a tus enemigos. Hace daño adicional a muertos vivientes.
					Flames deal 12 damage, and additional +8 damage to undead	1	8	3				Las llamas hacen un daño de 12, y +8 adicional a muertos vivientes.
					Flames deal 24 damage, and additional +12 damage to undead	2	6	6				Las llamas hacen un daño de 24, y +12 adicional a muertos vivientes.
					Flames deal 48 damage, and additional +20 damage to undead	2	3	9				Las llamas hacen un daño de 48, y +20 adicional a muertos vivientes.
Intervention	P	Y	C	N	In your hour of most need, the Gods intercede to save your life. When you are injured down to death, all your remaining mana is spent, and you are healed.						Intervención	En tu hora de más necesidad, los Dioses interceden para salvar tu vida. Cuando te hieran mortalmente, todo tu maná se gasta, y te curarás.
					You are healed for 2 HP for each mana point you had left	1						Te curas 2HP por cada punto de mana que te quedase
					You are healed for 4 HP for each mana point you had left	1						Te curas 4HP por cada punto de mana que te quedase
					You are healed for 8 HP for each mana point you had left	1						Te curas 8HP por cada punto de mana que te quedase
Arbenos' Might	A	Y	C	N	The power of Arbenos the Warrior envelopes you, in the form of sacred flames. You will do more damage, both normal and fire based. Double effect with 2H weapons.						Poder de Arbenos	El Poder de Arbenos el Guerrero te envuelve, en forma de llamas sagradas. Ganas un bonificador al daño, además de daño por fuego. Efecto doble con armas de 2 manos.
					You do +3 damage, and +4 fire damage, for 12 seconds.	1	20	2				Haces +3 daño, y +4 daño adicional por fuego, durante 12 segundos.
					You do +5 damage, and +4 fire damage, for 14 seconds.	2	20	4				Haces +5 daño, y +4 daño adicional por fuego, durante 14 segundos.
					You do +8 damage, and +4 fire damage, for 16 seconds.	3	20	7				Haces +8 daño, y +4 daño adicional por fuego, durante 16 segundos.
Crusader	P	Y	C	N	You have received training as a warrior priest. You know the most efficient ways to combat the undead, causing them Spirit Damage able to bypass armor.						Cruzado	Has recibido entrenamiento como sacerdote-guerrero, y conoces las mejores formas de combatir a los muertos-vivientes causándoles daño espiritual, capaz de sobrepasar su armadura.
					Your hits have a 2% stun chance. Against undead, +2 damage	1						Probabilidad de aturdir del 2%. Contra muertos vivientes, +2 al daño
					Your hits have a 4% stun chance. Against undead, +4 damage	2						Probabilidad de aturdir del 4%. Contra muertos vivientes, +4 al daño
					Your hits have a 5% stun chance. Against undead, +6 damage	3						Probabilidad de aturdir del 5%. Contra muertos vivientes, +6 al daño
Nivaria's Barrier	P	Y	C	N	The mystical power of Nivaria protects you permanently from harm. Particularly, that from the undead						Barrera de Nivaria	El poder místico de Nivaria te protege permanentemente, y especialmente de los muertos vivientes.
					gain +1 armor, an extra +1 vs undead attacks.	1						Ganas +1 armadura, y +1 extra contra muertos vivientes.
					gain +2 armor, an extra +2 vs undead attacks.	1						Ganas +2 armadura, y +2 extra contra muertos vivientes.
					gain +3 armor, an extra +3 vs undead attacks.	2						Ganas +3 armadura, y +3 extra contra muertos vivientes.
Thelume's Wisdom	A	N	C	N	You are inspired by the revelations of Thelume. You can detect hidden things and see through illusions.						Sabiduría de Thelume	Eres inspirado por las revelaciones de Thelume. Puedes detectar cosas ocultas, o ver a través de ilusiones.
					75% chance of detecting hidden items in a 10m radius. You'll also know about undiscovered doors in the area.	1	30	3				75% de descubrir objetos ocultos en un radio de 10m, y sabrás si aun hay puertas secretas en la zona.
					95% chance of detecting hidden items in a 20m radius. You'll also know about undiscovered doors in the area.	1	30	5				95% de descubrir objetos ocultos en un radio de 20m, y sabrás cuantas puertas secretas hay en la zona.