spawn_ID	name	name_ES	russian	PT	DE	PL	CZ	TR	IT	FR
enraged_minotaur_ng	Enraged Minotaur	Minotauro Furioso	Разъяренный Минотавр	Minotauro Enfurecido	Wütender Minotaurus	Rozjuszony minotaur	Rozzuřený minotaur	Azgın Minotor	Minotauro Furioso	Enraged Minotaur
mino_raider	Minotaur Raider	Minotauro Asaltante	Минотавр-налётчик	Minotauro Atacante	Minotaurus-Plünderer	Minotaur najeźdźca	Minotaurský najezdník	Minotor Yağmacı	Minotauro Assaltatore	Minotaur Raider
mino_raider_oracle	Minotaur Oracle	Oráculo Minotauro	Минотавр-Оракул	Minotauro Oráculo	Minotaurus-Orakel	Minotaur prorok	Minotaurský věštec	Minotor Kahin	Minotauro Oracolo	Minotaur Oracle
ursan	Ursan	Ursan	Урсан	Ursan	Ursan	Ursan	Ursan	Ursan	Ursan	Ursan
mirmek_hatchling	Mirmek Hatchling	Cría de Mirmek	Мирмек-Личинка	Filhote de Mirmek	Junger Mirmek	Larwa mirmeka	Mirmecká nymfa	Yavru Mirmek	Nido di Mirmek	Mirmek Hatchling
mirmek	Mirmek	Mirmek	Мирмек	Mirmek	Mirmek	Mirmek	Mirmek	Mirmek	Mirmek	Mirmek
mirmek_fire	Fire Mirmek	Mirmek de fuego	Огненный Мирмек	Mirmek de Fogo	Feuermirmek	Ognisty mirmek	Ohnivý mirmek	Ateş Mirmeği	Mirmek di Fuoco	Fire Mirmek
mirmek_queen	Mirmek Queen	Reina Mirmek	Королева Мирмек	Rainha Mirmek	Mirmek-Königin	Królowa mirmeków	Mirmecká královna	Kraliçe Mirmek	Regina Mirmek	Mirmek Queen
antilion	Gig-ant	Antlion	Левмурий	Antlion	Riesenameise	Mrówkolew	Mravkolev	Antlion	Antlion	Gig-ant
antilion_warrior	Antillion Warrior	Guerrero Antlion	Левмурий Воин	Guerreiro Antlion	Riesenameisen-Krieger	Mrówkolew wojownik	Válečník Mravkolvů	Savaşçı Antlion	Antlion Guerriero	Antillion Warrior
skeleton	Skeleton	Esqueleto	Скелет	Esqueleto	Skelett	Szkielet	Kostlivec	İskelet	Scheletro	Squelette
skeleton_warrior	Skeleton	Esqueleto	Скелет	Esqueleto	Skelett-Krieger	Szkielet	Kostlivec válečník	İskelet	Scheletro	Squelette
skeleton_archer	Skeletal Archer	Esqueleto Arquero	Скелет Лучника	Esqueleto Arqueiro	Skelett-Bogenschütze	Szkielet łucznik	Kostlivec lučištník	İskelet Okçu	Scheletro Arciere	Skeletal Archer
skeleton_evoker	Skeletal Evoker	Esqueleto Evocador	Помнящий Битву	Esqueleto Invocador	Skelett-Beschwörer	Szkielet przywoływacz	Kostlivec vzývač	İskelet Füsunkar	Scheletro Evocatore	Skeletal Evoker
skeleton_champion	Skeletal Champion	Campeón Esqueleto	Скелет Рыцаря	Esqueleto Campeão	Skelett-Meister	Szkielet czempion	Kostlivec šampión	İskelet Şampiyon	Scheletro Campione	Skeletal Champion
skeleton_hero	Fallen Hero	Héroe Caido	Павший Герой	Herói Caído	Gefallener Held	Szkielet bohater	Padlý hrdina	Düşmüş Kahraman	Eroe Caduto	Fallen Hero
skeleton_dragoon	Fallen Dragoon	Caballero Dragon Caido	Павший Драгун	Dragão Caído	Gefallener Dragoner	Szkielet dragon	Padlý dragoun	Düşmüş Dragoon	Dragone Caduto	Fallen Dragoon
zombie	Zombie	Zombie	Зомби	Zumbi	Zombie	Zombi	Zombie	Zombi	Zombie	Zombie
desert_mummy	Mummy	Momia	Мумия	Múmia	Mumie	Mumia	Mumie	Mumya	Mummia	Mummy
ancient_mummy	Ancient Mummy	Momia Anciana	Древняя Мумия	Múmia Ancestral	Antike Mumie	Starożytna mumia	Prastará mumie	Kadim Mumya	Mummia Antica	Ancient Mummy
ghost	Ghost	Fantasma	Привидение	Fantasma	Geist	Duch	Duch	Hayalet	Fantasma	Fantôme
ghost_initiate	Glaydan's Ghost	Fantasma de Glaydan	Дух Глэйдана	Fantasma de Glaydan	Glaydans Geist	Duch Glaydana	Glaydanův duch	Glaydan'ın Hayaleti	Fantasma di Glaydan	Glaydan's Ghost
wraith	Wraith	Espectro	Призрак	Espectro	Gespenst	Upiór	Přízrak	Ruh	Wraith	Wraith
vengeful_wraith	Vengeful Wraith	Espectro de Venganza	Мстительный Дух	Espectro Vingativo	Rachsüchtiges Gespenst	Upiór zemsty	Pomstichtivý přízrak	Kindar Ruh	Wraith Vendicatore	Vengeful Wraith
death_knight	Death Knight	Caballero Espectral	Мёртвый Рыцарь	Cavaleiro da Morte	Todesritter	Rycerz śmierci	Nemrtvý rytíř	Ölü Şövalye	Cavaliere Spettrale	Death Knight
morfados	Sir Morfados	Caballero Espectral	Сэр Морфадос	Sir Morfados	Sir Morfados	Sir Morfados	Pán Morfados	Efendi Morfados	Sir Morfados	Sir Morfados
D11_abbot	The Abbot	El Abad	Аббат	O Abade	Der Abt	Opat	Opat	Başrahip	L'Abate	The Abbot
nightwalker_lord	Nightwalker Lord	Caminante Nocturno	Восставший Лорд	Caminhante Noturno	Herr der Nachtwanderer	Władca Nocnych Wędrowców	Pan nočních chodců	Geceyürüyen Lordu	Signore Viandante Notturno	Nightwalker Lord
demon_fire	Demon	Demonio de Fuego	Демон	Demônio	Dämon	Ognisty demon	Démon	İblis	Demone di Fuoco	Démon
zeghast	Zeghast	Zeghast	Зегаст	Zeghast	Zeghast	Zeghast	Zeghast	Zeghast	Zeghast	Zeghast
imp_fire	Imp	Imp	Бес	Diabrete de Fogo	Teufelchen	Imp	Skřítek	İmp	Imp	Imp
imp_fire_priest	Flame Priest	Sacerdote de la Llama	Жрец Пламени	Sacerdote das Chamas	Flammenpriester	Ognisty kapłan	Plamený kněz	Alev Rahibi	Sacerdote delle Fiamme	Flame Priest
imp_ice	Icylon	Icylon	Бесольд	Diabrete de Gelo	Icylon	Lodon	Icylon	Icylon	Icylon	Icylon
imp_shock	Sparkling	Sparkling	Искрот	Diabrete de Choque	Sparkling	Iskrzec	Sparkling	Sparkling	Scintillante	Sparkling
villager_female_blue	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	Villager
villager_female_red	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	Villager
villager_female_purple	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	Villager
villager_male_blue	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	Villager
villager_male_green	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	Villager
villager_male_black	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	Villager
villager_male_red	Villager	Aldeano	Селянин	Aldeão	Bürger	Wieśniak	Vesničan	Köylü	Paesano	Villager
villager_female_white	Villager	Aldeano	Селянка	Aldeã	Bürger	Wieśniaczka	Vesničanka	Köylü	Paesana	Villager
slave_male	Slave	Esclavo	Раб	Escravo	Sklave	Niewolnik	Otrok	Köle	Schiavo	Esclave
slave_female	Slave	Esclavo	Рабыня	Escrava	Sklave	Niewolnica	Otrokyně	Köle	Schiava	Esclave
fugitive_slave_male	Slave	Esclavo	Раб	Escravo	Sklave	Niewolnik	Uprchlý otrok	Köle	Schiavo	Esclave
fugitive_slave_female	Slave	Esclavo	Рабыня	Escrava	Sklave	Niewolnica	Uprchlá otrokyně	Köle	Schiava	Esclave
slave_var_male	Slave	Esclavo	Раб	Escravo	Sklave	Niewolnik	Otok	Köle	Schiavo	Esclave
slave_var_female	Slave	Esclavo	Рабыня	Escrava	Sklave	Niewolnica	Otrokyně	Köle	Schiava	Esclave
human_soldier	Soldier	Soldado	Солдат	Soldado	Soldat	Żołnierz	Voják	Asker	Soldato	Soldier
human_archer	Archer	Arquero	Лучник	Arqueiro	Bogenschütze	Łucznik	Lučištník	Okçu	Arciere	Archer
human_captain	Captain	Capitán	Капитан	Capitão	Hauptmann	Kapitan	Kapitán	Kumandan	Capitano	Capitaine
mist_hunter	Mist Hunter	Cazador de Nieblas	Охотник Туманов	Caçador da Névoa	Nebeljäger	Łowca mgieł	Mlžný lovec	Pus Avcısı	Cacciatore di Nebbia	Mist Hunter
human_captain_female	Captain	Capitán	Капитан	Capitã	Hauptmann	Kapitan	Kapitánka	Kumandan	Capitano	Capitaine
mercian_legionnaire_female	Legionnaire	Legionario	Легионер	Legionária	Legionär	Legionistka	Legionářka	Lejyoner	Legionario	Legionnaire
mercian_legionnaire_male	Legionnaire	Legionario	Легионер	Legionário	Legionär	Legionistka	Legionářka	Lejyoner	Legionario	Legionnaire
mercian_legionnaire_female_weak	Legionnaire	Legionario	Легионер	Legionária	Legionär	Legionistka	Legionářka	Lejyoner	Legionario	Legionnaire
human_soldier_female	Soldier	Soldado	Солдат	Soldada	Soldat	Żołnierz	Vojačka	Asker	Soldato	Soldier
human_sergeant_male	Sergeant	Sargento	Сержант	Sargento	Sergeant	Sierżant	Seržant	Subay	Sergente	Sergeant
human_sergeant_female	Sergeant	Sargento	Сержант	Sargento	Sergeant	Sierżant	Seržantka	Subay	Sergente	Sergeant
varannari_leader	Varannari Huntmaster	Cazador Varannari	Вараннари-мастер охоты	Líder Varannari	Varannari-Jagdmeister	Łowczy Varannari	Varannarský lovec	Varannari Avbaşı	Leader Varannari	Varannari Huntmaster
varannari_male	Varannari Hunter	Cazador Varannari	Вараннари-охотник	Caçador Varannari	Varannari-Jäger	Łowca Varannari	Varannarský lovec	Varannari Avcı	Cacciatore Varannari	Varannari Hunter
varannari_female	Varannari Hunter	Cazador Varannari	Вараннари-охотница	Caçadora Varannari	Varannari-Jäger	Łowczyni Varannari	Varannarská lovkyně	Varannari Avcı	Cacciatrice Varannari	Varannari Hunter
varannari_rebel	Varannari Hunter	Cazador Varannari	Вараннари-охотник	Caçador Varannari	Varannari-Jäger	Łowca Varannari	Varanarský lovec	Varannari Avcı	Cacciatore Varannari	Varannari Hunter
varannari_hostile_rebel	Varannari Hunter	Cazador Varannari	Вараннари-охотник	Caçador Varannari	Varannari-Jäger	Łowca Varannari	Varanarský lovec	Varannari Avcı	Cacciatore Varannari	Varannari Hunter
bandit_male	Bandit	Bandido	Бандит	Bandido	Bandit	Bandyta	Loupežník	Haydut	Bandito	Bandit
bandit_ranged	Bandit	Bandido	Бандит	Bandido	Bandit	Bandyta	Loupežník	Haydut	Bandito	Bandit
bandit_female_elite	Elite Bandit	Bandido Élite	Крутая Бандитка	Bandida de Elite	Elitebandit	Elitarna bandytka	Elitní loupežnice	Seçkin Haydut	Bandito Elite	Elite Bandit
bandit_male_elite	Elite Bandit	Bandido Élite	Крутой Бандит	Bandido de Elite	Elitebandit	Elitarny bandyta	Elitní loupežníce	Seçkin Haydut	Bandito Elite	Elite Bandit
bandit_male_assasin	Assasin	Asesino	Убийца	Assassino	Assassine	Zabójca	Vrah	Suikastçi	Assassino	Assasin
outlaw	Outlaw	Asaltante	Разбойник	Fora da Lei	Geächteter	Banita	Psanec	Kanunsuz	Fuorilegge	Hors-la-loi
outlaw_archer	Outlaw	Asaltante	Разбойник	Fora da Lei	Geächteter	Banita łucznik	Psanec lučištník	Kanunsuz	Fuorilegge	Hors-la-loi
outlaw_chief	Outlaw Chief	Jefe de Bandidos	Главарь Разбойников	Chefe Fora da Lei	Anführer der Geächteten	Szef banitów	Vůdce psanců	Kanunsuz Şefi	Capo dei Fuorilegge	Outlaw Chief
outlaw_archer_elite	Elite Archer	Arquero élite	Отличный Лучник	Arqueiro de Elite	Elitebogenschütze	Elitarny łucznik	Elitní lučištník	Seçkin Okçu	Arciere Elite	Elite Archer
outlaw_king	Bandit King	Rey de los Bandidos	Король Бандитов	Rei dos Bandidos	König der Geächteten	Król bandytów	Král loupežníků	Haydut Kralı	Re dei Banditi	Bandit King
male_nightblade	Nightblade	Cuchillo Nocturno	Ночной Клинок	Faca Noturna	Schattenklinge	Ostrze Nocy	Břitva noci	Zifir Kılıç	Lama della Notte	Nightblade
female_nightblade	Nightblade	Cuchillo Nocturno	Ночной Клинок	Faca Noturna	Schattenklinge	Ostrze Nocy	Břitva noci	Zifir Kılıç	Lama della Notte	Nightblade
cultist_male	Cultist	Cultista	Культист	Cultista	Kultist	Kultysta	Sektář	Tarikatçı	Cultista	Cultist
adventurer_1	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM
adventurer_2	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM
adventurer_3	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM
adventurer_4	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM	RANDOM
cultist_leader_ng	Forsaken Leader	Jefe de los Olvidados	Лидер Забытых	Chefe dos Exilados	Anführer der Vergessenen	Przywódca Zapomnianych	Vůdce zatracených	Terkedilmiş Lideri	Capo dei Dimenticati	Forsaken Leader
horton	Horton	Horton	Хортон	Horton	Horton	Horton	Horton	Horton	Horton	Horton
horton_thug	Horton's friend	amigo de Horton	Дружбан Хортона	Amigo do Horton	Hortons Freund	Przyjaciel Hortona	Hortnův kumpán	Horton'un Dostu	Amico di Horton	Horton's friend
erhar	Erhar	Erhar	Эрхар	Erhar	Erhar	Erhar	Erhar	Erhar	Erhar	Erhar
erhar_hostile	Erhar	Erhar	Эрхар	Erhar	Erhar	Erhar	Erhar	Erhar	Erhar	Erhar
necromancer_lord	Necromancer	Nigromante	Некромант	Necromante	Totenbeschwörer	Nekromanta	Nekromancer	Ölüm büyücüsü	Negromante	Nécromancien
necromancer_D9	Necromancer	Nigromante	Некромант	Necromante	Totenbeschwörer	Nekromanta	Nekromancer	Ölüm büyücüsü	Negromante	Nécromancien
conjurer_14	Conjurer	Conjurador	Заклинатель	Conjurador	Zauberer	Czarownik	Kouzelník	Efsuncu	Mago	Conjurer
riella	Riella	Riella	Риэлла	Riella	Riella	Riella	Riella	Riella	Riella	Riella
fast_foot	Varannari Huntmaster	Cazador Varannari	Вараннари Мастер Охоты	Caçador Varannari	Varannari-Jagdmeister	Łowczy Varannari	Varannarský mistr lovec	Varannari Avbaşı	Cacciatore Varannari	Varannari Huntmaster
adaon_tutorial	Adaon	Adaon	Адаон	Adaon	Adaon	Adaon	Adaon	Adaon	Adaon	Adaon
grissenda	Grissenda	Grissenda	Гризенда	Grissenda	Grissenda	Grissenda	Grissenda	Grissenda	Grissenda	Grissenda
adaon	Adaon	Adaon	Адаон	Adaon	Adaon	Adaon	Adaon	Adaon	Adaon	Adaon
hirge	Hirge	Hirge	Хирджи	Hirge	Hirge	Hirge	Hirge	Hirge	Hirge	Hirge
lyssara_companion	Lyssara	Lyssara	Лиссара	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara	Lyssara
lyssara_warden_seal	Guardian of the Rift	Guardian de la Grieta	Страж Разлома	Guardiao da Fenda	Waechter des Risses	Straz Rozdarcia	Straz Trhliny	Yarigin Muhafizi	Guardiano della Fenditura	Guardian of the Rift
lyssara_warden_rupture	Guardian of the Rift	Guardian de la Grieta	Страж Разлома	Guardiao da Fenda	Waechter des Risses	Straz Rozdarcia	Straz Trhliny	Yarigin Muhafizi	Guardiano della Fenditura	Guardian of the Rift
lyssara_echo_seal	Echo of the Weave	Eco de la Trama	Эхо Плетения	Eco da Trama	Echo des Gewebes	Echo Splotu	Ozvena Tkane	Torunun Yankisi	Eco della Trama	Echo of the Weave
lyssara_echo_rupture	Echo of Rupture	Eco de Ruptura	Эхо Разлома	Eco da Ruptura	Echo des Risses	Echo Rozdarcia	Ozvena Trhliny	Yarigin Yankisi	Eco della Rottura	Echo of Rupture
rodney	Rodney	Rodney	Родни	Rodney	Rodney	Rodney	Rodney	Rodney	Rodney	Rodney
liserpix	Liserpix	Liserpix	Лизерпикс	Liserpix	Liserpix	Liserpix	Liserpix	Liserpix	Liserpix	Liserpix
niur	Niur	Niur	Ниур	Niur	Niur	Niur	Niur	Niur	Niur	Niur
teram	Teram	Teram	Терам	Teram	Teram	Teram	Teram	Teram	Teram	Teram
trix	Trix	Trix	Трикс	Trix	Trix	Trix	Trix	Trix	Trix	Trix
female_priestess	Priestess	Clérigo	Священница	Sacerdotisa	Priesterin	Kapłanka	Kněžka	Rahibe	Sacerdote	Priestess
imp_greater	Imp Lord	Imp Mayor	Верховный Бес	Diabrete Lorde	Teufel	Większy imp	Pan škřítků	İmp Lordu	Signore Imp	Imp Lord
vigilant_knight	Vigilant Knight	Caballero Vigilante	Бродячий Рыцарь	Cavaleiro Vigilante	Wachsamer Ritter	Czarny rycerz	Neklidný rytíř	Cüretkar Şövalye	Cavaliere Vigilante	Vigilant Knight
mercenary	Mercenary	Mercenario	Наёмник	Mercenário	Söldner	Najemnik	Žoldák	Paralı Asker	Mercenario	Mercenaire
varaol	Varaol	Varaol	Вараол	Varaol	Varaol	Varaol	Varaol	Varaol	Varaol	Varaol
